GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,11.9,,57361,,10.9,,58815,
A. K-6,BERGEN,1270,EDGEWATER BORO,16,1,51816,8,15.3,1,51816,4
A. K-6,BERGEN,3870,ORADELL BORO,12.4,12,55580,22,12,13,57340,21
A. K-6,BERGEN,4410,RIVER EDGE BORO,13.8,3,61539,39,14.1,2,60225,33
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.1,41,63706,47,8.7,45,72685,55
A. K-6,BURLINGTON,200,BASS RIVER TWP,8.1,51,54119,16,7.5,51,58428,29
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,14.2,2,53344,13,13.5,4,53459,9
A. K-6,BURLINGTON,2960,MANSFIELD TWP,12.6,9,59629,35,12.6,8,61653,37
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,11.1,21,60635,38,10.9,24,64253,45
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,9.4,39,58695,32,9.4,39,58461,31
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12.3,14,57136,28,13.6,3,57979,26
A. K-6,CAMDEN,5560,WATERFORD TWP,11.9,15,54378,17,11.5,18,63528,42
A. K-6,CAPE MAY,710,CAPE MAY CITY,7.3,53,54950,19,4.6,56,58600,32
A. K-6,CAPE MAY,2840,LOWER TWP,13.1,6,55899,24,6.5,53,56917,18
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,11.8,18,52878,12,6.1,54,53548,10
A. K-6,ESSEX,1400,ESSEX FELLS BORO,7.3,53,60325,37,7.2,52,61230,34
A. K-6,ESSEX,1465,FAIRFIELD TWP,11.1,21,55874,23,10.9,24,61429,36
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,9.8,35,53354,14,9.5,37,53042,7
A. K-6,ESSEX,4530,ROSELAND BORO,10.9,25,60053,36,10.9,24,62085,39
