CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9568760,6363422,6149270,148493,65659,1079676,920748,1063179,891157,1005558,553464,0,48893,7462,858,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,138210733,84983034,79739377,3600500,1643157,19956670,17964694,11235424,8702179,19106850,10138841,800000,1770939,750344,6920,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,14941582,7694647,7162780,467642,64225,1564725,1462328,1677430,1203778,3351773,1660693,0,342686,95844,1188,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,20297097,11801344,11438413,119419,243512,4141066,3937071,2319701,2102306,1901986,918774,133000,0,7950,431,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,12592559,7847013,7628065,185038,33910,1799575,1627716,1227752,1037077,1556943,874665,0,161275,141252,709,BRIGANTINE CITY,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,590,27685708,16272624,15928164,248588,95872,4557911,3740684,3036141,2482490,3080739,1491678,0,715299,115091,2013,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7382713,4298497,4136304,124338,37855,1399735,1291353,775599,651845,851550,392951,0,57332,0,493,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,96124885,57982382,56430315,1468890,83177,16711546,15659907,8156289,6564056,11141258,6807866,0,1143279,386319,7508,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2738292,1496528,1369606,111777,15145,385560,323861,327289,256927,506701,216622,4373,11974,0,177,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,4665199,2877296,2572889,241313,63094,824977,713633,465223,358343,449675,181438,0,46300,24589,435,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,1690,46085670,30695250,29739093,714716,241441,6574762,6027088,4272733,3717039,4313682,2440098,80000,113692,153523,3340,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,51104237,27727683,26486937,1096002,144744,6253326,5932559,5854438,4502997,8079753,4773553,0,3163127,315458,3449,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,37683506,23919837,22806969,858897,253971,5581205,5224007,3687558,2929921,4297103,2408535,0,174904,109743,3114,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,37571054,23003973,21550547,1235290,218136,5919117,5296912,3787639,3071139,3829872,1704167,0,729019,232007,3623,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
1,2680,12826385,7881080,7460311,388546,32223,1999324,1883124,1346636,1064950,1465941,730806,0,133405,17426,862,LINWOOD CITY,ATLANTIC,D. K-8 / 751 +,2,GH,,1,ATLANTIC
1,2910,22291797,13231697,12882890,287639,61168,3143949,2859841,1806877,1415592,2447871,1213407,0,1351859,116122,1400,MAINLAND REGIONAL,ATLANTIC,H. 7-12 / 9-12,5,DE,,1,ATLANTIC
1,3020,9204632,5372675,4989676,370660,12339,1512135,1245997,845728,674416,1333006,604246,57131,69385,65805,456,MARGATE CITY,ATLANTIC,C. K-8 / 401 - 750,2,DE,,1,ATLANTIC
