GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,15259,0.197,0.762,0.037,0.004,0,0,12.5,110.3,208.1,0.103,1,-20527959
G. K-12 / 3501 +,ATLANTIC,110,ATLANTIC CITY,27411,0.189,0.716,0.034,0.061,0,0,9.7,85.5,159.6,0.114,1,-256437119
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,18373,0.265,0.336,0.041,0.358,0,0,11.3,143.3,179.1,0.112,1,-10811762
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,56584,0.092,0.198,0.005,0.705,0,0,6.1,13.1,70.5,1.000,1,-19471874
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,24113,0.175,0.785,0.028,0.001,0,0.011,10.1,71.7,140.6,0.107,1,-33802228
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,20169,0.563,0.322,0.053,0.045,0,0.017,12.1,68,136,0.168,1,-29980443
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,23328,0.635,0.258,0.094,0.003,0,0.01,10.4,54.4,98,0.210,1,-5125011
G. K-12 / 3501 +,ATLANTIC,1310,EGG HARBOR TWP,17970,0.412,0.558,0.025,0.006,0,0,12.6,79.2,192.3,0.105,1,-136386926
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,20236,0.486,0.492,0.023,0,0,0,13.1,57.3,90.5,0.066,1,-4664377
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,15979,0.75,0.224,0.027,0,0,0,11.4,77.5,144.7,0.138,1,-3410387
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,18707,0.424,0.436,0.025,0.003,0.109,0.003,10.6,78.2,205.4,0.173,1,-61792543
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,21821,0.523,0.419,0.018,0.016,0,0.024,12,99.9,109.6,0.181,1,-58042447
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,17003,0.569,0.395,0.028,0,0.001,0.007,11.9,103.1,239.5,0.149,1,-36482167
G. K-12 / 3501 +,ATLANTIC,1960,HAMMONTON TOWN,14384,0.366,0.318,0.033,0.183,0.082,0.018,14.7,100.8,198.4,0.148,1,-45509238
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,18450,0.198,0.784,0.019,0,0,0,10.7,83.6,143.8,0.126,1,-23197157
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,22333,0.35,0.631,0.018,0,0,0.001,11.8,77.6,139.7,0.150,1,-34372789
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,26787,0.126,0.803,0.017,0.054,0,0,9.9,52.2,91,0.090,1,-22599619
D. K-8 / 751 +,ATLANTIC,3480,MULLICA TWP,18008,0.585,0.316,0.062,0.032,0,0.005,13,136.5,116.5,0.096,1,-7890554
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,16484,0.35,0.621,0.025,0.001,0.003,0,11.7,83.8,233.3,0.142,1,-17770098
G. K-12 / 3501 +,ATLANTIC,4180,PLEASANTVILLE CITY,22943,0.85,0.108,0.034,0.007,0,0.001,9.1,65,127.8,0.143,1,-20163262
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,16299,0.423,0.554,0.023,0,0,0,9.8,63,0,0.095,1,-3177175
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,16425,0.427,0.503,0.052,0.005,0,0.013,10,68.4,152.4,0.148,1,-17190802
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,21433,0.158,0.799,0.043,0,0,0,10.7,79.9,122.9,0.091,1,-36370243
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,19425,0.55,0.41,0.034,0,0,0.006,8.9,55.3,62.7,0.089,1,-4258888
K. CHARTER,ATLANTIC,6060,ATLANTIC CITY COMMUNITY CS,0,0,0,0,0,0,0,0,0,0,0,80,0
K. CHARTER,ATLANTIC,6612,GALLOWAY COMMUNITY CS,16964,0.54,0.428,0.016,0,0,0.016,9.9,227,39.1,0.103,80,-2452989
K. CHARTER,ATLANTIC,7410,CHARTER~TECH HIGH SCHOOL,16023,0.418,0.533,0.025,0,0,0.024,9.9,109.3,149.1,0.132,80,-5666894
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,19041,0.11,0.872,0.014,0.005,0,0,13.4,86.4,181.4,0.055,3,-27932660
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,25471,0.089,0.902,0.009,0,0,0,8,50.9,46.6,0.104,3,-11132327
