GROUP,CONAME,DIST,DISTNAME,PP110,RK110,PCT110,PP210,RK210,PCT210,PP310,RK310,PCT310
A. K-6,,,1. State average - Operating Type K-6,1509,,,1507,,,1646,,
A. K-6,,,2. State median - Operating Type K-6,1528,,,1538,,,1648,,
A. K-6,,,5. State average - All operating types,1788,,,1777,,,1846,,
A. K-6,,,6. State median - All operating types,1642,,,1674,,,1750,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1351,11|56,0.129,1431,24|56,0.134,1419,18|56,0.126
A. K-6,BERGEN,3870,ORADELL BORO,1208,12|56,0.098,1329,16|56,0.102,1408,16|56,0.102
A. K-6,BERGEN,4410,RIVER EDGE BORO,1064,4|56,0.086,1036,4|56,0.083,1173,3|56,0.088
A. K-6,BERGEN,4620,SADDLE RIVER BORO,2137,51|56,0.096,2203,52|56,0.092,2513,52|56,0.100
A. K-6,BURLINGTON,200,BASS RIVER TWP,2105,49|56,0.106,2037,48|56,0.105,2001,44|56,0.115
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1490,27|56,0.139,1423,23|56,0.128,1346,12|56,0.123
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1322,19|56,0.099,1647,34|56,0.121,1807,34|56,0.126
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,1826,42|56,0.116,1780,41|56,0.116,1937,38|56,0.119
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1785,41|56,0.101,1908,45|56,0.104,1627,28|56,0.089
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1252,14|56,0.105,1215,11|56,0.107,1301,8|56,0.105
A. K-6,CAMDEN,5560,WATERFORD TWP,1446,25|56,0.104,1571,30|56,0.111,2389,49|56,0.142
A. K-6,CAPE MAY,710,CAPE MAY CITY,2435,52|56,0.124,2086,50|56,0.120,2132,47|56,0.122
A. K-6,CAPE MAY,2840,LOWER TWP,1768,40|56,0.132,1838,43|56,0.136,1740,30|56,0.125
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,1571,32|56,0.108,1335,17|56,0.096,1500,22|56,0.106
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1910,45|56,0.101,2106,51|56,0.109,2416,50|56,0.117
A. K-6,ESSEX,1465,FAIRFIELD TWP,1388,22|56,0.092,1373,20|56,0.087,1572,25|56,0.094
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1704,37|56,0.112,1881,44|56,0.119,2086,45|56,0.123
A. K-6,ESSEX,4530,ROSELAND BORO,1529,29|56,0.093,1542,29|56,0.099,1832,35|56,0.111
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1066,5|56,0.108,1124,6|56,0.106,1212,4|56,0.108
A. K-6,GLOUCESTER,1330,ELK TWP,1338,20|56,0.102,1158,8|56,0.086,1580,26|56,0.111
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,1440,24|56,0.125,1443,25|56,0.123,1798,33|56,0.135
A. K-6,GLOUCESTER,2070,HARRISON TWP,1260,15|56,0.120,1238,12|56,0.116,1317,9|56,0.115
A. K-6,GLOUCESTER,2990,MANTUA TWP,1486,26|56,0.113,1704,39|56,0.119,1468,20|56,0.109
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1342,21|56,0.099,1274,14|56,0.094,1570,24|56,0.106
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1241,13|56,0.126,1187,9|56,0.116,1563,23|56,0.133
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,1319,18|56,0.123,1252,13|56,0.108,1334,11|56,0.110
A. K-6,GLOUCESTER,5590,WENONAH BORO,1123,8|56,0.086,1352,18|56,0.093,1291,6|56,0.087
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,885,1|56,0.070,921,2|56,0.069,1016,2|56,0.073
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,1049,3|56,0.074,957,3|56,0.069,1239,5|56,0.080
A. K-6,HUNTERDON,2590,LEBANON BORO,2060,48|56,0.093,2048,49|56,0.092,2114,46|56,0.109
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1084,6|56,0.078,1214,10|56,0.084,1413,17|56,0.092
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,2019,46|56,0.104,1944,46|56,0.101,2601,53|56,0.126
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,2036,47|56,0.130,1721,40|56,0.099,1966,41|56,0.113
A. K-6,MORRIS,3240,MINE HILL TWP,1140,9|56,0.098,1395,21|56,0.104,1351,13|56,0.110
A. K-6,OCEAN,230,BEACH HAVEN BORO,2802,54|56,0.139,5002,56|56,0.188,4835,56|56,0.186
A. K-6,OCEAN,320,BERKELEY TWP,1862,43|56,0.148,1619,31|56,0.128,1947,40|56,0.141
A. K-6,OCEAN,1150,EAGLESWOOD TWP,1283,16|56,0.085,1326,15|56,0.082,1327,10|56,0.082
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,2620,53|56,0.150,3305,54|56,0.185,2628,54|56,0.164
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,1107,7|56,0.078,1140,7|56,0.076,1299,7|56,0.083
A. K-6,OCEAN,2760,LONG BEACH ISLAND,3817,55|56,0.160,3895,55|56,0.161,3424,55|56,0.141
A. K-6,OCEAN,3800,OCEAN GATE BORO,1413,23|56,0.082,1525,27|56,0.095,1668,29|56,0.100
A. K-6,OCEAN,3820,OCEAN TWP,1907,44|56,0.116,1995,47|56,0.121,2225,48|56,0.119
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,6148,56|56,0.287,1468,26|56,0.092,1429,19|56,0.085
A. K-6,OCEAN,5020,STAFFORD TWP,1593,34|56,0.119,1701,37|56,0.125,1885,36|56,0.123
A. K-6,OCEAN,5220,TUCKERTON BORO,1569,31|56,0.127,1623,33|56,0.129,1777,31|56,0.131
A. K-6,SUSSEX,1630,FREDON TWP,1679,36|56,0.110,2287,53|56,0.135,2491,51|56,0.142
A. K-6,SUSSEX,1980,HAMPTON TWP,1712,38|56,0.105,1698,36|56,0.102,1983,42|56,0.115
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,1591,33|56,0.096,1825,42|56,0.097,1626,27|56,0.088
A. K-6,SUSSEX,5040,STILLWATER TWP,1624,35|56,0.108,1533,28|56,0.102,1908,37|56,0.114
A. K-6,WARREN,400,BLAIRSTOWN TWP,1559,30|56,0.114,1358,19|56,0.101,1380,15|56,0.095
A. K-6,WARREN,1620,FRANKLIN TWP,1755,39|56,0.102,1703,38|56,0.092,1784,32|56,0.092
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,2110,50|56,0.141,1693,35|56,0.115,1983,42|56,0.136
A. K-6,WARREN,2470,KNOWLTON TWP,1526,28|56,0.101,1622,32|56,0.096,1940,39|56,0.108
A. K-6,WARREN,2970,MANSFIELD TWP,914,2|56,0.081,884,1|56,0.079,907,1|56,0.075
A. K-6,WARREN,5480,WASHINGTON BORO,1159,10|56,0.094,1121,5|56,0.091,1365,14|56,0.105
A. K-6,WARREN,5530,WASHINGTON TWP,1317,17|56,0.092,1409,22|56,0.093,1488,21|56,0.093
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,1541,,,1573,,,1723,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,1556,,,1586,,,1775,,
B. K-8 / 0 - 400,,,5. State average - All operating types,1788,,,1777,,,1846,,
B. K-8 / 0 - 400,,,6. State median - All operating types,1642,,,1674,,,1750,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,2869,68|75,0.185,2568,62|75,0.156,2768,61|75,0.170
