GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,83.4,,64286,,79.7,,63938,
A. K-6,BERGEN,1270,EDGEWATER BORO,130.3,5|56,55302,21|56,104.8,14|56,56728,22|56
A. K-6,BERGEN,3870,ORADELL BORO,114.7,10|56,68300,39|56,139.4,7|56,67138,42|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,86.1,24|56,72607,45|56,83.6,25|56,75793,53|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,60.3,45|56,62535,30|56,57.4,47|56,62535,33|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,57.5,49|56,71096,44|56,61.7,43|56,66308,39|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,105.5,13|56,52777,13|56,94.6,18|56,53799,18|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,90,22|56,73549,49|56,85.7,23|56,66570,40|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,61.6,42|56,70348,42|56,61.7,43|56,67731,43|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,68.3,36|56,56280,22|56,63.4,41|56,57990,27|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,129.4,6|56,13360,2|56,94.8,17|56,13558,2|56
A. K-6,CAMDEN,5560,WATERFORD TWP,67.6,37|56,73169,46|56,59.6,45|56,74466,51|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,172,1|56,73271,47|56,185,1|56,73271,48|56
A. K-6,CAPE MAY,2840,LOWER TWP,90.3,20|56,83208,55|56,91.2,19|56,82731,56|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,163.3,2|56,11585,1|56,140,6|56,12112,1|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,51,52|56,46542,10|56,48.8,51|56,47959,12|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,77.9,31|56,70267,41|56,80.3,27|56,66917,41|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,74.8,32|56,52000,12|56,76.5,32|56,52000,17|56
A. K-6,ESSEX,4530,ROSELAND BORO,58.5,47|56,65085,34|56,45.7,54|56,64985,38|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,119.5,7|56,60190,27|56,115.5,10|56,62846,34|56
A. K-6,GLOUCESTER,1330,ELK TWP,91.1,19|56,65417,35|56,112,11|56,59394,30|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,78,30|56,68803,40|56,78.5,29|56,54653,19|56
A. K-6,GLOUCESTER,2070,HARRISON TWP,114.2,11|56,73671,50|56,111.2,12|56,74435,50|56
A. K-6,GLOUCESTER,2990,MANTUA TWP,85.7,26|56,73377,48|56,68.1,36|56,63404,35|56
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,90.3,20|56,53584,14|56,90.3,20|56,57031,23|56
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,117.8,8|56,54987,18|56,77,31|56,59026,29|56
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,115.2,9|56,54361,17|56,119,9|56,57661,25|56
A. K-6,GLOUCESTER,5590,WENONAH BORO,110,12|56,29310,5|56,101.6,15|56,29512,5|56
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,62.1,41|56,61775,29|56,64.5,39|56,55310,20|56
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,48.1,53|56,59242,26|56,49.2,50|56,63581,36|56
A. K-6,HUNTERDON,2590,LEBANON BORO,,N.A.,,N.A.,62.5,42|56,49777,15|56
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,98.8,17|56,58000,25|56,109,13|56,48618,14|56
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,47.2,54|56,24778,4|56,50.5,49|56,27280,4|56
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,36.7,55|56,53601,15|56,27.7,56|56,48481,13|56
A. K-6,MORRIS,3240,MINE HILL TWP,105.4,14|56,55232,20|56,144,5|56,57188,24|56
A. K-6,OCEAN,230,BEACH HAVEN BORO,61,43|56,24760,3|56,64,40|56,32632,6|56
A. K-6,OCEAN,320,BERKELEY TWP,81.7,28|56,73808,51|56,73.1,34|56,73558,49|56
A. K-6,OCEAN,1150,EAGLESWOOD TWP,65.4,38|56,56361,23|56,138.5,8|56,56000,21|56
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,140,4|56,45141,9|56,157.3,2|56,21741,3|56
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,73.1,33|56,65877,36|56,74.9,33|56,69284,45|56
A. K-6,OCEAN,2760,LONG BEACH ISLAND,64.8,39|56,75174,52|56,58,46|56,79499,55|56
A. K-6,OCEAN,3800,OCEAN GATE BORO,60.8,44|56,45064,8|56,87.5,22|56,45638,11|56
A. K-6,OCEAN,3820,OCEAN TWP,60,46|56,67849,38|56,51.8,48|56,69500,46|56
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,57.9,48|56,55070,19|56,37.8,55|56,50430,16|56
A. K-6,OCEAN,5020,STAFFORD TWP,84.2,27|56,67561,37|56,84.4,24|56,62492,31|56
A. K-6,OCEAN,5220,TUCKERTON BORO,86,25|56,40879,6|56,77.7,30|56,40879,7|56
A. K-6,SUSSEX,1630,FREDON TWP,96.2,18|56,56707,24|56,145,4|56,45510,9|56
A. K-6,SUSSEX,1980,HAMPTON TWP,63.4,40|56,49560,11|56,64.9,38|56,57968,26|56
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,145,3|56,75262,53|56,146,3|56,75262,52|56
A. K-6,SUSSEX,5040,STILLWATER TWP,87.5,23|56,70510,43|56,80.8,26|56,71138,47|56
A. K-6,WARREN,400,BLAIRSTOWN TWP,56.5,50|56,64578,33|56,48.1,52|56,64694,37|56
A. K-6,WARREN,1620,FRANKLIN TWP,79.3,29|56,62945,31|56,80,28|56,67837,44|56
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,72.7,34|56,53892,16|56,72.3,35|56,43200,8|56
A. K-6,WARREN,2470,KNOWLTON TWP,52.4,51|56,44368,7|56,47.4,53|56,45573,10|56
A. K-6,WARREN,2970,MANSFIELD TWP,101.2,16|56,75582,54|56,95.9,16|56,76587,54|56
A. K-6,WARREN,5480,WASHINGTON BORO,102.7,15|56,63580,32|56,90.3,20|56,62533,32|56
A. K-6,WARREN,5530,WASHINGTON TWP,69.6,35|56,60924,28|56,65.1,37|56,58322,28|56
B. K-8 / 0 - 400,,,K-8 Average,72.5,,66520,,71.6,,67057,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,77.2,34|75,50488,31|75,71.8,36|75,49671,28|75
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,59.9,N.A.,59477,N.A.,50,63|75,61897,55|75
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,46.4,N.A.,67250,N.A.,50,63|75,86383,73|75
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,325,3|75,22704,3|75,82,28|75,38255,9|75
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,56.6,57|75,50755,32|75,66.8,42|75,44931,22|75
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,51.7,61|75,70580,66|75,50.7,62|75,73118,66|75
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,288,4|75,80600,74|75,302,3|75,80600,71|75
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,168,11|75,40450,20|75,143.5,12|75,12480,2|75
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,49.5,64|75,56504,44|75,48.3,67|75,61003,50|75
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,66.9,42|75,84311,75|75,61.9,48|75,83836,72|75
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,46.7,70|75,1,1|75,54.4,58|75,1,1|75
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,65.6,45|75,52721,36|75,58.8,52|75,53805,38|75
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,66.2,44|75,38628,16|75,41,71|75,53500,37|75
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,152,14|75,79600,72|75,94.4,22|75,75850,67|75
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,282.5,5|75,42185,24|75,266.7,4|75,43673,19|75
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,75.8,36|75,54776,41|75,70.6,40|75,61704,54|75
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,92.7,23|75,61108,52|75,104.7,17|75,61108,51|75
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,386,1|75,67025,61|75,376,1|75,53336,35|75
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,48.5,67|75,77788,71|75,18.8,74|75,87496,74|75
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,58.1,54|75,62728,55|75,47.8,68|75,66165,60|75
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,377.8,2|75,72582,68|75,188.9,5|75,77696,68|75
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,66.8,43|75,56772,45|75,62.3,47|75,57802,46|75
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,168.3,10|75,41931,23|75,358.3,2|75,51956,32|75
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,59.5,52|75,51130,33|75,61.3,49|75,55250,43|75
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,191,7|75,53242,38|75,180,7|75,54800,40|75
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,37.9,75|75,28315,5|75,60,50|75,40234,12|75
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,46.7,70|75,36736,13|75,56,55|75,45575,23|75
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,61.4,48|75,36900,14|75,72.3,35|75,38745,10|75
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,52.5,60|75,53235,37|75,57.9,53|75,55780,44|75
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,203.3,6|75,57553,46|75,60,50|75,52462,33|75
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,72.7,39|75,24082,4|75,100.9,18|75,33590,7|75
