GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV
A. K-6,BERGEN,1270,EDGEWATER BORO,16589,0.101,0.88,0.012,0,0,0.007,15.3,130.3,182.4,0.0724
A. K-6,BERGEN,3870,ORADELL BORO,16387,0.145,0.828,0.018,0.01,0,0,12,114.7,146.6,0.1310
A. K-6,BERGEN,4410,RIVER EDGE BORO,15599,0.159,0.773,0.021,0.047,0,0,14.1,86.1,120.5,0.1012
A. K-6,BERGEN,4620,SADDLE RIVER BORO,21803,0.093,0.882,0.011,0.014,0,0,8.7,60.3,62.3,0.0802
A. K-6,BURLINGTON,200,BASS RIVER TWP,22827,0.433,0.53,0.037,0,0,0,7.5,57.5,115,0.2261
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,16514,0.139,0.779,0.014,0.004,0.063,0.001,13.5,105.5,145.6,0.1071
A. K-6,BURLINGTON,2960,MANSFIELD TWP,19127,0.149,0.821,0.014,0.016,0,0,12.6,90,138.5,0.0962
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,20322,0.533,0.113,0.353,0.001,0,0,10.9,61.6,175.9,0.1113
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,22218,0.316,0.658,0.026,0,0,0,9.4,68.3,59.8,0.1381
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,14985,0.436,0.542,0.022,0,0,0,13.6,129.4,64.7,0.1643
A. K-6,CAMDEN,5560,WATERFORD TWP,17383,0.497,0.475,0.022,0.005,0,0.001,11.5,67.6,159.8,0.1399
A. K-6,CAPE MAY,710,CAPE MAY CITY,20715,0.226,0.409,0.347,0.018,0,0,9.2,172,86,0.1163
A. K-6,CAPE MAY,2840,LOWER TWP,17003,0.433,0.526,0.039,0.002,0,0,13.1,90.3,200.7,0.1645
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,18975,0.399,0.559,0.04,0.002,0,0,12.1,163.3,40,0.0375
A. K-6,ESSEX,1400,ESSEX FELLS BORO,23682,0.127,0.863,0.01,0,0,0,7.2,51,104.5,0.1244
A. K-6,ESSEX,1465,FAIRFIELD TWP,19338,0.129,0.856,0.013,0.002,0,0,10.9,77.9,124.6,0.1348
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,20703,0.111,0.824,0.01,0.005,0,0.05,9.5,74.8,164.5,0.1565
A. K-6,ESSEX,4530,ROSELAND BORO,21045,0.139,0.843,0.011,0.006,0,0.001,10.9,58.5,199.5,0.1298
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,14685,0.311,0.675,0.015,0,0,0,12.4,119.5,207.2,0.1038
A. K-6,GLOUCESTER,1330,ELK TWP,18258,0.496,0.434,0.048,0.022,0,0,9.8,91.1,173,0.0867
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,16856,0.466,0.446,0.029,0.059,0,0,12.6,78,175.5,0.1019
A. K-6,GLOUCESTER,2070,HARRISON TWP,14529,0.398,0.571,0.021,0.011,0,0,13.3,114.2,171.4,0.0532
A. K-6,GLOUCESTER,2990,MANTUA TWP,18150,0.371,0.572,0.026,0.017,0.013,0.001,12.4,85.7,0,0.1527
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,18025,0.536,0.416,0.045,0.001,0,0.002,11,90.3,150.6,0.1476
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,15802,0.365,0.611,0.023,0.001,0,0,13.2,117.8,137.1,0.1565
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,16625,0.335,0.587,0.014,0.002,0.062,0,13,115.2,174,0.1546
A. K-6,GLOUCESTER,5590,WENONAH BORO,17684,0.234,0.721,0.014,0.013,0.018,0,9.1,110,149.3,0.1053
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,17276,0.49,0.387,0.043,0.01,0.056,0.014,11.4,62.1,163.6,0.1722
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,17283,0.39,0.577,0.029,0.004,0,0,10.7,48.1,220,0.1727
A. K-6,HUNTERDON,2590,LEBANON BORO,25864,0.127,0.757,0.015,0.005,0.012,0.084,7.6,0,47.5,0.0947
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,18805,0.163,0.769,0.021,0.042,0,0.005,10.2,98.8,128.5,0.1203
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,24591,0.22,0.615,0.033,0,0.102,0.03,8.9,47.2,81.3,0.2118
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,19056,0.399,0.583,0.003,0.015,0,0,8.9,36.7,92,0.0978
A. K-6,MORRIS,3240,MINE HILL TWP,19594,0.349,0.651,0,0,0,0,11.5,105.4,123,0.0894
A. K-6,OCEAN,230,BEACH HAVEN BORO,30783,0.16,0.831,0.009,0,0,0,5.4,61,61,0.0984
A. K-6,OCEAN,320,BERKELEY TWP,16954,0.159,0.803,0.023,0.004,0,0.011,11.9,81.7,174.3,0.1698
A. K-6,OCEAN,1150,EAGLESWOOD TWP,21127,0.325,0.639,0.031,0.005,0,0,9.5,65.4,68,0.1838
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,20724,0.204,0.78,0.016,0,0,0,8.6,140,79.3,0.0924
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,19680,0.568,0.401,0.024,0,0,0.007,10.1,73.1,146.2,0.1381
A. K-6,OCEAN,2760,LONG BEACH ISLAND,32413,0.176,0.794,0.019,0.011,0,0,8.3,64.8,88.5,0.1379
A. K-6,OCEAN,3800,OCEAN GATE BORO,22722,0.444,0.522,0.031,0,0,0.003,10,60.8,79,0.1709
A. K-6,OCEAN,3820,OCEAN TWP,20383,0.422,0.544,0.021,0.002,0,0.011,10.8,60,140,0.1282
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,21191,0.312,0.528,0.063,0.002,0,0.095,9.7,57.9,110,0.1909
A. K-6,OCEAN,5020,STAFFORD TWP,18846,0.294,0.679,0.024,0.002,0,0.001,12.6,84.2,279,0.1667
A. K-6,OCEAN,5220,TUCKERTON BORO,16222,0.475,0.482,0.029,0.008,0,0.006,11,86,165.5,0.1420
A. K-6,SUSSEX,1630,FREDON TWP,22217,0.176,0.805,0.019,0,0,0,11,96.2,125,0.0920
A. K-6,SUSSEX,1980,HAMPTON TWP,22329,0.277,0.701,0.022,0,0,0,8.8,63.4,99.1,0.1199
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,22261,0.255,0.611,0.134,0,0,0,8.8,145,145,0.1310
A. K-6,SUSSEX,5040,STILLWATER TWP,19924,0.359,0.584,0.022,0.035,0,0,9.8,87.5,87.5,0.1771
A. K-6,WARREN,400,BLAIRSTOWN TWP,17218,0.287,0.667,0.04,0.007,0,0,9.8,56.5,91.6,0.1594
A. K-6,WARREN,1620,FRANKLIN TWP,23513,0.248,0.691,0.018,0.008,0.035,0,8.7,79.3,76.7,0.0870
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,18397,0.311,0.667,0.022,0,0,0,11.7,72.7,74.5,0.1879
A. K-6,WARREN,2470,KNOWLTON TWP,21569,0.379,0.567,0.026,0.028,0,0,8.2,52.4,81.5,0.1364
A. K-6,WARREN,2970,MANSFIELD TWP,14859,0.438,0.491,0.038,0.004,0.029,0,11.6,101.2,217.5,0.1063
A. K-6,WARREN,5480,WASHINGTON BORO,15504,0.428,0.536,0.034,0.002,0,0,11.9,102.7,173.8,0.1504
A. K-6,WARREN,5530,WASHINGTON TWP,18779,0.378,0.599,0.023,0,0,0,9.9,69.6,129.3,0.1741
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,22890,0.492,0.487,0.021,0,0,0,11.9,77.2,66.4,0.1024
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,17284,0.761,0.212,0.026,0,0,0.001,11.3,59.9,139.7,0.1217
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,29113,0.134,0.796,0.012,0.057,0,0.001,9.1,46.4,107.5,0.0814
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,15321,0.416,0.584,0,0,0,0,10.4,325,325,0.1154
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,20146,0.528,0.424,0.03,0.011,0,0.007,10.2,56.6,60.3,0.1160
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,47641,0.065,0.93,0.005,0,0,0,6.9,51.7,35.2,0.1161
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,21513,0.091,0.681,0.018,0.023,0.155,0.032,9.8,288,96,0.1458
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,23766,0.1,0.884,0.014,0.002,0,0,11.7,168,79,0.0952
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,20890,0.587,0.365,0.046,0,0,0.002,10.2,49.5,49.5,0.1178
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,17803,0.34,0.633,0.027,0,0,0,12.7,66.9,194,0.1186
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,25719,0.536,0.299,0.164,0,0,0.001,8,46.7,75.8,0.1374
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,16881,0.171,0.799,0.019,0.007,0.005,0,12,65.6,140.5,0.1153
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,22874,0.387,0.597,0.016,0,0,0,10.2,66.2,0,0.0667
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,19346,0.386,0.581,0.033,0,0,0,10.3,152,58.5,0.1513
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,16121,0.759,0.195,0.046,0,0,0,11,282.5,188.3,0.1268
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,18589,0.384,0.585,0.02,0.011,0,0,10.5,75.8,143.7,0.0916
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,23213,0.476,0.465,0.059,0,0,0,12.1,92.7,69.5,0.1079
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,16216,0.709,0.198,0.055,0.003,0,0.035,11.7,386,193,0.1891
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,63786,0.102,0.668,0.008,0.103,0,0.119,4.1,48.5,16.7,0.1800
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,25811,0.176,0.687,0.043,0.095,0,0,8,58.1,89.7,0.1508
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,36913,0.095,0.747,0.004,0.155,0,0,5.3,377.8,40,0.0147
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,29351,0.154,0.829,0.018,0,0,0,7.7,66.8,57.7,0.1457
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,22253,0.701,0.252,0.047,0,0,0,9.1,168.3,50.5,0.1832
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,17929,0.514,0.422,0.036,0.015,0.013,0,11.7,59.5,113,0.1091
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,19992,0.548,0.286,0.037,0.002,0.102,0.025,10.4,191,191,0.1361
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,26004,0.356,0.548,0.042,0.001,0.053,0,2.9,37.9,26.5,0.0943
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,20329,0.453,0.487,0.057,0.003,0,0,6,46.7,56,0.0893
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,14001,0.66,0.28,0.06,0,0,0,13,61.4,135,0.0630
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,24365,0.256,0.726,0.016,0.002,0,0,8.1,52.5,114,0.1429
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,19301,0.475,0.497,0.024,0.005,0,0,8,203.3,122,0.1557
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,23672,0.189,0.8,0,0.01,0,0.001,7.6,72.7,47.2,0.1284
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,18499,0.236,0.743,0.019,0.002,0,0,8.1,38.5,113,0.1357
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,23328,0.169,0.708,0.017,0.026,0.011,0.069,9.5,55.7,116.4,0.1359
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,22326,0.142,0.831,0.016,0,0.011,0,10.5,107.1,103.4,0.0967
