GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,140.3,,104916,,138.3,,107170,
A. K-6,,,STATEWIDE,151.5,,119362,,153.2,,121407,
A. K-6,BERGEN,1270,EDGEWATER BORO,152.8,16|56,128166,54|56,153.3,18|56,128166,54|56
A. K-6,BERGEN,3870,ORADELL BORO,125.5,29|56,115938,49|56,109.3,34|56,110000,38|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,117,34|56,137626,56|56,147.9,22|56,145131,55|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,45.6,54|56,117615,51|56,38.5,54|56,122556,52|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,111,37|56,115672,48|56,103,37|56,117986,48|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,151.4,18|56,95730,17|56,136.4,26|56,99796,22|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,131.9,28|56,112378,43|56,108.6,35|56,106044,32|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,139.3,24|56,116010,50|56,149.1,20|56,115568,46|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,111,37|56,98676,19|56,92.8,39|56,86430,12|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,144.2,22|56,40784,4|56,122.7,29|56,41720,3|56
A. K-6,CAMDEN,5560,WATERFORD TWP,151.7,17|56,118411,52|56,108.1,36|56,104921,29|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,61.7,52|56,80124,13|56,68.3,49|56,83361,10|56
A. K-6,CAPE MAY,2840,LOWER TWP,192.4,4|56,115000,45|56,188.6,5|56,98300,18|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,42,55|56,102657,24|56,49,53|56,105545,30|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,102.5,40|56,108850,35|56,111.5,33|56,110704,40|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,120.4,31|56,128491,55|56,163.8,16|56,119246,49|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,168.3,13|56,115000,45|56,172.5,10|56,115000,44|56
A. K-6,ESSEX,4530,ROSELAND BORO,96.4,41|56,104700,30|56,115,32|56,99000,20|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,181.4,6|56,109000,36|56,179.9,7|56,111000,41|56
A. K-6,GLOUCESTER,1330,ELK TWP,168,14|56,10000,1|56,168.5,13|56,45000,4|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,176.6,9|56,104618,29|56,178.9,8|56,107477,36|56
A. K-6,GLOUCESTER,2070,HARRISON TWP,180.6,7|56,109162,38|56,142.7,25|56,107113,34|56
A. K-6,GLOUCESTER,2990,MANTUA TWP,178,8|56,104964,31|56,180.7,6|56,102911,27|56
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,150.6,19|56,33500,2|56,145,23|56,33500,1|56
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,385,1|56,99323,20|56,383,1|56,101806,25|56
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,171.4,11|56,104297,28|56,168.8,12|56,106854,33|56
A. K-6,GLOUCESTER,5590,WENONAH BORO,137.9,25|56,77757,10|56,126.4,28|56,91200,15|56
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,161.4,15|56,33500,2|56,170,11|56,33500,1|56
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,225,2|56,110000,40|56,226,2|56,110000,38|56
A. K-6,HUNTERDON,2590,LEBANON BORO,50,53|56,100000,22|56,51,52|56,83625,11|56
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,132.9,26|56,115401,47|56,134.5,27|56,55275,5|56
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,91.9,42|56,55833,6|56,90.9,40|56,55833,6|56
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,81,44|56,104040,27|56,93,38|56,125000,53|56
A. K-6,MORRIS,3240,MINE HILL TWP,120,32|56,111364,42|56,116.3,31|56,119705,50|56
A. K-6,OCEAN,230,BEACH HAVEN BORO,29.1,56|56,75000,9|56,35,55|56,120500,51|56
