GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
A. K-6,,,1. State average - Operating Type K-6,13685,,14139,,14993,,,,,
A. K-6,,,2. State median - Operating Type K-6,14639,,15084,,16144,,,,,
A. K-6,,,5. State average - All operating types,14736,,14940,,15714,,,,,
A. K-6,,,6. State median - All operating types,14490,,14813,,15552,,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,10653,4|56,11219,4|56,10597,1|56,907,906,1050,
A. K-6,BERGEN,3870,ORADELL BORO,12973,14|56,13032,13|56,14017,11|56,739,757,775,
A. K-6,BERGEN,4410,RIVER EDGE BORO,12504,11|56,13177,14|56,13962,10|56,1202,1177,1172,
A. K-6,BERGEN,4620,SADDLE RIVER BORO,24031,54|56,25526,54|56,29692,56|56,188,175,160,
A. K-6,BURLINGTON,200,BASS RIVER TWP,19443,52|56,20474,53|56,17752,38|56,116,109,130,
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,11073,5|56,11148,3|56,11048,2|56,728,764,829,
A. K-6,BURLINGTON,2960,MANSFIELD TWP,13561,21|56,13885,18|56,15019,20|56,658,640,664,
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15393,33|56,15296,30|56,16298,31|56,1209,1193,1206,
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,18412,47|56,19098,47|56,20557,50|56,245,224,222,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11342,7|56,11504,5|56,12273,7|56,200,198,208,
A. K-6,CAMDEN,5560,WATERFORD TWP,14148,25|56,16198,37|56,16923,34|56,877,830,839,
A. K-6,CAPE MAY,710,CAPE MAY CITY,17428,45|56,16376,38|56,16706,32|56,175,188,199,
A. K-6,CAPE MAY,2840,LOWER TWP,13503,20|56,14040,19|56,14665,18|56,1788,1725,1728,
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,13960,24|56,15849,33|56,16923,34|56,82,82,89,
A. K-6,ESSEX,1400,ESSEX FELLS BORO,19408,51|56,19295,49|56,20913,53|56,209,207,211,
A. K-6,ESSEX,1465,FAIRFIELD TWP,15749,35|56,15690,31|56,16113,28|56,627,648,639,
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,15793,36|56,15726,32|56,17145,37|56,665,685,694,
A. K-6,ESSEX,4530,ROSELAND BORO,15648,34|56,15905,34|56,17035,36|56,436,431,441,
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,10559,2|56,11016,1|56,11771,4|56,1243,1268,1327,
A. K-6,GLOUCESTER,1330,ELK TWP,13495,18|56,12697,11|56,14030,12|56,350,343,350,
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,11757,9|56,11756,7|56,12986,9|56,1399,1418,1407,
A. K-6,GLOUCESTER,2070,HARRISON TWP,10631,3|56,11114,2|56,11695,3|56,1494,1460,1460,
A. K-6,GLOUCESTER,2990,MANTUA TWP,14301,26|56,14451,21|56,14596,17|56,1270,1243,1259,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,13496,19|56,13488,15|56,15807,25|56,271,272,273,
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,10194,1|56,11626,6|56,11878,5|56,386,391,386,
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,11544,8|56,11899,8|56,12724,8|56,1751,1718,1711,
A. K-6,GLOUCESTER,5590,WENONAH BORO,14599,28|56,14892,27|56,15911,26|56,208,196,195,
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,13417,16|56,13551,16|56,14206,13|56,355,361,348,
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,13879,23|56,14601,24|56,16174,29|56,220,224,226,
A. K-6,HUNTERDON,2590,LEBANON BORO,22237,53|56,20330,52|56,20068,49|56,92,98,104,
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,14401,27|56,14391,20|56,15200,21|56,317,323,330,
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,19251,50|56,18053,45|56,20707,51|56,178,192,193,
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,17356,44|56,20276,51|56,20883,52|56,93,82,90,
A. K-6,MORRIS,3240,MINE HILL TWP,13389,15|56,13679,17|56,14471,15|56,367,359,360,
A. K-6,OCEAN,230,BEACH HAVEN BORO,26613,56|56,29429,56|56,28303,55|56,63,62,69,
A. K-6,OCEAN,320,BERKELEY TWP,12655,13|56,12861,12|56,14549,16|56,2103,2126,2054,
