GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,38,,,39,,,33,,
A. K-6,,,2. State median - Operating Type K-6,36,,,39,,,34,,
A. K-6,,,5. State average - All operating types,46,,,47,,,42,,
A. K-6,,,6. State median - All operating types,38,,,39,,,39,,
A. K-6,BERGEN,1270,EDGEWATER BORO,66,44|56,0.006,54,41|56,0.005,43,38|56,0.004
A. K-6,BERGEN,3870,ORADELL BORO,26,23|56,0.002,51,38|56,0.004,77,53|56,0.006
A. K-6,BERGEN,4410,RIVER EDGE BORO,17,16|56,0.001,15,9|56,0.001,21,16|56,0.002
A. K-6,BERGEN,4620,SADDLE RIVER BORO,215,53|56,0.009,95,51|56,0.004,31,26|56,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,33,25|56,0.002,16,13|56,0.001,63,49|56,0.004
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,18,18|56,0.002,35,27|56,0.003,17,7|56,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,36,27|56,0.003,59,44|56,0.004,53,46|56,0.004
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,44,37|56,0.003,9,6|56,0.001,22,18|56,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,151,50|56,0.008,28,22|56,0.001,66,51|56,0.003
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11,7|56,0.001,17,14|56,0.002,12,3|56,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,43,36|56,0.003,94,50|56,0.006,36,30|56,0.002
A. K-6,CAPE MAY,710,CAPE MAY CITY,24,22|56,0.001,20,18|56,0.001,23,19|56,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,17,16|56,0.001,42,29|56,0.003,20,13|56,0.001
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,246,54|56,0.018,180,53|56,0.011,45,39|56,0.003
A. K-6,ESSEX,1400,ESSEX FELLS BORO,198,52|56,0.010,257,54|56,0.013,119,55|56,0.006
A. K-6,ESSEX,1465,FAIRFIELD TWP,53,38|56,0.003,75,48|56,0.005,61,48|56,0.004
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,65,43|56,0.004,49,36|56,0.003,65,50|56,0.004
A. K-6,ESSEX,4530,ROSELAND BORO,95,48|56,0.006,74,47|56,0.005,40,34|56,0.002
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,42,33|56,0.004,31,25|56,0.003,30,25|56,0.003
A. K-6,GLOUCESTER,1330,ELK TWP,10,6|56,0.001,48,34|56,0.004,29,23|56,0.002
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,15,13|56,0.001,17,14|56,0.001,28,22|56,0.002
A. K-6,GLOUCESTER,2070,HARRISON TWP,40,30|56,0.004,33,26|56,0.003,27,20|56,0.002
A. K-6,GLOUCESTER,2990,MANTUA TWP,9,5|56,0.001,5,3|56,0.000,12,3|56,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,5,2|56,0.000,1,1|56,0.000,10,2|56,0.001
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,40,30|56,0.004,49,36|56,0.004,52,44|56,0.004
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,30,24|56,0.003,30,23|56,0.003,29,23|56,0.002
A. K-6,GLOUCESTER,5590,WENONAH BORO,18,18|56,0.001,13,8|56,0.001,18,8|56,0.001
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,19,21|56,0.001,2,2|56,0.000,6,1|56,0.000
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,14,10|56,0.001,9,6|56,0.001,18,8|56,0.001
A. K-6,HUNTERDON,2590,LEBANON BORO,184,51|56,0.008,70,46|56,0.003,48,41|56,0.002
