CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,2306389,1081361,758420,128420,194521,426223,16753,525320,159409,273485,0,0,0,19804,148,ATLANTIC COMMUNITY CHARTE,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6104,,,,,,,,,,,,,,,,INTERNATIONAL ACAD OF ATL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,4943691,2522581,2326474,107530,88577,830515,486129,779446,600219,811149,0,0,0,108935,327,CHARTERTECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,11930710,6222797,5419907,422280,380610,0,0,3711105,3329069,1949394,0,0,0,556451,951,BERGEN ARTS AND SCIENCES,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3588176,2120786,2001159,55890,63737,0,0,1050022,777373,417368,0,0,0,29688,201,ENGLEWOOD ON THE PALISADE,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4910733,2908945,2807098,42684,59163,0,0,689638,620648,1312150,242918,0,0,18893,306,TEANECK COMMUNITY CHARTER,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1550715,898307,715002,144784,38521,0,0,470250,355244,182158,0,0,0,10695,144,RIVERBANK CHARTER SCH OF,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,2168815,1047736,886065,157077,4594,0,0,794254,635188,326825,0,0,0,42933,151,BENJAMIN BANNEKER PREPARA,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,1799,3392266,1051530,614520,93568,343442,0,0,1955018,75846,385718,153938,0,0,0,104,KIPP COOPER NORCROSS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,1801,2311043,974527,475548,472325,26654,0,0,866162,399214,470354,144784,0,0,27000,66,CAMDEN PREP,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,1802,7141489,3663252,2410110,380598,872544,500938,336552,1687777,656810,1275142,0,0,14380,0,379,MASTERY SCHOOLS OF CAMDE,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6063,5425931,2481924,1714824,325449,441651,857222,175451,851053,302643,1235732,0,0,0,0,393,CAMDEN COMMUNITY CHARTER,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6067,2282440,1067763,957061,57025,53677,0,0,940408,412249,243820,0,30449,0,42006,199,THE KINGDOM CHARTER SCHOO,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6086,1854462,884352,801450,49489,33413,29700,0,398122,228471,542288,98857,0,0,0,169,HOPE COMMUNITY CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6107,,,,,,,,,,,,,,,,CAMDEN'S PROMISE CHARTER,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,2784993,1640036,1431731,126184,82121,279250,115512,560478,434570,256722,0,48507,0,10685,213,ENVIRONMENT COMMUNITY OPP,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,8757450,4634433,4083135,150368,400930,0,0,2743161,835764,1352823,116104,0,0,0,632,FREEDOM PREP CHARTER SCHO,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,16332248,8114197,7651585,362486,100126,3717095,2165786,3562130,2404382,762905,0,175921,0,137120,1372,LEAP ACADEMY UNIVERSITY C,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,2991318,1485564,1209027,73404,203133,468044,238973,732054,478308,257943,0,47713,0,26076,299,VINELAND PUBLIC CHARTER S,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6069,2118802,1168999,988104,82352,98543,231528,71551,404294,287368,286589,0,27393,0,6815,214,MILLVILLE PUBLIC CHARTER,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6089,1222917,736175,656082,56463,23630,118729,78869,242129,150856,119883,35933,6000,0,17698,144,COMPASS ACADEMY CHARTER S,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6100,,,,,,,,,,,,,,,,BRIDGETON PUBLIC CHARTER,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6020,4103717,1899900,1807695,42234,49971,0,0,1698151,1210354,505666,0,0,0,45620,262,PRIDE ACADEMY CHARTER SCH,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6022,4884840,2167786,1859229,211204,97353,0,0,1938991,1075848,759098,0,18965,0,6842,353,BURCH CHARTER SCHOOL OF E,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6029,4556294,2372905,2049158,193847,129900,210453,144973,879657,690476,1093279,158818,0,0,0,297,NEWARK EDUCATORS COMMUNIT,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6053,5384775,2273797,1801637,221951,250209,0,0,1976908,1122330,1107662,0,26408,0,0,331,GREAT OAKS LEGACY CHARTER,ESSEX,K. CHARTER,C,,,1,ESSEX
