CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM,optype
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,20316,,N.A.,N.A.,20849,,N.A.,N.A.,
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,19705,,N.A.,N.A.,20462,,N.A.,N.A.,
Atlantic,10,Absecon City,15182098,892,17018,12,15976759,875,18265,19,"K. K-12|K-8,751+",KK-12K-8751plus,
Atlantic,110,Atlantic City,177141732,7335,24151,90,172307927,7171,24029,85,"N. K-12|K-12,3500+",NK-12K-123500plus,
Atlantic,120,Atlantic Co Vocational,26194327,1489,17592,4,28384686,1548,18333,4,Q. County Voc,QCountyVoc,
Atlantic,125,Atlantic Co Special Serv,23211479,387,60051,5,22625162,365,61963,4,P. CSSD,PCSSD,
Atlantic,570,Brigantine City,21216024,811,26176,66,22060428,738,29886,66,"J. K-12|K-8,401-750",JK-12K-8401-750,
Atlantic,590,Buena Regional,44744322,1909,23434,40,45894390,1869,24555,41,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Atlantic,960,Corbin City,1265007,72,17692,5,1229330,69,17816,4,K-12|Non-Operating,,
Atlantic,1300,Egg Harbor City,12856888,527,24389,61,12961646,512,25298,60,"D. K-8|K-8,401-750",DK-8K-8401-750,
Atlantic,1310,Egg Harbor Twp,148123797,7424,19951,49,152996716,7497,20407,43,"N. K-12|K-12,3500+",NK-12K-123500plus,
Atlantic,1410,Estell Manor City,4433483,209,21206,37,5203137,208,25015,52,"I. K-12|K-8,0-400",IK-12K-80-400,
Atlantic,1540,Folsom Boro,8876506,485,18286,14,9210858,486,18939,12,"I. K-12|K-8,0-400",IK-12K-80-400,
Atlantic,1690,Galloway Twp,66289469,3344,19825,45,67859456,3336,20343,43,"E. K-8|K-8,751+",EK-8K-8751plus,
Atlantic,1790,Greater Egg Harbor Reg,81228327,3392,23947,28,85261385,3270,26076,34,"G. G9-12|7-12,9-12",GG9-127-129-12,
Atlantic,1940,Hamilton Twp,54010978,3050,17712,18,54536092,3132,17411,11,"E. K-8|K-8,751+",EK-8K-8751plus,
Atlantic,1960,Hammonton Town,55107436,3667,15027,1,57151569,3631,15741,2,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Atlantic,2680,Linwood City,15480321,837,18500,29,15796985,840,18801,28,"E. K-8|K-8,751+",EK-8K-8751plus,
Atlantic,2780,Longport,1184369,52,22776,8,973809,43,22647,8,K-12|Non-Operating,,
Atlantic,2910,Mainland Regional,32368603,1320,24527,33,32690017,1303,25098,31,"G. G9-12|7-12,9-12",GG9-127-129-12,
Atlantic,3020,Margate City,15803186,492,32129,72,15750701,452,34881,74,"I. K-12|K-8,0-400",IK-12K-80-400,
Atlantic,3480,Mullica Twp,13237549,750,17648,10,13940596,758,18400,9,"D. K-8|K-8,401-750",DK-8K-8401-750,
Atlantic,3720,Northfield City,16677007,910,18318,27,16439613,932,17643,13,"E. K-8|K-8,751+",EK-8K-8751plus,
Atlantic,4180,Pleasantville City,97551664,4011,24321,91,97266425,3913,24858,90,"N. K-12|K-12,3500+",NK-12K-123500plus,
Atlantic,4240,Port Republic City,2998951,173,17327,7,3133900,171,18291,8,"I. K-12|K-8,0-400",IK-12K-80-400,
Atlantic,4800,Somers Point City,19187427,985,19480,41,19512019,963,20254,41,"E. K-8|K-8,751+",EK-8K-8751plus,
Atlantic,5350,Ventnor City,24392451,1022,23880,59,24494361,944,25945,62,"J. K-12|K-8,401-750",JK-12K-8401-750,
Atlantic,5760,Weymouth Twp,4987864,231,21602,39,5050353,202,24964,51,"I. K-12|K-8,0-400",IK-12K-80-400,
Atlantic,6060,Atlantic City Community Charter School,2785967,149,18660,64,4967582,294,16879,46,O. Charter,OCharter,
Atlantic,6104,International Academy Of Atlantic City C,3965184,249,15931,30,4381436,328,13366,12,O. Charter,OCharter,
Atlantic,7410,Charter~tech High School,6378139,331,19275,68,6812273,320,21288,80,O. Charter,OCharter,
Bergen,40,Allendale Boro,18839747,913,20636,51,18568226,925,20070,40,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,80,Alpine Boro,6811840,221,30765,71,6903158,225,30633,69,"I. K-12|K-8,0-400",IK-12K-80-400,
Bergen,285,Bergen Co Special Service,63826293,655,97424,8,60684202,642,94464,8,P. CSSD,PCSSD,
Bergen,290,Bergen County Vocational,76801115,2159,35568,21,76219691,2321,32843,19,Q. County Voc,QCountyVoc,
Bergen,300,Bergenfield Boro,69251626,3543,19545,42,71588135,3603,19870,38,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,440,Bogota Boro,22541031,1131,19931,28,25350711,1131,22421,33,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,740,Carlstadt Boro,13128466,575,22840,53,13557226,561,24158,55,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,745,Carlstadt-East Rutherford,16381609,496,33000,46,15998769,496,32230,45,"G. G9-12|7-12,9-12",GG9-127-129-12,
Bergen,890,Cliffside Park Boro,51230451,2977,17210,13,53825776,3099,17368,9,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,930,Closter Boro,21560411,1128,19117,35,22747884,1143,19894,37,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,990,Cresskill Boro,33840828,1820,18592,25,34580242,1868,18514,18,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,1070,Demarest Boro,15670753,688,22779,52,21467742,688,31226,67,"D. K-8|K-8,401-750",DK-8K-8401-750,
Bergen,1130,Dumont Boro,49483828,2613,18936,30,51316451,2549,20128,38,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,1230,East Rutherford Boro,18153709,828,21915,66,18759259,836,22451,61,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,1270,Edgewater Boro,23318428,1312,17775,14,24860104,1323,18785,16,H. K-12|K-6,HK-12K-6,
Bergen,1345,Elmwood Park,44881387,2602,17252,14,44977781,2636,17062,7,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,1360,Emerson Boro,22756403,1193,19075,20,23056677,1142,20186,22,"L. K-12|K-12,0-1800",LK-12K-120-1800,
Bergen,1370,Englewood City,76282282,3162,24127,69,79874487,3159,25286,70,"M. K-12|K-12,1800-3500",MK-12K-121800-3500,
Bergen,1380,Englewood Cliffs Boro,13404567,593,22607,51,14765288,583,25320,61,"J. K-12|K-8,401-750",JK-12K-8401-750,
Bergen,1450,Fair Lawn Boro,97292251,4842,20093,53,103588981,4947,20940,55,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,1470,Fairview Boro,25357591,1833,13835,1,26475581,1948,13591,1,"K. K-12|K-8,751+",KK-12K-8751plus,
Bergen,1550,Fort Lee Boro,72927808,3761,19389,39,78258959,3793,20631,49,"N. K-12|K-12,3500+",NK-12K-123500plus,
Bergen,1580,Franklin Lakes Boro,32515863,1190,27329,75,33084558,1169,28315,75,"E. K-8|K-8,751+",EK-8K-8751plus,
Bergen,1700,Garfield City,111929987,5034,22234,73,114235603,5029,22717,75,"N. K-12|K-12,3500+",NK-12K-123500plus,
