CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9499475,6361548,6150449,163739,47360,1052247,890061,1087173,922693,951531,539591,0,44849,12296,852,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,110,118113113,77088822,74882718,929013,1277091,14050479,12668199,11274443,9356117,14839951,8863019,0,726201,258392,7118,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic
1,120,17793936,9353145,8728223,444230,180692,2128472,1972536,1839733,1295089,3661639,1916663,0,451107,142025,1489,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic
1,125,18763671,10586444,10276011,90657,219776,3612281,3470743,2474811,2162968,1838151,930539,250000,0,89138,387,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic
1,570,13033249,8228488,7964723,188793,74972,1848466,1597325,1271864,1010639,1536249,933066,0,142325,76613,668,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
1,590,28740074,17261803,16833970,400258,27575,4482150,3477742,3052166,2511502,3117945,1495194,0,800195,205148,1843,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic
1,1300,7275147,4346010,4192297,124302,29411,1186309,1099919,814836,673733,861888,384537,0,66104,0,511,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic
1,1310,102215320,61227731,57721179,1710070,1796482,18656866,17106555,8640500,7064597,11426948,7269806,0,1230382,253753,7349,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic
1,1410,2797084,1610773,1517089,81120,12564,335484,298804,391814,308424,425871,211368,6000,17267,0,170,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,1540,5172097,3088546,2792733,205250,90563,974865,909108,539434,371882,516592,226029,0,50509,15400,399,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic
1,1690,47815315,31032326,30265072,560315,206939,7226834,6550629,4577008,3967909,4812300,2624041,7096,120638,33537,3284,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1790,50469778,27045595,25635105,1090958,319532,6081715,5504955,6045521,4556238,8129352,4741762,0,3134124,439351,3272,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,Atlantic
1,1940,36316675,23097878,22196485,659878,241515,5582812,5321125,3650838,2978610,3805920,2094985,0,165493,171560,2994,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1960,38977790,23427097,22374169,967590,85338,5745926,4941418,4081088,3218164,4402671,1740261,0,1011652,725281,3627,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,Atlantic
1,2680,12531160,7581246,7309121,233743,38382,1884375,1798095,1512036,1194443,1420040,702672,0,133463,49965,834,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,Atlantic
1,2910,22304299,12860882,12500125,359208,1549,3164078,2946117,1822932,1446798,2462926,1242189,296004,1401236,270124,1298,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,Atlantic
1,3020,9878971,5983340,5667417,315279,644,1599935,1260947,760219,636489,1334004,657907,50752,87004,54541,399,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,3480,9247246,5789164,5487000,173934,128230,1262503,1131293,1158613,918890,977801,474763,0,59165,16995,743,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic
1,3720,12224737,8339568,7962324,341808,35436,1208969,1092989,1379158,1029877,1211586,611042,16318,69139,70265,906,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,Atlantic
1,4180,70223689,40078220,37403398,1284545,1390277,10613118,9849130,8527357,6378191,9357252,5431033,0,1158299,223760,3770,Pleasantville City,Atlantic,G. K-12 / 3501 +,3,A,1,1,Atlantic
1,4240,1761928,1022856,969102,16877,36877,351122,252320,213480,182111,173599,67600,0,872,0,116,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,Atlantic
