CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,4489848,1925169,1442663,73122,409384,225397,110945,1749684,313477,587387,39185,0,0,0,294,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,Atlantic
80,6104,3789497,1974856,1356320,203970,414566,266560,265914,1009477,429730,481719,98436,56885,0,0,328,International Academy Of Atlantic City C,Atlantic,K. Charter,C,,,1,Atlantic
80,7410,5851762,2674949,2583018,67445,24486,637680,593202,907687,695394,1512733,63310,0,118713,18097,320,Charter~tech High School,Atlantic,K. Charter,C,,,1,Atlantic
80,6013,12950590,6413592,5913821,85799,413972,0,0,4640341,2720362,1896657,0,0,0,49239,1100,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,Bergen
80,6430,3731624,2309675,2196300,77029,36346,0,0,992001,773093,429948,0,0,0,24990,245,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,Bergen
80,7890,4788070,2642628,2503451,50108,89069,67242,67242,657084,537098,1421116,319245,0,0,54611,320,Teaneck Community Cs,Bergen,K. Charter,C,,,1,Bergen
80,6026,1421291,915201,864618,19040,31543,0,0,344597,297521,161493,0,0,0,0,143,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,Burlington
80,6076,2288430,1286242,1185438,97296,3508,0,0,740771,524565,261417,0,0,0,14652,178,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,Burlington
80,1799,14503236,6509059,5620518,669636,218905,0,0,5443263,669190,2550914,1295434,0,0,32114,852,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden
80,1801,6597331,3321114,2659156,519882,142076,0,0,2320873,791238,955344,398477,0,0,0,376,Camden Prep,Camden,K. Charter,C,,,1,Camden
80,1802,29266964,15824367,12102814,968136,2753417,1885707,1324473,7638135,3444266,3786404,0,0,132351,0,1645,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,Camden
80,6067,2527679,1258661,1147629,76881,34151,140956,117866,930463,470707,158712,0,26894,11992,55220,204,Kingdom Cs Of Leadership,Camden,K. Charter,C,,,1,Camden
80,6086,2422719,1200922,1081857,42957,76108,139487,94606,540704,453631,533307,63332,8298,0,0,190,Hope Community Cs,Camden,K. Charter,C,,,1,Camden
80,6107,26857876,16714088,14970900,768307,974881,0,0,5259804,2835120,4647323,0,236661,0,0,1896,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,Camden
80,6232,2767600,1378324,1171711,88322,118291,208886,141624,692198,569022,473230,37739,0,0,0,143,Environment Community Cs,Camden,K. Charter,C,,,1,Camden
80,6240,11001329,5617526,4768385,366933,482208,567844,216263,3411153,1255397,1404806,0,0,0,0,812,Freedom Prep Charter School,Camden,K. Charter,C,,,1,Camden
80,7109,18502366,9253556,8699023,430153,124380,1606531,1054715,3740379,2652753,3184586,857875,0,157079,184319,1545,Leap Academy University Cs,Camden,K. Charter,C,,,1,Camden
80,6028,3581460,1874406,1719512,100860,54034,278468,245255,891292,478685,441806,12329,95489,0,4000,369,Vineland Public Charter School,Cumberland,K. Charter,C,,,1,Cumberland
80,6069,2950850,1484828,1372820,36144,75864,116420,111420,656492,217893,693111,44352,0,0,0,305,Millville Public Charter School,Cumberland,K. Charter,C,,,1,Cumberland
80,6089,1608256,971624,906077,47193,18354,101479,73456,309609,154427,225544,45769,0,0,0,192,Compass Academy Cs,Cumberland,K. Charter,C,,,1,Cumberland
80,6100,1382674,585078,568267,10889,5922,35554,33554,320631,150876,420823,42387,20588,0,0,122,Bridgeton Public Charter School,Cumberland,K. Charter,C,,,1,Cumberland
