CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6060,5743464,2516840,1879468,162835,474537,368246,194618,2175411,368782,682968,37689,0,0,0,375,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,16.3,53000,375,55000,250,69250,16,Atlantic
80,6104,4720658,2151260,1482077,150212,518971,330455,298947,1279561,563737,959382,113715,0,0,39889,348,International Academy Of Atlantic City C,Atlantic,K. Charter,C,,,1,15.1,49500,174,53500,174,89000,12.5,Atlantic
80,7410,5691960,3314982,3258090,46017,10875,474645,428052,861105,626218,933747,50505,0,107481,62978,353,Charter~tech High School,Atlantic,K. Charter,C,,,1,9.3,61045,117.7,57845,70.6,85000,8.2,Atlantic
80,6013,13506715,6178053,5597504,426109,154440,833186,732332,3201192,1426230,2857326,823094,0,436958,155520,1132,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,13.8,47000,226.4,60000,377.3,93636,29,Bergen
80,6430,4140274,2550671,2434827,66501,49343,0,0,1150646,943512,438957,0,0,0,5616,276,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,11,65145,276,50400,138,168141,13,Bergen
80,7890,4989176,2777329,2681238,56850,39241,76283,74221,693260,588301,1442304,359630,0,0,44619,322,Teaneck Community Cs,Bergen,K. Charter,C,,,1,12.4,65210,97.6,35986,80.5,115075,7.3,Bergen
80,6026,1343128,800709,773720,25469,1520,0,0,388101,358748,154318,0,0,0,0,144,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,10.3,42000,144,55000,72,87500,7.5,Burlington
80,6076,2690237,1258615,1186775,63860,7980,0,0,1028258,723526,403364,0,0,0,0,198,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,13.1,51500,198,50000,66,125000,5.4,Burlington
80,1799,22231465,9069243,7878594,246607,944042,0,0,5635916,1614974,7526305,1871163,0,0,341722,1115,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,19.6,65000,371.7,73232,,,,Camden
80,1801,9543064,3668288,3217213,369614,81461,0,0,5007050,2259215,867726,0,0,0,5886,518,Camden Prep,Camden,K. Charter,C,,,1,16.7,59000,,,172.7,105000,10.3,Camden
80,1802,37076624,18677835,14304294,937292,3436249,2139766,1634009,10089951,4131586,5995273,19915,0,173799,0,2081,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,14.1,64500,309.2,66352,189.2,113000,14.1,Camden
80,6067,2563710,1085807,978439,83248,24120,142768,105500,1133587,484620,183283,0,8583,9682,0,200,Kingdom Cs Of Leadership,Camden,K. Charter,C,,,1,10.5,50600,100,52750,33.3,75000,3.5,Camden
80,6086,2801864,1371178,1250362,76759,44057,81490,81490,761069,612841,578275,61837,9852,0,0,198,Hope Community Cs,Camden,K. Charter,C,,,1,7.7,47000,141.4,40454,99,116330,13.5,Camden
80,6107,28449820,18163487,16556832,641004,965651,0,0,2935606,1950520,7262813,1244043,87914,0,0,2066,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,10.5,52000,100.3,61200,142.5,98000,15,Camden
80,6232,3244095,1631481,1355621,110442,165418,196257,89588,884025,661686,518499,0,13833,0,35419,155,Environment Community Cs,Camden,K. Charter,C,,,1,8.2,55000,110.7,50750,77.5,107790,10.2,Camden
80,6240,12104606,6653542,5642926,405315,605301,0,0,3404736,1551459,2046328,336282,0,0,0,873,Freedom Prep Charter School,Camden,K. Charter,C,,,1,,,,,,,,Camden
80,7109,19146887,10012502,8841945,491837,678720,1703222,1116691,3761166,2572851,2991068,1013944,0,123956,38739,1538,Leap Academy University Cs,Camden,K. Charter,C,,,1,14.9,56957,591.5,52250,256.3,100776,17.6,Camden
80,6028,3924932,1731998,1625337,50034,56627,266134,202911,1105379,608089,774196,35796,47225,0,0,397,Vineland Public Charter School,Cumberland,K. Charter,C,,,1,11,45000,132.3,50000,132.3,110345,13,Cumberland
80,6069,2752436,1339875,1249963,57432,32480,44859,39859,545335,259336,822367,44073,0,0,0,274,Millville Public Charter School,Cumberland,K. Charter,C,,,1,9.1,46183,274,49440,91.3,72000,10.3,Cumberland
80,6089,1833916,1080858,957435,71108,52315,0,0,324186,153882,428872,195510,0,0,0,206,Compass Academy Cs,Cumberland,K. Charter,C,,,1,13.3,46875,103,55500,137.3,70693,11.7,Cumberland
80,6100,1281840,299139,282166,13268,3705,27109,26109,448249,264427,495608,0,11735,0,0,106,Bridgeton Public Charter School,Cumberland,K. Charter,C,,,1,7.6,45000,,,35.3,90000,4.7,Cumberland
80,6020,4039739,1500498,1455285,26787,18426,0,0,1200792,992453,1338449,458328,0,0,29676,287,Pride Academy Charter School,Essex,K. Charter,C,,,1,11.5,57000,95.7,61226,47.8,87411,4.7,Essex
80,6022,4550865,2109738,1977077,93536,39125,0,0,1707422,1031702,733705,0,0,0,0,352,Burch Charter School Of Excellence,Essex,K. Charter,C,,,1,14.1,53679,117.3,64890,117.3,100000,9.3,Essex
80,6029,4555091,2093149,1838697,110723,143729,611723,399434,722188,527276,1128031,75098,0,0,7880,251,Newark Educators Community Charter Schoo,Essex,K. Charter,C,,,1,14.8,54590,125.5,49774,62.8,81275,4.8,Essex
80,6053,21994448,10144274,7352072,1058500,1733702,236500,180503,8510624,6152357,3103050,0,0,0,0,1350,Great Oaks Legacy Charter School,Essex,K. Charter,C,,,1,19.4,56008,150,66625,122.7,85000,7.1,Essex
80,6057,7245166,3868564,3428015,96226,344323,0,0,1557130,1189678,1809512,813816,9960,0,0,374,Peoples Preparatory Charter School,Essex,K. Charter,C,,,1,15.6,63000,93.5,58100,124.7,135000,9.3,Essex
80,6058,4835631,2770726,2379578,137214,253934,0,0,885144,504206,1179761,250479,0,0,0,326,Roseville Community Cs,Essex,K. Charter,C,,,1,11.9,54590,95.9,65000,81.5,114406,7.7,Essex
80,6094,5856373,3218777,3037868,59301,121608,279571,168249,941060,424950,1416965,592801,0,0,0,377,Phillip's Academy  Cs,Essex,K. Charter,C,,,1,9.9,55705,125.7,66300,94.3,80000,10.3,Essex
80,6099,4764435,2780501,2515094,76492,188915,12138,0,1633563,1232346,338233,0,0,0,39301,287,Link Community Charter School,Essex,K. Charter,C,,,1,9.1,58980,136.7,68731,127.6,80000,14.6,Essex
80,6109,1380169,528984,429630,44811,54543,0,0,307789,8136,526545,298338,16851,0,19974,92,Lead Charter School,Essex,K. Charter,C,,,1,30.2,67000,23,59000,92,110000,7.1,Essex
80,6110,762278,564409,414968,68838,80603,872,0,161171,97761,32256,0,0,0,6280,63,Achieve Community Charter School,Essex,K. Charter,C,,,1,15.4,60000,,,31.5,100000,2.1,Essex
80,6320,1708081,1042649,862119,62197,118333,0,0,431927,215036,213505,0,20000,0,0,100,Discovery Cs,Essex,K. Charter,C,,,1,9.1,51500,,,26.7,70040,2.9,Essex
80,6410,6118449,2795743,2709403,65239,21101,0,0,2567872,1785721,709643,0,45191,0,0,482,East Orange Community Cs,Essex,K. Charter,C,,,1,13.8,54704,80.3,21500,120.5,89121,10.3,Essex
80,6665,4917657,2336541,1981278,167243,188020,0,0,1705869,1315342,875247,0,0,0,0,337,Gray Cs,Essex,K. Charter,C,,,1,18.7,63426,168.5,86713,112.3,114000,6.7,Essex
80,7210,25291906,12137416,10758324,477663,901429,1007758,1001274,7141838,6267226,4797659,1796664,165000,42235,0,1358,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,11.6,57152,113.2,77830,97,110825,9.2,Essex
80,7290,6824930,3636008,3366592,105987,163429,0,0,1844934,1397423,1343988,411272,0,0,263912,591,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,12.8,54866,295.5,60553,147.8,114536,12,Essex
80,7320,72885822,30884182,26016014,2894992,1973176,0,0,31220697,16781932,10705859,0,75084,0,248610,4959,North Star Academy Charter School,Essex,K. Charter,C,,,1,17.6,63000,708.4,62000,387.4,120000,22.6,Essex
80,7325,65792519,28672585,24365489,2968983,1338113,0,0,19343737,6697982,17776197,5069827,0,0,1450679,4043,Team Academy Charter School,Essex,K. Charter,C,,,1,20.1,65000,311,71699,,,,Essex
80,7730,9916744,5042352,4270604,583060,188688,1808191,1093975,1546694,1085826,1519507,0,0,0,333794,678,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,15.7,60990,180.8,44200,147.4,107406,10.2,Essex
80,7735,9041027,4356199,4090123,168742,97334,716986,690682,2791128,2241834,1176714,243917,0,0,2819,540,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,10,56425,270,74173,60,120861,6.2,Essex
80,8065,14324921,7650431,6457680,315894,876857,650637,299147,4025401,2627812,1907419,0,91033,0,0,749,University Heights Cs,Essex,K. Charter,C,,,1,11.2,56160,124.8,77239,124.8,128850,12.2,Essex
80,6030,3731882,2313457,2017465,47855,248137,0,0,666074,575860,752352,377072,0,0,27630,375,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,10.7,44701,125,51515,62.5,59045,6.3,Hudson
80,6036,4419132,2699704,2449619,16115,233970,0,0,1002288,916180,717140,267359,0,0,0,383,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,15.3,53550,191.5,67275,386.9,70000,27,Hudson
80,6064,4782951,2351968,2255915,51232,44821,0,0,1807572,1335516,623411,0,0,0,21289,382,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,13.6,55750,127.3,60750,191,100012,15.5,Hudson
80,6068,8172040,4112024,3587666,129876,394482,472064,389184,1746468,1341744,1819854,274072,0,21630,0,679,M E T S Charter School,Hudson,K. Charter,C,,,1,12.6,47000,339.5,58114,113.2,95000,9.3,Hudson
80,6082,9799645,4669252,4304744,0,364508,0,0,1622550,891107,3507843,1153421,0,0,212459,958,Beloved Community Charter School,Hudson,K. Charter,C,,,1,15.7,54250,319.3,62500,319.3,95000,21.3,Hudson
80,6093,3611655,1893282,1797554,59692,36036,89274,22236,916700,326490,712400,23023,0,0,2380,377,Jersey City Global Cs,Hudson,K. Charter,C,,,1,13,45000,,,125.7,85000,9.7,Hudson
