CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
1,10,10014959,6710250,6511031,150934,48285,1160287,1019402,1203982,1001986,885273,519872,0,47819,2730,867,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,13.2,77716,115.9,82775,173.8,107134,14.7,Atlantic
1,110,114557465,75149060,70167277,1838725,3143058,11905975,10635163,11501254,9135030,15028833,8343172,0,757139,610139,6952,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,11,96488,94.3,100939,225.7,144471,22.9,Atlantic
1,120,21102927,11789928,10715571,712969,361388,2312916,2119530,2260712,1596563,3939783,2080033,0,533469,163599,1603,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,12.1,56360,123.8,56085,178.9,100221,16.3,Atlantic
1,125,17791333,9889160,9357593,91648,439919,3529445,3339248,2277794,1867156,1974110,1042218,120000,0,129130,348,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,5.9,85326,11.9,92609,49.3,107625,12.4,Atlantic
1,570,13275306,8385760,8180736,152061,52963,2020827,1796965,1141800,927212,1583694,955903,0,136353,97125,576,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,8.6,91899,52.5,93421,132.5,111389,18,Atlantic
1,590,28370186,16779333,16074337,217168,487828,4449097,3574929,3178552,2490787,3119961,1448041,0,843243,304486,1739,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,11.5,82896,58.1,84059,145.2,119954,15.2,Atlantic
1,1300,7260127,4303156,4056004,147280,99872,1213711,1093612,799068,669338,878687,386382,0,65505,0,540,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,11.1,58526,66.8,69139,133.5,114892,14,Atlantic
1,1310,105799489,62881901,60086662,1274703,1520536,20006430,17857356,8799305,7175421,11853215,7446961,0,1249621,626477,7383,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,12.2,69688,75.7,69125,188.2,105817,17.9,Atlantic
1,1410,3094169,1815155,1712327,92780,10048,395671,349968,363634,298712,500372,226830,0,5199,0,183,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,12.6,73677,55.6,55745,81.8,85000,7.8,Atlantic
1,1540,5578223,3416835,3204952,102030,109853,963548,882644,560329,432333,578671,251853,0,56105,5958,395,Folsom Boro,Atlantic,C. K-8 / 401 - 750,2,CD,,1,10.2,56036,56.9,54828,132.7,90257,15.3,Atlantic
1,1690,50698696,33569060,32621215,709485,238360,6935936,6394799,4587389,4050436,5446496,2758897,0,121088,0,3311,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,11,80910,74.7,83210,193.3,24440,20.1,Atlantic
1,1790,51074205,28504998,25835891,796191,1872916,6664341,6188840,5412700,3819304,7601744,4320588,0,2839877,3000,3091,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,11.7,57116,95.8,73510,105.1,87756,10,Atlantic
1,1940,38930930,25060467,24081792,770533,208142,5568345,4985408,3870291,3231037,4250463,2158109,0,166051,84240,2946,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,11.8,66821,94.9,76477,196.2,115724,18.6,Atlantic
1,1960,40479503,24463888,23634677,672372,156839,5608465,5063502,4215595,3450587,4763870,2010757,77098,989310,85000,3495,Hammonton Town,Atlantic,G. K-12 / 3501 +,3,B,,1,14.2,66600,112.9,72026,191.3,111872,15.2,Atlantic
1,2680,13053369,7638446,7324965,226818,86663,2047096,1888354,1572232,1228961,1673440,718682,0,122154,35316,820,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,11.5,68406,67.6,58079,136.5,98846,13.9,Atlantic
1,2910,23052507,13382977,13034312,348665,0,3331912,3068278,1780428,1485900,2828438,1532672,2740,1405420,147942,1257,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,11.4,87851,74.5,89151,126.7,121593,12.8,Atlantic
