CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,6107318,2922008,2459193,108054,354761,696444,291295,1926699,399301,562166,0,0,0,4860,11.1,54060,193.5,62180,129,121650,12.3,387,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,Atlantic
80,6104,5438235,2878372,2604479,228893,45000,558592,386288,1264271,822296,737000,0,0,0,20000,,,,,,,,412,International Academy Of Atlantic City C,Atlantic,K. Charter,C,,,1,Atlantic
80,7410,6116273,3071247,2929253,94009,47985,1247227,775662,1137883,896066,659916,0,0,0,4289,9.4,52770,122,65000,81.3,96275,9.3,366,Charter~tech High School,Atlantic,K. Charter,C,,,1,Atlantic
80,6013,14465934,7250707,6515231,411367,324109,1976558,1629890,3510653,1574813,1728016,0,0,0,142514,14,49000,145.3,60962,387.3,95509,30.3,1162,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,Bergen
80,6430,4953026,3021625,2842875,90500,88250,674291,480613,770750,588250,486360,0,0,0,60000,13.1,70598,315,57600,157.5,171495,12.5,315,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,Bergen
80,7890,5446867,3012605,2897605,60000,55000,681408,511408,700459,581571,1052395,0,0,0,80000,12.6,67515,124.6,38997,81,118412,7.1,324,Teaneck Community Cs,Bergen,K. Charter,C,,,1,Bergen
80,6026,1541062,871721,799706,31515,40500,144448,94948,339983,294973,184910,0,0,0,0,10.8,44750,151,50000,75.5,89000,7.5,151,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,Burlington
80,6076,4780454,2634199,1984199,325000,325000,586093,286693,1115323,865397,289324,0,0,0,125000,12.1,48000,113.3,51500,75.6,70000,6.9,340,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,Burlington
80,1799,23996110,13891122,10191068,786646,2913408,4610481,2370479,2875517,1087156,2618989,0,0,0,803582,18.8,71000,338,66000,1352,80000,76,1352,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden
80,1801,12037242,4832674,3686762,521837,624075,1607729,439091,4261565,2121213,1335273,0,0,0,0,26,61000,,,145.6,105000,5.6,728,Camden Prep,Camden,K. Charter,C,,,1,Camden
80,1802,40216500,21210707,16494008,1004310,3712389,5434477,1747326,9271316,4626316,4300000,0,0,0,840000,15,67000,272.3,66352,224.1,127750,15.7,2241,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,Camden
80,6067,2447903,1421212,1299511,81376,40325,277530,148448,684161,463998,65000,0,0,0,25000,10.7,52118,60.7,55620,36.4,82400,4,182,Kingdom Cs Of Leadership,Camden,K. Charter,C,,,1,Camden
80,6086,2316915,1017999,956274,41500,20225,327806,157657,655850,574110,315260,0,0,0,0,9.5,48880,87.8,51848,70.2,74085,8,158,Hope Community Cs,Camden,K. Charter,C,,,1,Camden
80,6107,29858146,18754651,17091699,670000,992952,1590096,1324214,3780494,1833263,5732905,0,0,0,0,10.9,53000,104.2,60500,175.1,88800,17.7,2189,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,Camden
80,6232,3888569,2228610,1908610,125000,195000,561919,203919,671793,501293,426246,0,0,0,20000,10.2,55143,224,56050,112,111024,11.5,224,Environment Community Cs,Camden,K. Charter,C,,,1,Camden
