CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,10698165,7140734,6905484,165050,70200,1183498,1049990,1282605,1036279,1034298,566593,0,48249,51125,11.7,69322,114.4,80585,171.6,112000,16.2,872,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,110,131734240,84248906,77941811,2594271,3712824,14017708,12429292,13185539,9869483,18873065,9810864,0,1171142,683808,10.7,91880,95,101451,221.2,148779,23,7758,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic
1,120,24213894,13543482,12380653,800990,361839,2623978,2279945,2617316,1895685,4409248,2395107,0,709573,446801,11.6,57744,119.2,58410,166.9,99497,15.8,1626,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic
1,125,19187809,10612238,10022546,136115,453577,3805213,3581641,2463172,2062307,2304686,1234672,0,0,17100,6.2,86426,11.4,93803,38.6,109758,9.6,349,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic
1,570,14562182,9049701,8687776,255125,106800,2208996,1913856,1210346,965346,1895179,1056479,0,191819,177775,8.2,93649,46.2,95655,127,114452,18.2,582,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
1,590,30385984,17973864,16369416,297594,1306854,4717342,3239701,3362700,2513997,3381361,1626705,0,950717,382788,11.1,83896,55.8,85384,111.5,116307,12.1,1740,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic
1,1300,7905798,4559708,4230534,202474,126700,1336033,1207908,863037,703512,1057953,497346,0,89068,196679,10.5,55505,66.8,73469,133.5,118339,14.8,550,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic
1,1310,112697792,66788180,64327299,1233197,1227684,21294339,19590193,9165181,7562055,13080762,7965136,0,1255171,305250,12.1,71625,74.9,72875,188.3,108652,18.1,7186,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic
1,1410,3263595,1893597,1755197,125200,13200,460711,394211,336020,253296,524304,243304,0,28105,0,12.2,63541,60.5,55745,80.9,81600,7.8,184,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,1540,6038577,3585600,3297100,160000,128500,1078194,985694,663130,446130,641895,276270,0,66069,0,10.3,57779,57.3,56722,133.7,92288,15.3,395,Folsom Boro,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
1,1690,54761373,36388518,35028301,1131149,229068,7681190,6993937,5119803,4403825,5384512,2890526,0,144894,0,11,81930,75.2,83455,183.9,117839,19.1,3263,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1790,53362600,29358316,26209190,1167294,1981832,7013108,6367133,5598736,3997237,8202669,4303267,0,3140423,0,11.7,76020,96.7,89950,104.2,104685,10,3128,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,Atlantic
1,1940,41611500,26924657,25720658,929269,274730,6181947,5653540,4017308,3274806,4289000,2299985,0,181996,0,11.2,70285,80.9,62776,206.9,119589,21.1,3017,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1960,42259696,25921427,25053218,666332,201877,6020232,5312782,4515491,3594986,4297064,2060982,0,1082894,24000,14,71713,106.8,72402,188.4,122103,15.2,3527,Hammonton Town,Atlantic,G. K-12 / 3501 +,3,B,,1,Atlantic
1,2680,13983776,8174710,7844675,248535,81500,2335986,2135761,1630626,1264454,1684383,741483,0,158072,58001,11.7,71844,68.1,63070,117.9,102961,11.8,805,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,Atlantic
1,2910,25317225,14338400,13926461,411939,0,3560216,3174331,2040182,1504407,3590499,1568204,100000,1386099,149400,10.9,88612,68.9,89912,136.2,124644,14.4,1282,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,Atlantic
1,3020,10876568,6545849,6185698,321686,38465,1736491,1362122,751814,605062,1616522,739928,46000,155435,30116,7.2,96145,43.9,96145,70.2,106000,11.4,361,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,3480,10247779,5953278,5565954,304204,83120,1667316,1304696,1258268,964397,1259914,597232,10000,99003,5600,12.8,60925,72.4,57625,173.8,118598,16,732,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic
1,3720,13696090,9501369,9220769,243400,37200,1442595,1290745,1465558,1169686,1213725,591615,0,72843,6000,11.3,53863,92.5,51584,183.2,95000,18.2,899,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,Atlantic
1,4180,69168791,39194936,37111031,1412352,671553,10592314,9294126,7555980,6069011,10035166,5250279,0,1184431,76000,11.2,55589,70,56849,129.7,115163,13.4,3657,Pleasantville City,Atlantic,G. K-12 / 3501 +,3,A,1,1,Atlantic
1,4240,1957989,1206844,1147475,19055,40314,365045,298163,212430,136171,157745,62776,15000,925,0,6.4,56766,250,31969,100,102999,15.9,114,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,Atlantic
1,4800,15852855,9596380,9217519,205748,173113,2742778,2186365,1635765,1424744,1617861,814587,0,150543,18000,9.2,54309,57.4,77487,125.9,107500,15.9,924,Somers Point City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,5350,13882038,8720421,8383076,313999,23346,2041610,1562656,1401859,1121251,1634143,385738,0,84004,12600,9.4,89450,73.4,58145,110.2,112552,13.3,673,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic
1,5760,2992984,1603127,1499651,86176,17300,552756,454306,343127,307549,482400,219200,0,10376,0,10.8,55200,137.5,42700,47.1,83000,4.7,165,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,Atlantic
3,40,16615887,9590566,8693479,450256,446831,2908825,2344352,1864961,1542363,2073078,1142641,0,171034,153000,12.3,80903,81.1,80950,145.3,148604,13.6,919,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,80,4848205,2767239,2544588,126922,95729,1109391,982155,329888,285087,499190,141341,0,133394,0,6,65561,45.7,81063,45.7,111780,8.7,147,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen
3,285,52521203,29059224,25741659,469640,2847925,12889684,12010134,4151602,3180332,5546017,2363612,150000,57035,0,2.8,80899,3.9,87130,39.6,134770,24.1,556,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen
3,290,64788802,32868226,29945371,1984255,938600,6664332,6139532,12691283,9539088,10013719,5378219,0,1973608,0,10.2,84377,65.5,83177,113.9,139153,12.9,2299,Bergen County Vocational,Bergen,J. VOC,8,,,1,Bergen
3,300,59108835,36570980,30268258,1683507,4619215,7165673,5945608,6642117,5442597,7113527,4357654,0,1173478,315523,12.6,73275,73.3,76413,186.4,135125,17.3,3528,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen
3,440,18357181,10585286,9467599,469600,648087,2548953,1408878,2445003,1563303,2079220,1185085,0,685683,0,11.4,69888,73.9,69888,118,115000,12,1139,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,740,9820665,5911414,5623940,205000,82474,1514285,1288494,1251329,1068323,1103659,524757,0,32263,10000,12.2,74328,84.8,79516,110.2,127500,10.3,558,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,Bergen
3,745,10780263,5231936,5026136,169900,35900,2209889,1116469,1195056,863356,1621975,605825,5000,473096,0,13.2,97264,109.2,117264,89.4,137600,7.6,532,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,Bergen
3,890,44294660,28188880,26615876,598520,974484,6340909,4176600,4686055,3402143,3325209,1622761,250000,947287,180000,12.7,62890,101.8,92640,185.6,127300,16.5,3230,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen
3,930,18917260,12543948,11885431,406356,252161,2382039,1950257,2025213,1795105,1857348,1100598,0,103596,7650,12.6,88793,91.6,90215,183.2,125665,16.5,1185,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,990,28128076,18240099,16481305,725098,1033696,3146990,2643976,3573671,3102854,2396661,1386674,0,770655,105000,12.4,80138,86.6,94501,128.6,130224,11.9,1844,Cresskill Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,1070,14478448,8317725,7565891,410250,341584,2733336,2050276,1476622,1242122,1657459,822594,32738,153507,202500,9.7,64577,54.9,70162,113.5,140659,13.8,682,Demarest Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,1130,39269662,24203140,23227088,817725,158327,4121490,3748760,4978462,4342112,4886896,2971710,0,989056,6740,11.7,71940,83.9,68035,137.1,140712,13.4,2508,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen
3,1230,15199125,9794015,9005319,420100,368596,2147659,1697843,1713411,1359055,1437949,714675,0,54595,87396,11,90238,80.2,84108,160.4,127417,16.6,855,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen
3,1270,11535000,6712390,6218987,363153,130250,1821549,1289269,1436856,1320205,1515086,806590,0,14413,0,14.3,56953,93,60679,167.3,129178,13.5,1027,Edgewater Boro,Bergen,A. K-6,1,DE,,1,Bergen
3,1345,31650792,16711021,16150386,245827,314808,5589134,4186459,4931665,3898503,3673789,2108321,0,708508,0,13.6,51610,80.7,54887,196.2,112939,16.9,2728,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,Bergen
3,1360,18878785,10712381,10171866,255187,285328,2385438,1866660,2508380,2378906,2303603,1302219,0,892829,0,11.2,64500,78.9,63000,105.9,133966,10.8,1118,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
3,1370,54834069,32896008,28100344,1158664,3637000,10005088,6642438,5612595,4337510,5034359,932659,0,1223985,646093,11.7,72100,68.8,76730,133.1,139602,13.3,3041,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,1380,10826941,6167843,5837149,175509,155185,2349668,1917533,1148095,867108,1132020,665901,0,5054,0,9,71640,68.1,66878,81.7,120133,10.2,512,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
