GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,14.9,N.A.,14.7,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,14.0,N.A.,13.1,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,14.5,N.A.,14.6,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,13.5,N.A.,13.7,N.A.
A. K-6,Bergen,1270,Edgewater Boro,13.5,30|57,13.7,27|57
A. K-6,Bergen,3870,Oradell Boro,11.3,40|57,10.5,43|57
A. K-6,Bergen,4410,River Edge Boro,13.4,34|57,12.9,31|57
A. K-6,Bergen,4620,Saddle River Boro,5.9,56|57,5.3,57|57
A. K-6,Burlington,200,Bass River Twp,14.6,26|57,14.6,25|57
A. K-6,Burlington,830,Chesterfield Twp,13.5,30|57,13.9,26|57
A. K-6,Burlington,2960,Mansfield Twp,15.5,24|57,10.8,41|57
A. K-6,Burlington,3650,North Hanover Twp,16.6,17|57,15.7,23|57
A. K-6,Burlington,5010,Springfield Twp,13.4,34|57,9.5,47|57
A. K-6,Camden,2540,Laurel Springs Boro,9.8,47|57,10.4,44|57
A. K-6,Camden,3770,Oaklyn Boro,13.5,30|57,40.5,1|57
A. K-6,Camden,5560,Waterford Twp,16.8,16|57,16.7,18|57
A. K-6,Cape May,710,Cape May City,7.6,55|57,11.1,39|57
A. K-6,Cape May,2840,Lower Twp,19.4,7|57,19.4,8|57
A. K-6,Cape May,5610,West Cape May Boro,8.6,52|57,6.4,56|57
A. K-6,Essex,1400,Essex Fells Boro,18.1,12|57,18.1,13|57
A. K-6,Essex,1465,Fairfield Twp,18.7,9|57,14.8,24|57
A. K-6,Essex,3630,North Caldwell Boro,17.7,13|57,18.5,10|57
A. K-6,Essex,4530,Roseland Boro,16.2,21|57,16.9,16|57
A. K-6,Gloucester,1180,East Greenwich Twp,16.6,17|57,17.0,15|57
A. K-6,Gloucester,1330,Elk Twp,35.0,2|57,35.0,2|57
A. K-6,Gloucester,1590,Franklin Twp,17.0,15|57,16.8,17|57
A. K-6,Gloucester,2070,Harrison Twp,15.4,25|57,16.1,22|57
A. K-6,Gloucester,2990,Mantua Twp,21.8,4|57,20.9,6|57
A. K-6,Gloucester,3490,National Park Boro,9.8,47|57,10.3,45|57
A. K-6,Gloucester,4880,South Harrison Twp,35.8,1|57,34.1,3|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,15.9,22|57,16.3,20|57
A. K-6,Gloucester,5590,Wenonah Boro,14.3,28|57,11.3,37|57
A. K-6,Gloucester,5740,Westville Boro,10.7,43|57,12.3,33|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,27.4,3|57,27.4,5|57
A. K-6,Hunterdon,2590,Lebanon Boro,14.6,26|57,8.1,54|57
A. K-6,Monmouth,130,Atlantic Highlands Boro,10.8,42|57,10.8,41|57
A. K-6,Monmouth,2160,Highlands Boro,12.1,38|57,11.3,37|57
A. K-6,Monmouth,4520,Roosevelt Boro,14.0,29|57,11.1,39|57
A. K-6,Morris,3240,Mine Hill Twp,12.2,37|57,11.5,36|57
A. K-6,Ocean,230,Beach Haven Boro,13.1,36|57,12.2,34|57
A. K-6,Ocean,320,Berkeley Twp,17.4,14|57,18.3,11|57
A. K-6,Ocean,1150,Eagleswood Twp,8.4,53|57,8.5,51|57
A. K-6,Ocean,2350,Island Heights Boro,10.0,45|57,9.2,48|57
A. K-6,Ocean,2690,Little Egg Harbor Twp,15.6,23|57,13.1,29|57
A. K-6,Ocean,2760,Long Beach Island,11.7,39|57,11.6,35|57
A. K-6,Ocean,3800,Ocean Gate Boro,8.7,51|57,8.2,52|57
A. K-6,Ocean,3820,Ocean Twp,16.3,20|57,16.3,20|57
A. K-6,Ocean,4710,Seaside Heights Boro,21.2,5|57,30.0,4|57
A. K-6,Ocean,5020,Stafford Twp,18.2,11|57,16.6,19|57
A. K-6,Ocean,5220,Tuckerton Boro,18.4,10|57,18.9,9|57
A. K-6,Sussex,1630,Fredon Twp,10.7,43|57,8.2,52|57
A. K-6,Sussex,1980,Hampton Twp,9.0,50|57,13.0,30|57
A. K-6,Sussex,4650,Sandyston-Walpack Twp,19.1,8|57,18.3,11|57
A. K-6,Sussex,5040,Stillwater Twp,9.4,49|57,9.1,49|57
A. K-6,Warren,400,Blairstown Twp,11.1,41|57,12.7,32|57
A. K-6,Warren,1620,Franklin Twp,10.0,45|57,9.6,46|57
A. K-6,Warren,1670,Frelinghuysen Twp,5.9,56|57,6.9,55|57
A. K-6,Warren,2470,Knowlton Twp,8.4,53|57,9.1,49|57
A. K-6,Warren,2970,Mansfield Twp,20.1,6|57,20.6,7|57
A. K-6,Warren,5480,Washington Boro,16.6,17|57,17.1,14|57
A. K-6,Warren,5530,Washington Twp,13.5,30|57,13.7,27|57
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,14.8,N.A.,15.1,N.A.
