Group,Coname,Dist,Distname, EX121 , EX221 
A. K-6,Bergen,1270,Edgewater Boro, -   , -   
A. K-6,Bergen,3870,Oradell Boro,"313,258","300,000"
A. K-6,Bergen,4410,River Edge Boro,"500,000","500,000"
A. K-6,Bergen,4620,Saddle River Boro,"210,206","405,218"
A. K-6,Burlington,200,Bass River Twp, -   , -   
A. K-6,Burlington,830,Chesterfield Twp,"107,815","328,083"
A. K-6,Burlington,2960,Mansfield Twp,"1,007,845","797,828"
A. K-6,Burlington,3650,North Hanover Twp, -   , -   
A. K-6,Burlington,5010,Springfield Twp,"313,197","315,000"
A. K-6,Camden,2540,Laurel Springs Boro,"310,363","431,372"
A. K-6,Camden,3770,Oaklyn Boro,"212,404","261,317"
A. K-6,Camden,5560,Waterford Twp,"464,738","555,498"
A. K-6,Cape May,710,Cape May City, -   , -   
A. K-6,Cape May,2840,Lower Twp,"1,008,403","1,461,869"
A. K-6,Cape May,5610,West Cape May Boro,"134,318","139,889"
A. K-6,Essex,1400,Essex Fells Boro,"200,000","200,000"
A. K-6,Essex,1465,Fairfield Twp,"624,883","445,000"
A. K-6,Essex,3630,North Caldwell Boro,"75,000","75,000"
A. K-6,Essex,4530,Roseland Boro,"250,000","1,931"
A. K-6,Gloucester,1180,East Greenwich Twp,"1,265,665","1,322,514"
A. K-6,Gloucester,1330,Elk Twp,"490,711","607,313"
A. K-6,Gloucester,1590,Franklin Twp,"1,064,948", -   
A. K-6,Gloucester,2070,Harrison Twp,"664,584","652,040"
A. K-6,Gloucester,2990,Mantua Twp,"678,415","253,684"
A. K-6,Gloucester,3490,National Park Boro,"341,899","286,631"
A. K-6,Gloucester,4880,South Harrison Twp,"123,961","183,852"
A. K-6,Gloucester,5120,Swedesboro-Woolwich,"883,060","1,035,169"
A. K-6,Gloucester,5590,Wenonah Boro,"12,208","96,758"
A. K-6,Gloucester,5740,Westville Boro,"553,144","617,821"
A. K-6,Gloucester,5870,Woodbury Heights Boro,"552,788","448,549"
A. K-6,Hunterdon,2590,Lebanon Boro, -   , -   
A. K-6,Monmouth,130,Atlantic Highlands Boro,"95,955","342,525"
A. K-6,Monmouth,2160,Highlands Boro,"482,738","485,718"
A. K-6,Monmouth,4520,Roosevelt Boro,"64,038","254,191"
A. K-6,Morris,3240,Mine Hill Twp, -   , -   
A. K-6,Ocean,230,Beach Haven Boro, -   , -   
A. K-6,Ocean,320,Berkeley Twp,"2,209,671","2,663,836"
A. K-6,Ocean,1150,Eagleswood Twp,"148,869","167,041"
A. K-6,Ocean,2350,Island Heights Boro, -   , -   
A. K-6,Ocean,2690,Little Egg Harbor Twp,"898,809","1,220,630"
A. K-6,Ocean,2760,Long Beach Island,"72,460", -   
A. K-6,Ocean,3800,Ocean Gate Boro,"261,603","116,027"
A. K-6,Ocean,3820,Ocean Twp,"357,243","519,697"
A. K-6,Ocean,4710,Seaside Heights Boro, -   ,"2,814"
A. K-6,Ocean,5020,Stafford Twp,"330,000","497,160"
A. K-6,Ocean,5220,Tuckerton Boro,"8,632","119,764"
A. K-6,Sussex,1630,Fredon Twp,"1,063","99,423"
A. K-6,Sussex,1980,Hampton Twp,"222,580","389,204"
A. K-6,Sussex,4650,Sandyston-Walpack Twp, -   , -   
A. K-6,Sussex,5040,Stillwater Twp,"333,470","333,470"
A. K-6,Warren,400,Blairstown Twp,"109,572","228,784"
A. K-6,Warren,1620,Franklin Twp,"152,334","209,397"
A. K-6,Warren,1670,Frelinghuysen Twp, -   ,"99,285"
A. K-6,Warren,2470,Knowlton Twp,"516,656","390,491"
A. K-6,Warren,2970,Mansfield Twp, -   , -   
A. K-6,Warren,5480,Washington Boro,"576,434","384,974"
A. K-6,Warren,5530,Washington Twp, -   , -   
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,"199,608","223,779"
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,"553,122","474,497"
B. K-8 / 0 - 400,Atlantic,3020,Margate City,"634,434","1,305,152"
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,"63,239","37,880"
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,"122,311","163,804"
B. K-8 / 0 - 400,Bergen,80,Alpine Boro, -   ,"579,620"
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,"210,437","196,499"
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,"37,658","302,657"
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,"284,551","116,292"
B. K-8 / 0 - 400,Burlington,380,Beverly City,"465,731","422,977"
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp, -   , -   
B. K-8 / 0 - 400,Burlington,4460,Riverton,"47,167","47,283"
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp, -   , -   
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,"87,718", -   
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,"274,326","250,000"
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,"179,271","571,125"
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,"1,051,221","1,038,719"
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,"1,496,148","1,781,735"
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,"87,025","159,856"
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,"681,133","932,746"
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,"124,583","76,930"
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,"836,550","458,533"
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,"109,190","112,127"
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,"220,423","220,637"
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,"303,164","249,916"
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,968, -   
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,"64,311","56,349"
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro, -   , -   
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,"351,849","376,153"
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,"256,357","598,574"
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,"104,095","151,157"
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner, -   , -   
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,"71,599","56,228"
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,"103,002","95,905"
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,"4,101","2,554"
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro, -   ,"6,547"
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro, -   , -   
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,"159,798","328,327"
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,"153,997","243,772"
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro, -   , -   
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,"399,515","231,904"
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,"250,762","321,285"
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro, -   ,"276,188"
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,"83,027","93,411"
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,"38,672","250,616"
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,"829,192","662,084"
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,"416,047","320,740"
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,"495,681","407,755"
