Group,Coname,Dist,Distname,PP18,RK18, PCT18 ,PP28,RK28, PCT28 ,PP38,RK38, PCT38 
A. K–6,Statewide,N.A.,1. State average - Operating Type K-6,1605,N.A., 0.108 ,1624,N.A., 0.105 ,1659,N.A., 0.100 
A. K–6,Statewide,N.A.,2. State median - Operating Type K-6,1766,N.A., 0.112 ,1773,N.A., 0.105 ,1818,N.A., 0.104 
A. K–6,Statewide,N.A.,5. State average - All operating types,1732,N.A., 0.111 ,1792,N.A., 0.111 ,1804,N.A., 0.106 
A. K–6,Statewide,N.A.,6. State median - All operating types,1814,N.A., 0.116 ,1866,N.A., 0.115 ,1918,N.A., 0.113 
A. K–6,Bergen,1270,Edgewater Boro,1372,12|57, 0.120 ,1477,15|57, 0.126 ,1339,5|57, 0.119 
A. K–6,Bergen,3870,Oradell Boro,1878,34|57, 0.132 ,1772,28|57, 0.118 ,1815,28|57, 0.115 
A. K–6,Bergen,4410,River Edge Boro,1685,25|57, 0.120 ,1668,24|57, 0.120 ,1668,21|57, 0.116 
A. K–6,Bergen,4620,Saddle River Boro,2043,43|57, 0.070 ,2128,45|57, 0.081 ,1818,29|57, 0.074 
A. K–6,Burlington,200,Bass River Twp,2348,56|57, 0.117 ,2446,54|57, 0.118 ,1965,38|57, 0.092 
A. K–6,Burlington,830,Chesterfield Twp,1405,13|57, 0.104 ,1419,11|57, 0.111 ,1541,16|57, 0.100 
A. K–6,Burlington,2960,Mansfield Twp,2241,50|57, 0.125 ,2117,43|57, 0.112 ,1985,39|57, 0.098 
A. K–6,Burlington,3650,North Hanover Twp,1766,29|57, 0.104 ,1692,25|57, 0.094 ,1741,25|57, 0.087 
A. K–6,Burlington,5010,Springfield Twp,2056,45|57, 0.106 ,2031,39|57, 0.111 ,2016,42|57, 0.104 
A. K–6,Camden,2540,Laurel Springs Boro,1456,17|57, 0.106 ,1602,22|57, 0.120 ,1673,22|57, 0.105 
A. K–6,Camden,3770,Oaklyn Boro,1663,22|57, 0.104 ,1479,16|57, 0.079 ,1506,15|57, 0.082 
A. K–6,Camden,5560,Waterford Twp,1939,39|57, 0.119 ,1960,35|57, 0.105 ,1925,35|57, 0.096 
A. K–6,Cape May,710,Cape May City,2291,54|57, 0.113 ,2597,57|57, 0.105 ,2127,47|57, 0.092 
A. K–6,Cape May,2840,Lower Twp,1145,2|57, 0.080 ,1168,3|57, 0.078 ,1238,2|57, 0.075 
A. K–6,Cape May,5610,West Cape May Boro,1069,1|57, 0.074 ,1326,6|57, 0.082 ,1319,4|57, 0.081 
A. K–6,Essex,1400,Essex Fells Boro,1988,41|57, 0.104 ,1707,26|57, 0.091 ,1750,26|57, 0.088 
A. K–6,Essex,1465,Fairfield Twp,1712,26|57, 0.111 ,1817,33|57, 0.112 ,1991,40|57, 0.114 
A. K–6,Essex,3630,North Caldwell Boro,2041,42|57, 0.118 ,2041,40|57, 0.118 ,2299,54|57, 0.119 
A. K–6,Essex,4530,Roseland Boro,1901,36|57, 0.127 ,1792,31|57, 0.118 ,1907,33|57, 0.112 
A. K–6,Gloucester,1180,East Greenwich Twp,1284,8|57, 0.110 ,1328,7|57, 0.112 ,1408,9|57, 0.108 
A. K–6,Gloucester,1330,Elk Twp,1205,5|57, 0.093 ,1266,5|57, 0.086 ,1447,12|57, 0.089 
A. K–6,Gloucester,1590,Franklin Twp,1319,10|57, 0.104 ,1259,4|57, 0.103 ,1375,6|57, 0.097 
A. K–6,Gloucester,2070,Harrison Twp,1295,9|57, 0.107 ,1406,10|57, 0.109 ,1425,11|57, 0.106 
A. K–6,Gloucester,2990,Mantua Twp,1519,19|57, 0.105 ,1636,23|57, 0.109 ,1568,17|57, 0.107 
A. K–6,Gloucester,3490,National Park Boro,1473,18|57, 0.098 ,1552,18|57, 0.102 ,1621,18|57, 0.098 
A. K–6,Gloucester,4880,South Harrison Twp,1225,6|57, 0.097 ,1447,14|57, 0.112 ,1379,7|57, 0.106 
A. K–6,Gloucester,5120,Swedesboro-Woolwich,1742,27|57, 0.139 ,1773,29|57, 0.135 ,1860,31|57, 0.130 
A. K–6,Gloucester,5590,Wenonah Boro,2181,47|57, 0.136 ,2025,38|57, 0.120 ,2127,47|57, 0.123 
A. K–6,Gloucester,5740,Westville Boro,1192,4|57, 0.098 ,1164,2|57, 0.099 ,1289,3|57, 0.095 
A. K–6,Gloucester,5870,Woodbury Heights Boro,1672,23|57, 0.117 ,1745,27|57, 0.119 ,1715,23|57, 0.103 
