CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
1,10,10014959,6710250,6511031,150934,48285,1160287,1019402,1203982,1001986,885273,519872,0,47819,2730,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,867.2,Atlantic,
1,110,114557465,75149060,70167277,1838725,3143058,11905975,10635163,11501254,9135030,15028833,8343172,0,757139,610139,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,6952.1,Atlantic,
1,120,21102927,11789928,10715571,712969,361388,2312916,2119530,2260712,1596563,3939783,2080033,0,533469,163599,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,1602.8,Atlantic,
1,125,17791333,9889160,9357593,91648,439919,3529445,3339248,2277794,1867156,1974110,1042218,120000,0,129130,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,348.2,Atlantic,
1,570,13275306,8385760,8180736,152061,52963,2020827,1796965,1141800,927212,1583694,955903,0,136353,97125,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,575.6,Atlantic,
1,590,28370186,16779333,16074337,217168,487828,4449097,3574929,3178552,2490787,3119961,1448041,0,843243,304486,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,1739.1,Atlantic,
1,1300,7260127,4303156,4056004,147280,99872,1213711,1093612,799068,669338,878687,386382,0,65505,0,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,540.2,Atlantic,
1,1310,105799489,62881901,60086662,1274703,1520536,20006430,17857356,8799305,7175421,11853215,7446961,0,1249621,626477,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,7383.1,Atlantic,
1,1410,3094169,1815155,1712327,92780,10048,395671,349968,363634,298712,500372,226830,0,5199,0,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,183.4,Atlantic,
1,1540,5578223,3416835,3204952,102030,109853,963548,882644,560329,432333,578671,251853,0,56105,5958,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,395.1,Atlantic,
1,1690,50698696,33569060,32621215,709485,238360,6935936,6394799,4587389,4050436,5446496,2758897,0,121088,0,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,3310.6,Atlantic,
1,1790,51074205,28504998,25835891,796191,1872916,6664341,6188840,5412700,3819304,7601744,4320588,0,2839877,3000,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,3091.1,Atlantic,
1,1940,38930930,25060467,24081792,770533,208142,5568345,4985408,3870291,3231037,4250463,2158109,0,166051,84240,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,2945.5,Atlantic,
1,1960,40479503,24463888,23634677,672372,156839,5608465,5063502,4215595,3450587,4763870,2010757,77098,989310,85000,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,3495,Atlantic,
1,2680,13053369,7638446,7324965,226818,86663,2047096,1888354,1572232,1228961,1673440,718682,0,122154,35316,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,820,Atlantic,
1,2910,23052507,13382977,13034312,348665,0,3331912,3068278,1780428,1485900,2828438,1532672,2740,1405420,147942,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,1257.1,Atlantic,
1,3020,10087208,6258827,6085363,170964,2500,1586857,1322572,721036,599688,1337173,720231,32434,116993,26954,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,366.6,Atlantic,
1,3480,9417118,5555210,5365086,160149,29975,1552610,1311083,1144504,859850,1087608,530800,0,77186,49697,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,737.1,Atlantic,
1,3720,13002951,9044939,8704250,306221,34468,1310519,1187511,1408285,1112853,1164995,544226,0,74214,16555,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,903.6,Atlantic,
1,4180,67725028,38450079,36093708,847063,1509308,9815551,9117086,7773887,5992048,10050761,5465347,0,1137271,115504,Pleasantville City,Atlantic,F. K-12 / 1801 - 3500,3,A,1,1,3689.3,Atlantic,
1,4240,1951746,1134420,1054221,44573,35626,384462,280748,207212,121188,210651,73200,15000,0,0,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,115.4,Atlantic,
1,4800,15069800,9282530,8845056,287770,149704,2458172,2099143,1572282,1322592,1517716,831091,0,134979,5901,Somers Point City,Atlantic,D. K-8 / 751 +,2,CD,,1,921.3,Atlantic,
1,5350,12468463,7749845,7478463,256026,15356,1825671,1389000,1394277,1118554,1436439,309803,0,62231,228234,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,664.9,Atlantic,
1,5760,3027712,1807893,1698540,84771,24582,371954,306332,384753,311316,442249,164995,0,1867,0,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,154.5,Atlantic,
3,40,14440398,8336688,7674310,291365,371013,2553848,2098326,1677933,1393257,1743619,984905,0,128310,119791,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,908.9,Bergen,
3,80,4571306,2826374,2637035,99709,89632,912672,839794,384708,322057,437240,176139,0,2500,0,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,147.4,Bergen,
3,285,50934809,28105191,24729479,674882,2700830,12465276,11406153,4446710,3146681,5119478,2038554,150000,50345,1098098,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,602.3,Bergen,
3,290,59660740,29788177,27403030,1487780,897367,6024934,5616036,11954331,8729252,9069489,4858071,300172,1874389,453846,Bergen County Vocational,Bergen,J. VOC,8,,,1,2381.5,Bergen,
3,300,55613642,34793210,28786396,1671772,4335042,6890168,5866209,5937813,4910610,6513725,3933999,0,1120259,700318,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,3561.1,Bergen,
3,440,16490565,9894630,9003282,452740,438608,2168067,1240645,2166640,1362091,1657198,762259,0,586211,181939,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1115.9,Bergen,
3,740,8707340,5289323,5030510,210772,48041,1290372,1110809,1128411,961577,958132,470583,0,35662,0,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,541.5,Bergen,
