CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6060,6028133,2728759,2362732,86448,279579,385452,283469,2164288,378578,745232,41916,0,0,7090,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,387.6,11.1,54060,194,62180,129.3,121650,12.3,Atlantic
80,6104,5853489,3066149,2344613,399975,321561,252326,219916,1505385,814545,1029629,118450,0,0,29428,International Academy Of Atlantic City C,Atlantic,K. Charter,C,,,1,403.6,,,,,,,,Atlantic
80,7410,6020287,2955531,2850207,98327,6997,600857,537914,1209842,941065,1033093,32419,0,220936,20789,Charter~tech High School,Atlantic,K. Charter,C,,,1,357.2,9.2,52770,119,65000,79.3,96275,9.3,Atlantic
80,6013,13643212,6333262,5820523,305387,207352,875499,831558,3280308,1488413,2761645,763488,0,392498,115834,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,1155.1,13.9,49000,144.4,60962,385,95509,30.3,Bergen
80,6430,4249431,2590674,2464536,56638,69500,37678,0,1134107,925839,486972,0,0,0,33036,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,312.3,13,70598,312,57600,156,171495,12.5,Bergen
80,7890,5268302,2889407,2776553,58307,54547,0,0,1284962,1034630,1093933,0,0,0,68288,Teaneck Community Cs,Bergen,K. Charter,C,,,1,323.3,12.6,67515,124.2,38997,80.8,118412,7.1,Bergen
80,6026,1567478,848109,834748,11060,2301,0,0,542834,488499,176535,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,152.7,10.9,44750,153,50000,76.5,89000,7.5,Burlington
80,6076,4225540,2432176,2121795,238054,72327,0,0,1467374,1037083,325990,0,0,0,276,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,356.8,12.8,48000,119,51500,79.3,70000,6.9,Burlington
80,1799,21015286,8422895,7244376,999441,179078,0,0,10862005,5480917,1730386,0,0,0,522218,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,1350.9,18.8,71000,337.8,66000,1351,80000,76,Camden
80,1801,12018418,4665486,4375089,203871,86526,0,0,5399883,2669446,1953049,0,0,0,0,Camden Prep,Camden,K. Charter,C,,,1,821.3,29.3,61000,,,164.2,105000,5.6,Camden
