Co,Dist,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,Distname,Coname,Group,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19
1,10,10990748,7245997,6953758,217813,74426,1377220,1142037,1340034,1068807,957503,504349,0,61914,75941,Absecon City,Atlantic,D. K–8/751+,853.5,11.7,69322,114.4,80585,171.6,112000,16.2
1,110,117600421,75771149,70014411,2224836,3531902,12744032,11890210,11634969,8893227,16464066,8269742,0,769646,1974191,Atlantic City,Atlantic,G. K–12/3501+,6550.1,10.7,91880,95,101451,221.2,148779,23
1,120,22225062,12208993,11417937,478865,312191,2686288,2412061,2432128,1733991,4020390,2142884,0,627598,422630,Atlantic Co Vocational,Atlantic,J. Voc,1636.1,11.6,57744,119.2,58410,166.9,99497,15.8
1,125,16896421,9082140,8478027,76681,527432,3596635,3480577,2213819,1858411,2003826,1135836,0,0,53232,Atlantic Co Special Serv,Atlantic,I. CSSD,320.1,6.2,86426,11.4,93803,38.6,109758,9.6
1,570,13638468,8711243,8441351,220321,49571,2035590,1816342,1133076,910058,1611075,966920,0,136740,188848,Brigantine City,Atlantic,C. K–8/401–750,551.6,8.2,93649,46.2,95655,127,114452,18.2
1,590,29251080,16692178,16021447,225855,444876,4567953,3624708,3210702,2399461,3942579,1422027,0,837668,221213,Buena Regional,Atlantic,E. K–12/0–1800,1670.1,11.1,83896,55.8,85384,111.5,116307,12.1
1,1300,7760811,4376554,4107219,180588,88747,1358069,1187888,801053,671321,1160892,481432,0,64243,45588,Egg Harbor City,Atlantic,C. K–8/401–750,528.9,10.5,55505,66.8,73469,133.5,118339,14.8
1,1310,111211421,64462979,61771941,992136,1698902,22007164,19806323,9067552,7446095,13078951,8010526,0,1435450,683427,Egg Harbor Twp,Atlantic,G. K–12/3501+,7326.7,12.1,71625,74.9,72875,188.3,108652,18.1
1,1410,3032637,1802979,1755292,36631,11056,420693,370769,338762,263491,458776,219527,0,2965,0,Estell Manor City,Atlantic,B. K–8/0–400,180.6,12.2,63541,60.5,55745,80.9,81600,7.8
1,1540,5623200,3448510,3225351,102808,120351,1024566,951489,561761,436369,532729,250270,0,52823,41861,Folsom Boro,Atlantic,B. K–8/0–400,397.2,10.3,57779,57.3,56722,133.7,92288,15.3
1,1690,53019281,35050176,33845757,957930,246489,7411626,6921173,5117085,4323637,5279036,2795291,0,121737,0,Galloway Twp,Atlantic,D. K–8/751+,3301.7,11,81930,75.2,83455,183.9,117839,19.1
1,1790,51647167,28761891,25952267,920596,1889028,6628689,6130894,5478857,3861941,7685870,4082522,0,3047294,46500,Greater Egg Harbor Reg,Atlantic,H. 7–12/9–12,3076.4,11.7,76020,96.7,89950,104.2,104685,10
1,1940,40102399,25925929,24937577,734598,253754,6176573,5576325,3716259,3166935,4094617,2132477,0,171626,15638,Hamilton Twp,Atlantic,D. K–8/751+,2959.4,11.2,70285,80.9,62776,206.9,119589,21.1
1,1960,41516923,25503969,24155346,1089301,259322,5799544,5201748,4289163,3475740,4537067,2255883,0,1038997,282517,Hammonton Town,Atlantic,F. K–12/1801–3500,3514.8,14,71713,106.8,72402,186.4,122103,15
1,2680,13250436,7769520,7519387,166068,84065,2193966,2027258,1585062,1244537,1546317,716362,0,136125,76869,Linwood City,Atlantic,D. K–8/751+,813.2,11.7,71844,68.1,63070,117.9,102961,11.8
1,2910,23709588,13855977,13523325,332652,0,3484798,3190788,1700686,1429250,2881602,1491759,100000,1369419,186437,Mainland Regional,Atlantic,H. 7–12/9–12,1238.7,10.9,88612,68.9,89912,136.2,124644,14.4
