CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,22819,,N.A.,N.A.,22926,,N.A.,N.A.
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,22387,,N.A.,N.A.,22485,,N.A.,N.A.
Atlantic,10,Absecon City,18176978,907,20031,20,18542154,943,19662,14,"K. K-12|K-8,751+",KK-12K-8751plus
Atlantic,110,Atlantic City,181543446,6742,26927,85,173364556,6945,24963,74,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,120,Atlantic Co Vocational,34603580,1636,21150,4,34954301,1697,20600,6,Q. County Voc,QCountyVoc
Atlantic,125,Atlantic Co Special Serv,22395389,320,69965,4,21850822,321,68109,4,P. CSSD,PCSSD
Atlantic,570,Brigantine City,21735200,656,33153,63,20210548,605,33402,62,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,590,Buena Regional,47748612,1731,27583,44,47300773,1739,27197,43,"L. K-12|K-12,0-1800",LK-12K-120-1800
Atlantic,960,Corbin City,1208941,64,18890,4,1066486,68,15684,1,K-12|Non-Operating,
Atlantic,1300,Egg Harbor City,14141604,543,26049,53,13808556,519,26597,52,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,1310,Egg Harbor Twp,166887716,7422,22487,47,167787720,7375,22751,48,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,1410,Estell Manor City,5316505,222,23990,35,5055541,235,21507,16,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1540,Folsom Boro,10108443,483,20918,12,10070413,462,21779,17,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1690,Galloway Twp,75541229,3346,22578,41,78601649,3435,22886,42,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1790,Greater Egg Harbor Reg,87192824,3156,27629,29,88843330,3086,28790,32,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,1940,Hamilton Twp,61110716,3076,19864,17,58823551,3072,19150,11,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1960,Hammonton Town,61520785,3564,17262,1,63370623,3532,17942,1,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Atlantic,2680,Linwood City,16595825,817,20308,24,16563957,830,19964,17,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,2780,Longport,1190358,56,21256,8,1368116,57,24002,8,K-12|Non-Operating,
Atlantic,2910,Mainland Regional,33592616,1250,26881,23,34384977,1242,27680,26,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,3020,Margate City,15935489,423,37687,78,15140791,410,36918,77,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,3480,Mullica Twp,13867361,698,19865,8,14494199,708,20481,8,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,3720,Northfield City,18482692,956,19340,13,19791883,1027,19266,12,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,4180,Pleasantville City,94943246,3771,25175,63,92762578,3772,24594,57,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Atlantic,4240,Port Republic City,3340640,161,20772,11,3326312,151,22053,22,"I. K-12|K-8,0-400",IK-12K-80-400
