GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,Bergen,1270,Edgewater Boro,1321815,1822,1323637,1050609
A. K-6,Bergen,3870,Oradell Boro,3476861,-401911,3074950,-235236
A. K-6,Bergen,4410,River Edge Boro,2379996,646150,3026146,626315
A. K-6,Bergen,4620,Saddle River Boro,1763275,81493,1844768,724875
A. K-6,Burlington,200,Bass River Twp,124327,133310,257637,101131
A. K-6,Burlington,830,Chesterfield Twp,1079141,1511643,2590784,1260978
A. K-6,Burlington,2960,Mansfield Twp,2237965,322978,2560943,149686
A. K-6,Burlington,3650,North Hanover Twp,7991089,843935,8835025,3173476
A. K-6,Burlington,5010,Springfield Twp,1186806,96392,1283198,255174
A. K-6,Camden,2540,Laurel Springs Boro,822496,174228,996724,-175911
A. K-6,Camden,3770,Oaklyn Boro,1986421,44940,2031361,-677341
A. K-6,Camden,5560,Waterford Twp,3147748,811526,3959274,252313
A. K-6,Cape May,710,Cape May City,1541195,-48485,1492710,178491
A. K-6,Cape May,2840,Lower Twp,5010932,1061216,6072148,1516294
A. K-6,Cape May,5610,West Cape May Boro,974232,43812,1018044,28649
A. K-6,Essex,1400,Essex Fells Boro,951919,49237,1001156,45881
A. K-6,Essex,1465,Fairfield Twp,1239421,677823,1917244,470948
A. K-6,Essex,3630,North Caldwell Boro,6270883,1423992,7694875,1280536
A. K-6,Essex,4530,Roseland Boro,2262505,692962,2955467,424524
A. K-6,Gloucester,1180,East Greenwich Twp,3764003,168393,3932396,48644
A. K-6,Gloucester,1330,Elk Twp,1569300,573803,2143103,155867
A. K-6,Gloucester,1590,Franklin Twp,3556911,2197462,5754373,-174786
A. K-6,Gloucester,2070,Harrison Twp,2775787,92160,2867947,298049
A. K-6,Gloucester,2990,Mantua Twp,2355131,292896,2648027,383997
A. K-6,Gloucester,3490,National Park Boro,1267486,-90316,1177170,-65684
A. K-6,Gloucester,4880,South Harrison Twp,663114,66760,729874,163698
A. K-6,Gloucester,5120,Swedesboro-Woolwich,3855257,609792,4465049,273863
A. K-6,Gloucester,5590,Wenonah Boro,424380,90098,514478,99019
A. K-6,Gloucester,5740,Westville Boro,1443170,500887,1944057,478800
A. K-6,Gloucester,5870,Woodbury Heights Boro,1425757,65754,1491511,42079
A. K-6,Hunterdon,2590,Lebanon Boro,856914,-9022,847892,5439
A. K-6,Hunterdon,3180,Milford Boro,708023,149087,857110,381423
A. K-6,Monmouth,130,Atlantic Highlands Boro,793042,220262,1013304,26989
A. K-6,Monmouth,2160,Highlands Boro,1518640,-34577,1484063,235947
A. K-6,Monmouth,4520,Roosevelt Boro,1074835,18398,1093233,185495
