GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,15656,N.A.,16395,N.A.,17770,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,16887,N.A.,17827,N.A.,18985,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,16326,N.A.,16823,N.A.,18208,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,16206,N.A.,16767,N.A.,18326,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,12889,3|57,13608,4|57,22907,49|57,924,642,662
A. K-6,Bergen,3870,Oradell Boro,15262,18|57,14802,11|57,16857,14|57,751,738,734
A. K-6,Bergen,4410,River Edge Boro,14267,11|57,14650,9|57,16088,8|57,1257,1230,1249
A. K-6,Bergen,4620,Saddle River Boro,29489,57|57,30771,57|57,30600,56|57,141,131,159
A. K-6,Burlington,200,Bass River Twp,23666,51|57,N.R.,N.R.,N.R.,N.R.,93,,0
A. K-6,Burlington,830,Chesterfield Twp,13913,8|57,15579,15|57,18075,24|57,761,713,717
A. K-6,Burlington,2960,Mansfield Twp,19165,38|57,20333,45|57,20508,39|57,546,500,566
A. K-6,Burlington,3650,North Hanover Twp,17674,33|57,18772,34|57,20247,35|57,1193,1155,1230
A. K-6,Burlington,5010,Springfield Twp,15334,20|57,15280,14|57,17386,20|57,244,234,228
A. K-6,Camden,2540,Laurel Springs Boro,14288,13|57,15592,16|57,18536,27|57,184,162,159
A. K-6,Camden,3770,Oaklyn Boro,16622,27|57,18015,31|57,18337,26|57,283,274,291
A. K-6,Camden,5560,Waterford Twp,18108,35|57,17815,28|57,20048,33|57,892,865,875
A. K-6,Cape May,710,Cape May City,24370,53|57,21990,51|57,24583,51|57,148,149,165
A. K-6,Cape May,2840,Lower Twp,15274,19|57,16890,23|57,17527,21|57,1606,1502,1522
A. K-6,Cape May,5610,West Cape May Boro,18204,36|57,21820,49|57,22149,46|57,91,77,80
A. K-6,Essex,1400,Essex Fells Boro,19621,41|57,20198,43|57,20369,37|57,254,251,270
A. K-6,Essex,1465,Fairfield Twp,15899,23|57,16217,20|57,16286,9|57,696,685,759
A. K-6,Essex,3630,North Caldwell Boro,16977,29|57,17387,27|57,18985,29|57,699,690,702
A. K-6,Essex,4530,Roseland Boro,16068,25|57,16939,24|57,18782,28|57,463,456,468
A. K-6,Gloucester,1180,East Greenwich Twp,12186,1|57,12203,1|57,14416,1|57,1316,1295,1301
