GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,2165,N.A.,0.138,0.811,2327,N.A.,0.142,0.815,2533,N.A.,0.143,0.771
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,2251,N.A.,0.133,0.775,2404,N.A.,0.135,0.8,2496,N.A.,0.131,0.695
A. K-6,Statewide,N.A.,5. State average - All operating types,2298,N.A.,0.141,0.863,2365,N.A.,0.141,0.867,2524,N.A.,0.139,0.832
A. K-6,Statewide,N.A.,6. State median - All operating types,2156,N.A.,0.133,0.833,2234,N.A.,0.133,0.841,2376,N.A.,0.13,0.786
A. K-6,Bergen,1270,Edgewater Boro,1445,10|57,0.112,0.673,1025,3|57,0.075,0.5432,2065,16|57,0.09,0.4866
A. K-6,Bergen,3870,Oradell Boro,1867,19|57,0.122,0.7345,1939,17|57,0.131,0.7775,2191,20|57,0.13,0.7114
A. K-6,Bergen,4410,River Edge Boro,1702,16|57,0.119,0.8805,1676,13|57,0.114,0.8738,2032,15|57,0.126,0.8607
A. K-6,Bergen,4620,Saddle River Boro,8417,57|57,0.285,0.8705,8465,57|57,0.275,0.797,5936,57|57,0.194,0.7179
A. K-6,Burlington,200,Bass River Twp,3201,44|57,0.135,0.7953,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,2084,26|57,0.15,0.6266,2356,28|57,0.151,0.7256,2599,32|57,0.144,0.5961
A. K-6,Burlington,2960,Mansfield Twp,3182,42|57,0.166,0.7131,3257,44|57,0.16,0.7087,3465,45|57,0.169,0.7128
A. K-6,Burlington,3650,North Hanover Twp,3412,49|57,0.193,0.9048,3550,47|57,0.189,0.9325,3513,46|57,0.174,0.8693
A. K-6,Burlington,5010,Springfield Twp,2730,37|57,0.178,0.8494,2916,38|57,0.191,0.8416,3555,47|57,0.204,0.8092
A. K-6,Camden,2540,Laurel Springs Boro,1238,6|57,0.087,0.4401,1537,10|57,0.099,0.5182,1782,8|57,0.096,0.4629
A. K-6,Camden,3770,Oaklyn Boro,711,2|57,0.043,0.1938,784,2|57,0.043,0.1724,1183,3|57,0.064,0.2555
A. K-6,Camden,5560,Waterford Twp,3195,43|57,0.176,0.7224,2968,39|57,0.167,0.7495,3148,41|57,0.157,0.6963
A. K-6,Cape May,710,Cape May City,2555,35|57,0.105,0.6973,3412,46|57,0.155,0.8087,3842,48|57,0.156,0.7727
A. K-6,Cape May,2840,Lower Twp,2639,36|57,0.173,0.9125,2798,37|57,0.166,0.9064,3199,42|57,0.183,0.8805
A. K-6,Cape May,5610,West Cape May Boro,4017,52|57,0.221,0.7467,4468,55|57,0.205,0.7373,5173,56|57,0.234,0.7493
A. K-6,Essex,1400,Essex Fells Boro,1820,17|57,0.093,0.7722,1956,19|57,0.097,0.778,2097,17|57,0.103,0.765
A. K-6,Essex,1465,Fairfield Twp,2331,31|57,0.147,0.9422,2443,30|57,0.151,0.9584,2363,26|57,0.145,0.9333
A. K-6,Essex,3630,North Caldwell Boro,1612,14|57,0.095,0.625,1711,14|57,0.098,0.6111,1864,11|57,0.098,0.5994
A. K-6,Essex,4530,Roseland Boro,2244,28|57,0.14,0.7808,2404,29|57,0.142,0.7411,2478,28|57,0.132,0.6425
A. K-6,Gloucester,1180,East Greenwich Twp,1597,13|57,0.131,0.8642,1749,16|57,0.143,0.9557,2125,19|57,0.147,0.8256
A. K-6,Gloucester,1330,Elk Twp,1438,9|57,0.091,0.6639,1464,9|57,0.097,0.5705,2016,14|57,0.112,0.6271
A. K-6,Gloucester,1590,Franklin Twp,1946,21|57,0.141,0.8939,2132,23|57,0.148,0.9322,2110,18|57,0.143,0.906
A. K-6,Gloucester,2070,Harrison Twp,1130,4|57,0.092,0.8291,1343,7|57,0.101,0.8836,1458,7|57,0.101,0.8073
A. K-6,Gloucester,2990,Mantua Twp,2025,25|57,0.132,0.8039,2281,25|57,0.14,0.8604,2326,24|57,0.145,0.7974
A. K-6,Gloucester,3490,National Park Boro,2418,34|57,0.165,0.8258,1954,18|57,0.14,0.769,1854,10|57,0.113,0.6821
A. K-6,Gloucester,4880,South Harrison Twp,1273,7|57,0.095,0.5974,1176,5|57,0.088,0.5382,1194,4|57,0.079,0.4891
A. K-6,Gloucester,5120,Swedesboro-Woolwich,1503,11|57,0.105,0.7696,1719,15|57,0.115,0.8328,1902,12|57,0.115,0.7593
A. K-6,Gloucester,5590,Wenonah Boro,3702,50|57,0.206,0.875,3692,48|57,0.204,0.8888,3358,44|57,0.195,0.8964
A. K-6,Gloucester,5740,Westville Boro,1525,12|57,0.113,0.7572,1583,12|57,0.11,0.7425,1815,9|57,0.106,0.6291
A. K-6,Gloucester,5870,Woodbury Heights Boro,1151,5|57,0.083,0.5973,1196,6|57,0.082,0.6945,1281,5|57,0.074,0.5126
