GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,53,N.A.,0.003,52,N.A.,0.003,44,N.A.,0.002
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,46,N.A.,0.003,48,N.A.,0.003,43,N.A.,0.002
A. K-6,Statewide,N.A.,5. State average - All operating types,44,N.A.,0.003,45,N.A.,0.003,48,N.A.,0.003
A. K-6,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,41,N.A.,0.002,46,N.A.,0.003
A. K-6,Bergen,1270,Edgewater Boro,142,49|57,0.011,99,46|57,0.007,60,39|57,0.003
A. K-6,Bergen,3870,Oradell Boro,52,32|57,0.003,35,19|57,0.002,71,43|57,0.004
A. K-6,Bergen,4410,River Edge Boro,37,22|57,0.003,48,25|57,0.003,20,7|57,0.001
A. K-6,Bergen,4620,Saddle River Boro,298,53|57,0.01,595,55|57,0.019,195,56|57,0.006
A. K-6,Burlington,200,Bass River Twp,617,57|57,0.026,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,142,49|57,0.01,139,49|57,0.009,84,49|57,0.005
A. K-6,Burlington,2960,Mansfield Twp,82,40|57,0.004,36,20|57,0.002,76,46|57,0.004
A. K-6,Burlington,3650,North Hanover Twp,11,7|57,59E-5,6,2|57,34E-5,27,10|57,0.001
A. K-6,Burlington,5010,Springfield Twp,46,29|57,0.003,83,44|57,0.005,55,34|57,0.003
A. K-6,Camden,2540,Laurel Springs Boro,1,1|57,35E-6,5,1|57,31E-5,6,2|57,34E-5
A. K-6,Camden,3770,Oaklyn Boro,11,7|57,67E-5,20,11|57,0.001,34,19|57,0.002
A. K-6,Camden,5560,Waterford Twp,60,37|57,0.003,50,28|57,0.003,61,41|57,0.003
A. K-6,Cape May,710,Cape May City,36,21|57,0.001,36,20|57,0.002,35,21|57,0.001
A. K-6,Cape May,2840,Lower Twp,57,34|57,0.004,60,32|57,0.004,49,32|57,0.003
A. K-6,Cape May,5610,West Cape May Boro,113,47|57,0.006,265,53|57,0.012,138,53|57,0.006
A. K-6,Essex,1400,Essex Fells Boro,28,17|57,0.001,62,34|57,0.003,63,42|57,0.003
A. K-6,Essex,1465,Fairfield Twp,40,23|57,0.002,52,29|57,0.003,33,18|57,0.002
A. K-6,Essex,3630,North Caldwell Boro,33,20|57,0.002,82,43|57,0.005,71,43|57,0.004
A. K-6,Essex,4530,Roseland Boro,57,34|57,0.004,135,48|57,0.008,60,39|57,0.003
A. K-6,Gloucester,1180,East Greenwich Twp,89,43|57,0.007,53,30|57,0.004,59,38|57,0.004
A. K-6,Gloucester,1330,Elk Twp,5,4|57,3E-4,55,31|57,0.004,37,23|57,0.002
A. K-6,Gloucester,1590,Franklin Twp,17,14|57,0.001,7,5|57,45E-5,43,29|57,0.003
A. K-6,Gloucester,2070,Harrison Twp,46,29|57,0.004,91,45|57,0.007,58,37|57,0.004
A. K-6,Gloucester,2990,Mantua Twp,42,26|57,0.003,48,25|57,0.003,18,6|57,0.001
A. K-6,Gloucester,3490,National Park Boro,11,7|57,73E-5,N.R.,N.R.,N.R.,3,1|57,19E-5
A. K-6,Gloucester,4880,South Harrison Twp,40,23|57,0.003,24,13|57,0.002,32,17|57,0.002
A. K-6,Gloucester,5120,Swedesboro-Woolwich,52,32|57,0.004,61,33|57,0.004,40,27|57,0.002
A. K-6,Gloucester,5590,Wenonah Boro,84,42|57,0.005,81,42|57,0.004,55,34|57,0.003
A. K-6,Gloucester,5740,Westville Boro,41,25|57,0.003,26,17|57,0.002,28,11|57,0.002
A. K-6,Gloucester,5870,Woodbury Heights Boro,31,18|57,0.002,66,36|57,0.004,43,29|57,0.002
A. K-6,Hunterdon,2590,Lebanon Boro,406,55|57,0.019,63,35|57,0.003,44,31|57,0.002
A. K-6,Hunterdon,3180,Milford Boro,82,40|57,0.003,80,41|57,0.003,74,45|57,0.002
A. K-6,Monmouth,130,Atlantic Highlands Boro,74,39|57,0.004,174,51|57,0.009,89,50|57,0.004
A. K-6,Monmouth,2160,Highlands Boro,168,51|57,0.007,123,47|57,0.005,189,55|57,0.007
A. K-6,Monmouth,4520,Roosevelt Boro,140,48|57,0.007,20,11|57,9E-4,83,47|57,0.003
A. K-6,Morris,3240,Mine Hill Twp,101,44|57,0.006,13,8|57,74E-5,42,28|57,0.002
