CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
80,6060,5927391,2950261,2749840,141121,59300,380776,328285,1897647,398345,691574,46665,0,0,0,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,361.5,Atlantic,
80,6104,6952656,3729312,3065501,247252,416559,175498,132769,1975179,920076,991215,130031,80933,0,0,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,473.7,Atlantic,
80,7410,6173502,3074457,2963235,110304,918,741374,675563,1308016,1035117,887916,20543,0,161740,26895,Charter~tech High School,Atlantic,K. Charter,C,,,1,366.7,Atlantic,
80,6013,14101657,6805877,6114184,527522,164171,730549,633202,3383130,1518601,2714463,775131,0,467638,99236,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,1162.4,Bergen,
80,6430,4239680,2576030,2445528,56842,73660,593099,549785,574505,424922,496047,0,0,0,27817,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,320.5,Bergen,
80,7890,5624052,3061590,2964565,57910,39115,0,0,1314392,1026176,1248070,0,0,0,99245,Teaneck Community Cs,Bergen,K. Charter,C,,,1,332.9,Bergen,
80,6026,1580172,880127,864207,11521,4399,0,0,524950,479834,175095,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,153.2,Burlington,
80,6076,4980499,2765207,2428965,251063,85179,0,0,1734140,1227011,481152,0,0,0,0,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,355.8,Burlington,
80,1799,23509426,8568332,7531102,885935,151295,0,0,13177238,7999874,1763856,0,0,0,249797,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,1479.1,Camden,
80,1801,,,,,,,,,,,,,,,Camden Prep,Camden,K. Charter,C,,,1,,Camden,
80,1802,45740257,23852488,18835800,1138972,3877716,2557937,2043351,12234056,4826114,6867731,197712,0,228045,0,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,2629.2,Camden,
80,6086,2068684,845128,794106,29775,21247,157988,131485,613607,482958,451960,66623,0,0,0,Hope Community Cs,Camden,K. Charter,C,,,1,117.6,Camden,
80,6107,30899085,19490931,18228977,580130,681824,294218,205018,5585808,3257075,5440819,0,87309,0,20969,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,2182.8,Camden,
80,6232,3103474,1652147,1368035,78798,205314,127489,63581,749165,537146,499228,0,75445,0,0,Environment Community Cs,Camden,K. Charter,C,,,1,202,Camden,
80,6240,10917119,5746655,4778844,255943,711868,69474,0,3728011,1856556,1371544,115131,0,1435,0,Freedom Prep Charter School,Camden,K. Charter,C,,,1,838.2,Camden,
80,7109,19999950,9456493,8443024,306378,707091,1944352,1368750,4182361,2725561,3579081,1494027,0,103362,41378,Leap Academy University Cs,Camden,K. Charter,C,,,1,1521.3,Camden,
80,6028,3124167,1433864,1392049,33488,8327,246391,206876,679289,373841,764622,35196,0,0,37231,Vineland Public Charter School,Cumberland,K. Charter,C,,,1,310.9,Cumberland,
80,6069,2290842,858943,808030,21248,29665,110903,110903,709241,472073,611755,0,0,0,0,Millville Public Charter School,Cumberland,K. Charter,C,,,1,227.3,Cumberland,
80,6089,1937466,1157812,1082440,34564,40808,146511,145192,377743,169929,255399,66220,0,0,0,Compass Academy Cs,Cumberland,K. Charter,C,,,1,188.3,Cumberland,
80,6100,1361331,475648,464247,8016,3385,58188,58188,441819,283539,354041,0,0,0,26675,Bridgeton Public Charter School,Cumberland,K. Charter,C,,,1,99.2,Cumberland,
80,6020,4221905,1890829,1811667,20151,59011,0,0,876623,767192,1363190,406860,0,0,1287,Pride Academy Charter School,Essex,K. Charter,C,,,1,285.2,Essex,
80,6022,4614206,2189038,2024842,122870,41326,0,0,1653903,991942,771265,0,0,0,0,Burch Charter School Of Excellence,Essex,K. Charter,C,,,1,356,Essex,
80,6029,4739829,1892651,1591509,184699,116443,948068,619266,846819,422455,1052290,72455,0,0,0,Newark Educators Community Charter Schoo,Essex,K. Charter,C,,,1,219.8,Essex,
80,6053,23377997,10309606,7252255,1240434,1816917,0,0,9594447,6327316,3473944,0,0,0,0,Great Oaks Legacy Charter School,Essex,K. Charter,C,,,1,1659.3,Essex,
80,6057,7396252,3069081,2783127,93969,191985,0,0,3683929,2915469,643241,50326,0,0,0,Peoples Preparatory Charter School,Essex,K. Charter,C,,,1,373.6,Essex,
80,6058,5697276,3515275,2893220,248691,373364,0,0,1457224,931120,724778,177453,0,0,0,Roseville Community Cs,Essex,K. Charter,C,,,1,269.4,Essex,
80,6094,6916682,3928111,3730885,131850,65376,300497,226673,911313,531975,1687433,948308,89328,0,0,Phillip's Academy Charter School,Essex,K. Charter,C,,,1,457.9,Essex,
80,6099,4866521,2725466,2417193,60221,248052,27465,0,1635335,1304808,478255,0,0,0,5252,Link Community Charter School,Essex,K. Charter,C,,,1,301.9,Essex,
80,6109,4004798,1576589,917254,95457,563878,0,0,1593770,1151679,801962,0,31023,0,0,Lead Charter School,Essex,K. Charter,C,,,1,239.5,Essex,
80,6110,4392005,2239129,1838593,245996,154540,725616,710776,805130,416137,622130,88393,0,0,0,Achieve Community Charter School,Essex,K. Charter,C,,,1,300,Essex,
80,6320,1439468,924791,793728,20437,110626,0,0,288043,112580,224541,0,0,0,0,Discovery Cs,Essex,K. Charter,C,,,1,100,Essex,
80,6410,7113567,3222957,2879684,267824,75449,0,0,3203301,2193591,687309,0,0,0,0,East Orange Community Cs,Essex,K. Charter,C,,,1,465.3,Essex,
80,6665,5415473,2639922,2322166,161346,156410,0,0,1899265,1493544,872556,0,0,0,0,Gray Cs,Essex,K. Charter,C,,,1,339.2,Essex,
80,7210,25510586,10805926,8712192,493989,1599745,1267369,1080664,8475509,6827484,4586245,310114,300000,75151,0,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,1414.2,Essex,
80,7290,7234304,3657334,3497971,77641,81722,0,0,2181757,1693033,1395214,532806,0,0,385631,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,536.9,Essex,
80,7320,87567036,32907361,29232929,2586919,1087513,0,0,37313797,18425173,15758386,0,115000,0,15025,North Star Academy Charter School,Essex,K. Charter,C,,,1,5915.9,Essex,
80,7325,77834925,27407378,23686410,2630494,1090474,0,0,40011758,25562732,10110667,0,305122,0,983119,Team Academy Charter School,Essex,K. Charter,C,,,1,4749.2,Essex,
80,7730,9564379,4832928,4182055,415007,235866,733287,666784,1825507,1464096,2021522,529008,114996,32452,0,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,688.3,Essex,
80,7735,9111029,4329283,4052639,138560,138084,729849,517716,2724104,2463908,1327793,241832,0,0,0,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,558,Essex,
80,8065,12128306,5336065,4716455,364764,254846,614249,280001,5368882,2810466,792817,0,0,0,0,University Heights Cs,Essex,K. Charter,C,,,1,746.4,Essex,
80,6030,4270721,2481239,2304353,81544,95342,0,0,646752,497790,1142731,565188,0,0,2,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,394.2,Hudson,
80,6036,4689051,3002539,2696776,180864,124899,0,0,894315,767516,792197,157542,0,0,0,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,407,Hudson,
80,6064,5088522,2385303,2247588,97478,40237,0,0,1856077,1348809,672137,0,175005,0,0,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,392.2,Hudson,
80,6082,14261079,6316695,5866764,119630,330301,0,0,2836425,2122737,5009016,1494895,98943,0,83047,Beloved Community Charter School,Hudson,K. Charter,C,,,1,1198,Hudson,
80,6093,4146541,2311052,2158569,89721,62762,142187,81840,846797,473518,846505,130088,0,0,0,Jersey City Global Cs,Hudson,K. Charter,C,,,1,467.6,Hudson,
80,6103,7438824,3983959,3697196,129232,157531,0,0,1468147,1097788,1986719,412873,0,0,39900,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,717.9,Hudson,
80,6105,9779277,4364906,3758306,454618,151982,418913,255531,2300637,1058375,2493023,557364,0,201797,101306,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,799.8,Hudson,
80,6420,3948628,2679099,2562941,26110,90048,0,0,471726,354488,797803,283562,0,0,0,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,287.9,Hudson,
80,6720,4328443,2259403,2147429,82548,29426,588113,400122,788559,567413,692367,0,0,0,0,Hoboken Cs,Hudson,K. Charter,C,,,1,297.1,Hudson,
80,6910,5711752,3146633,3066612,33197,46824,0,0,2098158,1531671,354363,0,110000,0,19777,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,580.1,Hudson,
80,6915,6311206,3560896,3306881,144893,109122,253262,148664,801819,575084,1695229,503780,0,0,56485,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,559.6,Hudson,
80,7115,6756770,3698062,3336615,117550,243897,613983,566265,1255919,938715,1188806,316226,0,0,15393,Learning Community Cs,Hudson,K. Charter,C,,,1,591.9,Hudson,
80,7830,2768838,1394453,1330879,31162,32412,590426,397896,783959,261854,0,0,0,0,0,Soaring Heights Cs,Hudson,K. Charter,C,,,1,269,Hudson,
80,8060,6682248,3698079,3443198,89091,165790,1081723,1081723,828762,734967,1073683,0,0,0,0,University Academy Cs,Hudson,K. Charter,C,,,1,425.9,Hudson,
80,6017,13565762,7411967,6590475,564576,256916,559741,424347,3722504,3146531,1855902,277331,0,0,161025,Foundation Academy Cs,Mercer,K. Charter,C,,,1,1071.3,Mercer,
80,6025,5412580,3062695,2450860,181233,430602,0,0,1220473,907263,1101762,260763,27650,0,0,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,375,Mercer,
