CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
80,6060,6057005,2533982,2431234,93498,9250,678427,440223,2293391,609933,551205,0,0,0,7529,9.8,55000,107.7,66950,64.6,95945,7.2,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,Atlantic,323.0
80,6104,8834689,5105766,3845118,350000,910648,792379,498075,1999543,968994,937000,0,0,0,20000,15,59181,340.5,68944,277.5,134125,19.3,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,Atlantic,555.0
80,7410,6825409,3053265,2880196,143707,29362,1538246,1054600,1602443,1005950,631456,0,0,0,71485,8.7,56888,91.3,70094,91.3,109560,11.5,Charter~tech High School,Atlantic,K. Charter,C,,,1,Atlantic,365.0
80,6013,16391150,8998208,7998270,674930,325008,1899407,1549653,4148080,1700661,1345455,0,0,0,266656,16.3,57300,200.7,62767,172,87239,11.4,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,Bergen,1204.0
80,6430,4954754,2953777,2769060,91500,93217,693890,497890,764142,596642,542945,0,0,0,80000,13.6,79057,312,57101,156,183103,12,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,Bergen,312.0
80,7890,6441473,3680402,3466713,123689,90000,899245,690445,847028,687614,1014798,0,0,0,22000,11.9,73655,147.9,47339,86.5,132785,7.8,Teaneck Community Cs,Bergen,K. Charter,C,,,1,Bergen,346.0
80,6026,1851660,1042940,975440,38000,29500,174907,145407,427153,367153,206660,0,0,0,0,13.3,56000,160,60000,80,98500,6.5,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,Burlington,160.0
80,6076,5505415,3208865,2553865,205000,450000,574488,275088,1367737,1112811,354324,0,0,0,50000,,,,,,,,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,Burlington,360.0
80,1799,37778496,20907076,15014351,1988913,3903812,3806303,1784855,5695684,3380207,869433,0,0,0,535621,18.3,72000,316.8,73000,950.5,107500,55,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden,1901.0
80,1801,20991585,9535964,8408295,971364,156305,3739350,1417352,4610463,707991,3105808,0,0,0,0,24.1,63000,226.8,76000,226.8,90640,10.4,Camden Prep,Camden,K. Charter,C,,,1,Camden,1134.0
80,1802,50392135,27615896,20610932,1605576,5399388,6527482,1826335,11752537,5071499,4496220,0,0,0,3321268,13.9,73000,258.9,65500,284.8,131000,21.6,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,Camden,2848.0
80,6086,2362634,1171222,948722,142500,80000,251787,117287,634141,545841,305484,0,0,0,0,8.9,51500,133.6,53964,49,98800,5.9,Hope Community Cs,Camden,K. Charter,C,,,1,Camden,147.0
80,6107,33618466,20622325,19223785,906540,492000,2290978,1895978,4456162,2428609,6249001,0,0,0,76629,10.4,61000,117.6,68000,175.2,104400,18.3,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,Camden,2233.9
80,6232,3707174,2083839,1843839,90000,150000,388271,184271,754151,548151,480913,0,0,0,0,9.1,57400,1242.9,26850,58,95790,6.4,Environment Community Cs,Camden,K. Charter,C,,,1,Camden,174.0
80,6240,13151235,7046661,5689111,100000,1257550,1912689,1633186,3111886,1850704,1080000,0,0,0,0,16.4,64896,100.8,60900,134.3,102000,9.5,Freedom Prep Charter School,Camden,K. Charter,C,,,1,Camden,806.0
80,7109,21600293,10567524,9354479,397969,815076,4674084,3317552,4052317,2381579,1950490,0,0,0,1098905,15.2,62475,1547,90000,309.4,100000,20.6,Leap Academy University Cs,Camden,K. Charter,C,,,1,Camden,1547.0
80,6028,3774038,1756615,1595615,60000,101000,505737,377737,681574,394574,822112,0,0,0,0,12.1,50000,,,133.3,90000,11,Vineland Public Charter School,Cumberland,K. Charter,C,,,1,Cumberland,400.0
80,6069,3000500,1304540,1227040,50000,27500,490168,279168,630792,342792,560000,0,0,0,0,11.3,48410,260,50000,130,91350,12,Millville Public Charter School,Cumberland,K. Charter,C,,,1,Cumberland,260.0
