GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,0.319,0.315,0.349
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,0.310,0.289,0.327
A. K-6,Statewide,N.A.,5. State average - All operating types,0.310,0.300,0.319
A. K-6,Statewide,N.A.,6. State median - All operating types,0.295,0.283,0.311
A. K-6,Bergen,1270,Edgewater Boro,0.310,0.250,0.361
A. K-6,Bergen,3870,Oradell Boro,0.271,0.237,0.283
A. K-6,Bergen,4410,River Edge Boro,0.307,0.276,0.321
A. K-6,Bergen,4620,Saddle River Boro,0.318,0.259,0.340
A. K-6,Burlington,830,Chesterfield Twp,0.261,0.288,0.309
A. K-6,Burlington,2960,Mansfield Twp,0.308,0.293,0.320
A. K-6,Burlington,3650,North Hanover Twp,0.322,0.287,0.316
A. K-6,Burlington,5010,Springfield Twp,0.307,0.326,0.331
A. K-6,Camden,2540,Laurel Springs Boro,0.296,0.270,0.312
A. K-6,Camden,3770,Oaklyn Boro,0.327,0.332,0.386
A. K-6,Camden,5560,Waterford Twp,0.310,0.306,0.315
A. K-6,Cape May,710,Cape May City,0.368,0.274,0.313
A. K-6,Cape May,2840,Lower Twp,0.313,0.347,0.387
A. K-6,Cape May,5610,West Cape May Boro,0.156,0.159,0.174
A. K-6,Essex,1400,Essex Fells Boro,0.239,0.245,0.298
A. K-6,Essex,1465,Fairfield Twp,0.276,0.273,0.275
A. K-6,Essex,3630,North Caldwell Boro,0.347,0.339,0.365
A. K-6,Essex,4530,Roseland Boro,0.327,0.326,0.328
A. K-6,Gloucester,1180,East Greenwich Twp,0.253,0.261,0.276
A. K-6,Gloucester,1330,Elk Twp,0.354,0.306,0.318
A. K-6,Gloucester,1590,Franklin Twp,0.440,0.456,0.463
A. K-6,Gloucester,2070,Harrison Twp,0.230,0.254,0.268
A. K-6,Gloucester,2990,Mantua Twp,0.269,0.328,0.326
A. K-6,Gloucester,3490,National Park Boro,0.269,0.252,0.327
A. K-6,Gloucester,4880,South Harrison Twp,0.342,0.336,0.346
A. K-6,Gloucester,5120,Swedesboro-Woolwich,0.340,0.346,0.363
A. K-6,Gloucester,5590,Wenonah Boro,0.234,0.216,0.226
A. K-6,Gloucester,5740,Westville Boro,0.268,0.289,0.298
A. K-6,Gloucester,5870,Woodbury Heights Boro,0.232,0.259,0.264
A. K-6,Hunterdon,2590,Lebanon Boro,0.378,0.344,0.348
A. K-6,Hunterdon,3180,Milford Boro,0.314,0.321,0.508
A. K-6,Monmouth,130,Atlantic Highlands Boro,0.304,0.268,0.306
A. K-6,Monmouth,2160,Highlands Boro,0.288,0.235,0.298
A. K-6,Monmouth,4520,Roosevelt Boro,0.236,0.196,0.441
A. K-6,Morris,3240,Mine Hill Twp,0.336,0.251,0.297
A. K-6,Ocean,230,Beach Haven Boro,0.404,0.335,0.486
A. K-6,Ocean,320,Berkeley Twp,0.343,0.318,0.374
A. K-6,Ocean,1150,Eagleswood Twp,0.302,0.332,0.440
A. K-6,Ocean,2350,Island Heights Boro,0.279,0.267,0.363
A. K-6,Ocean,2690,Little Egg Harbor Twp,0.366,0.357,0.394
A. K-6,Ocean,2760,Long Beach Island,0.313,0.288,0.370
A. K-6,Ocean,3800,Ocean Gate Boro,0.312,0.254,0.282
A. K-6,Ocean,3820,Ocean Twp,0.386,0.367,0.425
A. K-6,Ocean,4710,Seaside Heights Boro,0.377,0.312,0.419
A. K-6,Ocean,5020,Stafford Twp,0.411,0.414,0.454
A. K-6,Ocean,5220,Tuckerton Boro,0.341,0.344,0.324
A. K-6,Sussex,1630,Fredon Twp,0.360,0.375,0.405
A. K-6,Sussex,1980,Hampton Twp,0.305,0.278,0.332
A. K-6,Sussex,4650,Sandyston-Walpack Twp,0.315,0.341,0.353
A. K-6,Sussex,5040,Stillwater Twp,0.327,0.330,0.380
A. K-6,Warren,400,Blairstown Twp,0.251,0.246,0.244
A. K-6,Warren,1620,Franklin Twp,0.305,0.318,0.313
A. K-6,Warren,1670,Frelinghuysen Twp,0.202,0.247,0.254
A. K-6,Warren,2470,Knowlton Twp,0.245,0.242,0.304
A. K-6,Warren,2970,Mansfield Twp,0.329,0.325,0.391
A. K-6,Warren,5480,Washington Boro,0.355,0.360,0.437
A. K-6,Warren,5530,Washington Twp,0.251,0.254,0.254
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,0.310,0.298,0.331
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,0.304,0.292,0.329
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,0.310,0.300,0.319
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,0.295,0.283,0.311
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,0.342,0.307,0.377
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,0.291,0.268,0.296
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,0.338,0.342,0.385
B. K-8 / 0 - 400,Atlantic,3020,Margate City,0.276,0.288,0.310
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0.295,0.289,0.290
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,0.379,0.320,0.334
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,0.280,0.249,0.359
B. K-8 / 0 - 400,Bergen,1380,Englewood Cliffs Boro,0.346,0.366,0.399
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,0.295,0.249,0.303
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,0.308,0.267,0.284
B. K-8 / 0 - 400,Burlington,380,Beverly City,0.302,0.240,0.327
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,0.326,0.258,0.307
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,0.285,0.219,0.336
B. K-8 / 0 - 400,Burlington,4460,Riverton,0.218,0.201,0.252
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,0.333,0.326,0.372
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0.267,0.240,0.250
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,0.315,0.297,0.285
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,0.289,0.321,0.322
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,0.374,0.381,0.470
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,0.258,0.269,0.285
