GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,Bergen,1270,Edgewater Boro,0,0
A. K-6,Bergen,3870,Oradell Boro,400000,516457
A. K-6,Bergen,4410,River Edge Boro,500000,500000
A. K-6,Bergen,4620,Saddle River Boro,940335,450000
A. K-6,Burlington,830,Chesterfield Twp,300000,300000
A. K-6,Burlington,2960,Mansfield Twp,1350003,1191797
A. K-6,Burlington,3650,North Hanover Twp,0,0
A. K-6,Burlington,5010,Springfield Twp,424340,251657
A. K-6,Camden,2540,Laurel Springs Boro,200000,212406
A. K-6,Camden,3770,Oaklyn Boro,142623,604313
A. K-6,Camden,5560,Waterford Twp,865786,0
A. K-6,Cape May,710,Cape May City,0,571718
A. K-6,Cape May,2840,Lower Twp,1752406,1862668
A. K-6,Cape May,5610,West Cape May Boro,198989,165585
A. K-6,Essex,1400,Essex Fells Boro,200000,200000
A. K-6,Essex,1465,Fairfield Twp,497102,394735
A. K-6,Essex,3630,North Caldwell Boro,75000,75000
A. K-6,Essex,4530,Roseland Boro,330000,330000
A. K-6,Gloucester,1180,East Greenwich Twp,1811295,1387386
A. K-6,Gloucester,1330,Elk Twp,944728,809185
A. K-6,Gloucester,1590,Franklin Twp,0,0
A. K-6,Gloucester,2070,Harrison Twp,465433,568443
A. K-6,Gloucester,2990,Mantua Twp,326847,84645
A. K-6,Gloucester,3490,National Park Boro,768717,772982
A. K-6,Gloucester,4880,South Harrison Twp,327286,308706
A. K-6,Gloucester,5120,Swedesboro-Woolwich,987769,1092604
A. K-6,Gloucester,5590,Wenonah Boro,151443,194890
A. K-6,Gloucester,5740,Westville Boro,523465,635546
A. K-6,Gloucester,5870,Woodbury Heights Boro,450774,504470
A. K-6,Hunterdon,2590,Lebanon Boro,0,12672
A. K-6,Hunterdon,3180,Milford Boro,0,0
A. K-6,Monmouth,130,Atlantic Highlands Boro,363214,440367
A. K-6,Monmouth,2160,Highlands Boro,491110,491091
A. K-6,Monmouth,4520,Roosevelt Boro,389750,318323
A. K-6,Morris,3240,Mine Hill Twp,200000,250000
A. K-6,Ocean,230,Beach Haven Boro,0,0
A. K-6,Ocean,320,Berkeley Twp,3047369,3576036
A. K-6,Ocean,1150,Eagleswood Twp,274197,317179
A. K-6,Ocean,2350,Island Heights Boro,0,0
A. K-6,Ocean,2690,Little Egg Harbor Twp,1124737,807837
A. K-6,Ocean,2760,Long Beach Island,0,0
A. K-6,Ocean,3800,Ocean Gate Boro,367429,447852
A. K-6,Ocean,3820,Ocean Twp,1206145,882850
A. K-6,Ocean,4710,Seaside Heights Boro,91541,0
A. K-6,Ocean,5020,Stafford Twp,3063025,2771859
