CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Atlantic,Absecon City,10,18980.298478,578.73758023,3083.9525295,856.60705945,419.85226021,175.74067227,23213438.54,963.40555556,24095
Atlantic,Atlantic City,110,26494.534404,1009.9945311,3360.2128989,968.329493,788.8502321,75.148747722,210251426.24,6430.2833333,32697
Atlantic,Atlantic Co Vocational,120,18539.841083,801.00788807,2035.0506448,454.79207533,2004.9713789,16.527525419,41275288.24,1730.4611111,23852
Atlantic,Atlantic Co Special Serv,125,61730.613329,737.3147867,691.85706695,1244.5229239,540.04098983,3381.3414339,20002725.49,292.75555556,68326
Atlantic,Brigantine City,570,38964.487987,3016.2204946,7125.7065466,482.26263763,1212.7906568,459.96702431,24286813.71,473.78333333,51261
Atlantic,Buena Regional,590,24195.539414,598.42070876,3285.3252162,637.82599518,750.46086115,1222.3482154,50887809.53,1658.1277778,30690
Atlantic,Corbin City,960,18068.920635,0,0,0,0,0,1138342,63,18069
Atlantic,Egg Harbor City,1300,18975.49992,564.4296195,4073.3477002,789.14838794,1010.209038,2525.5134202,16565304.06,592.92777778,27938
Atlantic,Egg Harbor Twp,1310,22711.37719,794.86647537,2963.2798058,509.47415563,1184.6907603,737.61762115,214753723.3,7430.5888889,28901
Atlantic,Estell Manor City,1410,22083.557267,512.021078,2922.1342659,502.57000402,501.87669841,744.56862402,6410559.22,235.10555556,27267
Atlantic,Folsom Boro,1540,21542.782669,148.02363299,891.46200185,614.57831325,495.3660797,665.61529194,10512838.56,431.6,24358
Atlantic,Galloway Twp,1690,23547.572058,327.62372104,2694.6671491,755.40935357,60.455780491,136.93179644,87901565.25,3193.7888889,27523
Atlantic,Greater Egg Harbor Reg,1790,27098.658242,271.53937909,1306.0450047,520.06318708,1588.4889906,1502.4755537,100151883.92,3101.9,32287
Atlantic,Hamilton Twp,1940,19987.348683,123.10584335,2743.5013016,674.89126163,685.5462211,277.54804333,69936194.27,2855.4777778,24492
Atlantic,Hammonton Town,1960,18909.294947,692.89719534,1869.5890964,528.66224983,682.56032132,364.66672901,78040180.7,3386.0333333,23048
Atlantic,Linwood City,2680,21690.440465,483.23175948,922.32488676,108.89960876,284.06206616,154.16138885,18733494.92,792.34444444,23643
Atlantic,Longport,2780,22457.698413,0,0,0,0,0,1414835,63,22458
Atlantic,Mainland Regional,2910,26775.816272,400.78996038,2072.9790934,427.96666375,2720.9761047,0,39026007,1204.5611111,32399
Atlantic,Margate City,3020,36376.379015,624.78329371,754.94223008,283.39875062,3540.3387418,1772.4004892,17426638.11,401.97777778,43352
Atlantic,Mullica Twp,3480,21435.778631,1645.9030675,2962.0687959,556.03470533,1025.2727161,682.54593802,17908176.52,632.62777778,28308
Atlantic,Northfield City,3720,19970.030285,65.057398341,4119.6296341,398.33610649,707.92731539,162.69932367,23598542.32,928.21111111,25424
