CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
1,10,13819411,8461476,8097427,330869,33180,2333147,2157457,1682317,1241404,1182111,431374,0,85751,187757,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,911.4,10.4,72167,73.2,65607,150,126360,16.5,Atlantic
1,110,127178011,81792686,72994943,2374137,6423606,14739663,13324002,12260361,9289718,17188613,8668475,0,1068758,891448,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,6291.3,10,100645,86.9,105531,195.7,143603,21.9,Atlantic
1,120,25663829,14355617,13638226,530205,187186,3020380,2736946,2833457,2183886,4677721,2182046,0,725572,59335,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,1730.4,12.5,67709,93.4,59878,126.7,107618,11.5,Atlantic
1,125,14366482,7074240,6641410,122499,310331,3080346,3004800,2036931,1375252,2172948,1066900,0,0,39281,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,292.8,6.3,92727,12.3,100096,56.4,117802,13.6,Atlantic
1,570,13083432,8074139,7783505,240496,50138,1987257,1732386,912816,692016,1961823,963819,0,143113,149583,Brigantine City,Atlantic,B. K-8 / 0 - 400,2,CD,,1,408.8,6.8,98739,34.5,70127,103.5,120967,18.3,Atlantic
1,590,28812814,16730673,16116830,245608,368235,4446616,3556034,3247883,2452721,3488202,1350179,0,899440,628325,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,1614.2,10.8,88195,56.1,89167,98.3,103434,10.8,Atlantic
1,1300,9075175,5245293,4928477,256844,59972,1611876,1470452,901569,743057,1228983,524036,0,87454,30591,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,581.9,9.2,57404,48.9,68737,128.3,131552,16.6,Atlantic
1,1310,131111451,77266146,72359557,1767929,3138660,26654930,21801452,9418517,7972890,14803376,8568313,0,1588646,127223,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,7164.6,11.1,83096,64.5,82096,174.5,121914,18.4,Atlantic
1,1410,3237370,1898849,1823660,62398,12791,526040,383226,384958,276888,391899,172595,0,17303,237457,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,188.1,11.3,81236,65.6,63000,54.8,111000,5.7,Atlantic
1,1540,5943439,3539126,3395161,53496,90469,1119909,1044547,616283,490262,617503,280065,0,44879,0,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,377.6,10.6,62438,47.5,62438,126.7,117000,14.7,Atlantic
1,1690,57415719,36804716,36058186,584840,161690,9240617,8075539,5111809,4374219,6097879,3018233,0,114994,0,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,3077.8,10.1,85530,60.1,78754,170.3,126471,19.8,Atlantic
1,1790,57695580,32230977,28577981,1133978,2519018,7012871,6741506,5948697,4012939,9018985,4568334,0,3405826,230626,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,3019,11.6,88575,103.8,92950,108.5,113031,10.4,Atlantic
1,1940,42981506,26493369,25651263,694455,147651,8058484,6831774,3879937,3261644,4382168,2082531,0,145261,313709,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,2822.5,11.3,73405,71.6,62118,178.2,124083,18.3,Atlantic
1,1960,46803643,27594668,26625212,677447,292009,7392449,6841112,4659944,3819981,5472886,2661321,0,1259801,291021,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,3322,13.2,84911,90.7,82933,166.1,135889,14.4,Atlantic
1,2680,13601242,7893124,7578503,188610,126011,2255136,2031829,1452412,1120584,1708932,738030,0,131637,39979,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,791.3,11.6,79536,63.7,77067,115.7,108150,11.8,Atlantic
1,2910,24487180,13659214,13324979,334235,0,3492121,3298395,1691463,1408877,3632394,1620445,171003,1486474,482776,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,1191.1,11,92940,63.9,91340,109.3,122505,11.6,Atlantic
1,3020,10734425,6745292,6473837,264354,7101,1567070,1322933,721000,577329,1546023,770537,15669,124837,187909,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,356,7.2,92100,49.9,82672,89.8,113839,14.3,Atlantic
1,3480,10802459,6039310,5818710,192404,28196,1896332,1408094,1313026,1051361,1447225,570105,0,106566,129654,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,629.6,10.1,68134,69.6,70289,125.2,116215,14.2,Atlantic
1,3720,14402726,9952087,9426379,452991,72717,1557333,1398828,1519432,1232338,1266594,593589,0,107280,69187,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,852.2,9.7,62738,73.1,57420,174,113290,20.4,Atlantic
1,4180,67950868,38115040,36685871,623713,805456,10416001,9585524,7803016,5996927,9588265,5196867,370916,1158532,542909,Pleasantville City,Atlantic,G. K-12 / 3501 +,3,A,1,1,3521.5,10.9,55818,71.5,56872,152.3,105738,16.1,Atlantic
1,4240,1933256,1141169,1081801,28137,31231,379872,294340,228194,140562,179833,74124,0,4189,0,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,108.6,9.8,63836,79.3,52459,111,102999,12.8,Atlantic
1,4800,16170448,9069255,8414787,212994,441474,3570844,2864430,1740980,1360829,1670429,761227,0,118940,27529,Somers Point City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,775.9,9,79648,54.1,87798,131.7,109984,17.1,Atlantic
1,5350,13987595,8990179,8713609,274964,1606,1849809,1461326,1296442,1042843,1775564,386800,0,75602,19687,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,557.7,7.6,94900,49.4,66616,113.6,132371,17.2,Atlantic
1,5760,2913682,1578000,1513286,33897,30817,534546,399105,339904,278648,441401,170201,7000,0,0,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,162.6,10.9,59443,81,48835,54,81276,5.6,Atlantic
3,40,15008358,9032412,8399266,294433,338713,2388329,2050110,1742609,1511057,1719789,987593,0,125219,29503,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,874.4,12.2,83815,81.6,93900,175.4,164093,16.6,Bergen
3,80,4554679,2446125,2236864,88053,121208,1263958,1051569,311127,262935,455619,190818,0,73706,75526,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,158.1,7.2,73051,62.4,90084,34.7,124083,5.4,Bergen
3,285,49002716,26486551,23357353,440422,2688776,12189876,10730077,4410122,3372692,5552658,2596241,0,33325,324654,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,578.1,2.7,87066,3.6,89042,31,126605,20.2,Bergen
3,290,66180762,34051014,30621071,1580836,1849107,7350072,6826119,13120693,10099826,9096928,4939693,0,2273833,985318,Bergen County Vocational Technical Schoo,Bergen,J. VOC,8,,,1,2543.7,10.9,92304,65.9,88759,114.6,144618,12.3,Bergen
3,300,61775441,38173273,31399482,1475265,5298526,7987968,6399857,6508719,5308663,7604721,3871222,0,1092004,1897486,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,3640.1,12.9,81774,66.6,81992,180.9,142017,16.8,Bergen
3,440,21138099,11932133,9700974,439894,1791265,3008118,1712168,2751482,1993306,2725996,954387,0,693032,286910,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1225.6,11.7,73900,71.7,70100,117.3,112772,11.6,Bergen
3,740,10113270,5935956,5522872,307135,105949,1495377,1415197,1305342,1109418,1334940,653216,0,41655,0,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,516.6,12,84067,69.7,86390,87.2,138367,8.5,Bergen
3,745,12902444,6807406,6356874,400601,49931,2269024,1415776,1467052,1034806,1766986,867118,0,562228,195765,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,643.9,12.7,84422,101,67000,107.8,156382,9.6,Bergen
3,890,44818317,28325315,26668150,431587,1225578,6456109,4424183,5203048,3952773,3414197,1818566,6133,814992,304357,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,2980.9,11.7,68740,85.6,103740,166.5,144095,16.2,Bergen
3,930,19043549,12082860,11015676,773999,293185,2954857,2413007,2096272,1775943,1843584,954878,0,63326,279705,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,1180.8,12.7,88700,65.5,93480,168.4,146727,15.9,Bergen
3,990,31021020,19087944,17370268,454229,1263447,3134493,2585618,3519374,3076117,4603306,1412604,5097,670805,30891,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,1724,11.4,90036,72.4,97041,133.7,131404,13.5,Bergen
3,1070,13869369,7948997,7240592,359876,348529,2529971,1947993,1499012,1297503,1662880,795611,25451,145231,93334,Demarest Boro,Bergen,D. K-8 / 751 +,2,I,,1,708.2,9.8,70430,53.8,84510,117.5,159429,14.1,Bergen
3,1130,38697648,23177193,21948851,1084906,143436,4078974,3656764,5218541,4570965,5220406,2746657,0,923581,174434,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,2483.3,11.9,78538,79.3,71178,145.7,146879,14.1,Bergen
3,1230,15607303,10070022,9488327,343590,238105,2212350,1820299,1970752,1424745,1291453,716206,0,26885,142581,East Rutherford Boro,Bergen,C. K-8 / 401 - 750,2,CD,,1,734.3,9.1,91684,60.3,71226,144.8,145314,18.4,Bergen
3,1270,11057386,5806844,5214728,363720,228396,2138181,1186311,1443065,1280328,1533246,740885,0,6826,0,Edgewater Boro,Bergen,A. K-6,1,DE,,1,665.8,11.7,64628,81,66886,111.2,135960,10.8,Bergen
3,1345,32935453,18029996,17525322,296719,207955,5333842,4055593,5198385,4306988,3671816,1927002,20000,666938,55012,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,2500.4,12.7,53323,74.2,55142,155.7,109080,14.4,Bergen
3,1360,19621421,11250068,10572800,334833,342435,2272997,1929554,2495489,2300847,2471569,1374984,0,1076220,177579,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,1055.8,10.7,64800,59.5,69300,111,150822,12.2,Bergen
3,1370,55993216,30847021,25962213,808280,4076528,10063761,6899750,5992479,4272159,8106572,1022967,0,949346,551548,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,2850,11.2,76960,62.9,85695,140.2,156550,14.8,Bergen
3,1380,10972592,5967626,5728536,119449,119641,2654556,2134788,1163166,895387,1165041,665153,0,900,100510,Englewood Cliffs Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,409.7,8.6,82460,49.4,79275,67.5,132400,9.2,Bergen
3,1450,92094790,53925904,50471259,1846215,1608430,15487673,12921835,9974218,8289589,10583086,3410006,0,1669979,659544,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,5333,12.2,78210,68.1,88210,182.8,161513,17.7,Bergen
3,1470,16268933,8972329,8623745,219416,129168,2643071,2095784,2519768,2208240,2041185,876081,0,50115,0,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,1571.4,14.7,56645,109.4,57995,153.1,120052,11.8,Bergen
3,1550,63932589,36908289,34746892,937592,192828,11624545,9538326,7183085,5600391,6833677,2317731,0,1240696,382468,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,4030.6,12.1,78375,72.8,86425,175,144064,16.9,Bergen
3,1580,30247650,19511472,18413034,995195,103243,4873906,4473473,2754091,2515316,2980383,486160,33265,82145,0,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,1173.3,7.8,84590,37.5,77724,114.4,154231,17.7,Bergen
3,1700,88952178,55040523,54470792,556811,12920,13805095,10987972,9697008,8540910,9401665,5847058,0,810107,424699,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,4599.2,10.2,67250,62.8,76145,132.2,166639,15.1,Bergen
3,1760,44384508,24467694,21884148,722501,1861045,7584325,5232702,5813895,4851177,5415171,1186438,0,1092175,418446,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,2564.7,11.3,78404,58,81642,134.3,142481,14.2,Bergen
3,1860,98586782,59310145,55188131,2145825,1976189,17028932,13204495,9494170,8303407,11284675,5003570,0,1440174,817736,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,5343.5,12.7,102491,69.6,107470,183.7,181250,17.1,Bergen
3,2050,11852782,7233501,7038701,125708,69092,1888354,1427957,1373355,1138759,1233907,461281,0,114456,6500,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,620.2,11,84589,57,68864,123.2,144205,13.3,Bergen
3,2080,29182293,17047516,15720829,567424,759263,4863898,3937264,2912514,2481713,3334029,1485805,0,1015699,123013,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,1704.5,11.5,77775,72.3,94425,130.1,134906,13.1,Bergen
3,2090,8900885,5324595,5023164,175155,126276,1514310,1173482,955880,779869,1050031,610688,0,56070,144674,Haworth Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,416.7,9.5,58540,49.3,61851,104.8,118700,13.1,Bergen
3,2180,21174126,12670065,12450239,190488,29338,3994792,2864733,2068155,1726473,2346198,480288,0,85045,0,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,1082.3,9,78172,56,89302,133.8,150935,17.3,Bergen
3,2200,9929478,5605756,5444938,132004,28814,1960459,1759488,1216963,1011566,1111545,544750,0,34754,37366,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,583.2,12,73810,59.7,80866,96.5,125999,9.7,Bergen
3,2620,32879351,18446327,17733031,554296,159000,4743433,4418121,4389589,3297338,4260162,2273293,0,815811,455390,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,2127.3,11.6,66525,71.9,67459,130.7,139053,13.1,Bergen
