CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
1,10,16836866,10505549,9892434,541598,71517,3161241,2845655,1651278,1183107,1308060,437336,0,122464,580780,10.3,69232,77.5,68259,156.3,120076,17.2,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,1029.0
1,110,154016549,96325386,81412067,5311592,9601727,20369343,16783641,15026719,10356417,20273984,9649878,0,1824458,2562625,9.8,95879,91.3,103568,195.2,150331,22,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic,6837.9
1,120,29610704,16276288,15216943,733314,326031,3409441,2989147,3605361,2741141,5270787,2729521,0,945805,67500,12.3,72277,92.6,63981,117.3,107503,10.8,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic,1819.0
1,125,15503582,7835931,7442115,49145,344671,3262195,3120835,2031588,1402521,2328867,1173517,40000,0,48800,11.9,92979,13.5,102754,59.6,121630,9.4,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic,273.0
1,570,14556579,8771405,8313684,337921,119800,2361628,1963828,963285,704185,2256638,1159438,0,197436,54000,6.7,100351,30,78572,97.5,131047,17.8,Brigantine City,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic,421.0
1,590,31955836,17523317,16717187,394933,411197,5636688,4205099,3672466,2553265,4111408,1687206,0,987855,226408,11,90101,51.9,91545,91.6,111352,10.1,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic,1637.0
1,1300,10345157,6039518,5627928,328439,83151,1746681,1502551,979463,783018,1466867,583061,0,112628,22088,9.2,61432,55.4,79503,110.8,132000,14,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic,494.0
1,1310,139221405,82990466,78834966,2522571,1632929,27045727,23679862,9889866,8049189,15683162,9622434,0,2145376,5550,11.1,85557,65.1,76354,177.5,125000,18.7,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic,7209.1
1,1410,3763784,2128358,2020108,67000,41250,710628,487080,461292,385892,421612,195112,0,24919,5000,12.1,90473,77.6,78310,64.7,125000,6.2,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic,202.0
1,1540,6531819,3940593,3731130,96968,112495,1151089,1049289,705603,522603,661067,309567,0,69287,0,9.4,64772,47,65334,125.3,121680,16,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic,381.0
