CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,27514,,N.A.,N.A.,28817,,N.A.
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,26936,,N.A.,N.A.,28087,,N.A.
Atlantic,10,Absecon City,23213439,963,24095,24,24361150,998,24408,16,"K. K-12|K-8,751+"
Atlantic,110,Atlantic City,210251426,6430,32697,85,231012944,6440,35871,89,"N. K-12|K-12,3500+"
Atlantic,120,Atlantic Co Vocational,41275288,1731,23852,7,42971170,1735,24763,8,Q. County Voc
Atlantic,125,Atlantic Co Special Serv,20002725,293,68326,2,20062097,313,64177,1,P. CSSD
Atlantic,570,Brigantine City,24286814,474,51261,74,23301282,440,52944,75,"I. K-12|K-8,0-400"
Atlantic,590,Buena Regional,50887810,1658,30690,39,57069125,1632,34960,45,"L. K-12|K-12,0-1800"
Atlantic,960,Corbin City,1138342,63,18069,3,1191963,64,18624,3,K-12|Non-Operating
Atlantic,1300,Egg Harbor City,16565304,593,27938,43,18494721,571,32382,54,"D. K-8|K-8,401-750"
Atlantic,1310,Egg Harbor Twp,214753723,7431,28901,68,211365197,7478,28264,49,"N. K-12|K-12,3500+"
Atlantic,1410,Estell Manor City,6410559,235,27267,31,6328854,241,26279,14,"I. K-12|K-8,0-400"
Atlantic,1540,Folsom Boro,10512839,432,24358,11,12130044,425,28568,31,"I. K-12|K-8,0-400"
Atlantic,1690,Galloway Twp,87901565,3194,27523,46,89655582,3177,28221,41,"E. K-8|K-8,751+"
Atlantic,1790,Greater Egg Harbor Reg,100151884,3102,32287,25,106937586,3042,35151,31,"G. G9-12|7-12,9-12"
Atlantic,1940,Hamilton Twp,69936194,2856,24492,28,70643707,2892,24425,17,"E. K-8|K-8,751+"
Atlantic,1960,Hammonton Town,78040181,3386,23048,9,81795879,3395,24096,7,"M. K-12|K-12,1800-3500"
Atlantic,2680,Linwood City,18733495,792,23643,18,20145856,856,23544,10,"E. K-8|K-8,751+"
Atlantic,2780,Longport,1414835,63,22458,5,1501989,60,25033,6,K-12|Non-Operating
Atlantic,2910,Mainland Regional,39026007,1205,32399,28,38938869,1178,33059,24,"G. G9-12|7-12,9-12"
Atlantic,3020,Margate City,17426638,402,43352,73,16145140,372,43362,71,"I. K-12|K-8,0-400"
Atlantic,3480,Mullica Twp,17908177,633,28308,46,17799264,643,27696,28,"D. K-8|K-8,401-750"
Atlantic,3720,Northfield City,23598542,928,25424,32,24259815,943,25717,25,"E. K-8|K-8,751+"
Atlantic,4180,Pleasantville City,110366245,3766,29310,71,113628254,3941,28829,58,"N. K-12|K-12,3500+"
Atlantic,4240,Port Republic City,3613682,157,23077,7,3809856,161,23607,4,"I. K-12|K-8,0-400"
Atlantic,4800,Somers Point City,25219151,786,32091,70,24172178,790,30583,58,"E. K-8|K-8,751+"
Atlantic,5350,Ventnor City,27042964,734,36857,62,26932630,647,41634,64,"J. K-12|K-8,401-750"
Atlantic,5760,Weymouth Twp,5220696,198,26421,25,5328577,197,27038,22,"I. K-12|K-8,0-400"
Atlantic,6060,Atlantic Community Chart,8628946,318,27178,71,9767979,327,29899,81,O. Charter
Atlantic,6104,Principle Academy Charter School,10244647,467,21951,39,11250496,465,24215,52,O. Charter
Atlantic,7410,Charter~tech High School,10311685,361,28556,76,9690394,354,27413,73,O. Charter
Bergen,40,Allendale Boro,21147977,882,23966,23,22788482,920,24772,19,"E. K-8|K-8,751+"
Bergen,80,Alpine Boro,7873713,212,37120,67,8801869,211,41714,70,"I. K-12|K-8,0-400"
Bergen,285,Bergen Co Special Service,65907215,578,114014,7,67978848,590,115269,7,P. CSSD
Bergen,290,Bergen County Vocational,96146115,2544,37798,20,99872176,2646,37750,17,Q. County Voc
Bergen,300,Bergenfield Boro,92063353,3720,24748,22,100211545,3738,26813,33,"N. K-12|K-12,3500+"
Bergen,440,Bogota Boro,36719817,1339,27431,28,36480124,1398,26100,10,"L. K-12|K-12,0-1800"
Bergen,740,Carlstadt Boro,17360248,528,32906,60,21128012,546,38687,62,"D. K-8|K-8,401-750"
Bergen,745,Carlstadt-East Rutherford,21101414,666,31690,22,24671848,780,31650,16,"G. G9-12|7-12,9-12"
Bergen,890,Cliffside Park Boro,69257470,3021,22923,7,75568848,3087,24480,9,"M. K-12|K-12,1800-3500"
Bergen,930,Closter Boro,29256495,1201,24365,27,29431830,1228,23968,13,"E. K-8|K-8,751+"
Bergen,990,Cresskill Boro,46884381,1745,26869,23,46837732,1715,27311,19,"L. K-12|K-12,0-1800"
Bergen,1070,Demarest Boro,21836255,719,30360,61,22571675,778,28996,48,"E. K-8|K-8,751+"
Bergen,1130,Dumont Boro,62011346,2556,24257,18,66742954,2632,25355,17,"M. K-12|K-12,1800-3500"
Bergen,1230,East Rutherford Boro,24468256,742,32961,72,25409526,750,33882,72,"E. K-8|K-8,751+"
Bergen,1270,Edgewater Boro,30394797,1213,25061,22,32880496,1219,26972,28,H. K-12|K-6
Bergen,1345,Elmwood Park,58341710,2543,22943,8,64423920,2586,24912,12,"M. K-12|K-12,1800-3500"
Bergen,1360,Emerson Boro,30435187,1085,28057,30,31177826,1084,28758,25,"L. K-12|K-12,0-1800"
