CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP23,TOTENR2A,PP23
,Achieve Community Charte,6110,18395.53321,0,5105.5771288,0,0,0,10364756,441.0326087,23501
Atlantic,Absecon City,10,18857.616824,465.9644533,3882.877468,642.66906391,402.58055897,156.767104,24361150.15,998.06111111,24408
Atlantic,Atlantic City,110,27313.156964,1205.2045575,5611.8527924,968.453427,781.26248885,69.338719361,231012944.45,6440.1888889,35871
Atlantic,Atlantic Co Vocational,120,19407.419466,727.55488964,2205.1213047,467.10078949,1940.3705411,15.395937302,42971169.57,1735.3,24763
Atlantic,Atlantic Co Special Serv,125,57326.94983,1858.0539907,612.58988075,1421.3662941,0,2958.071901,20062096.71,312.60555556,64177
Atlantic,Brigantine City,570,41050.183792,5302.1110831,4319.4569553,540.02499369,1270.1338046,462.179538,23301282.35,440.11111111,52944
Atlantic,Buena Regional,590,26442.956119,468.51775468,4454.5096278,703.48600249,1741.9639393,1148.1108672,57069125.45,1632.4333333,34960
Atlantic,Corbin City,960,18624.421875,0,0,0,0,0,1191963,64,18624
Atlantic,Egg Harbor City,1300,20004.407373,1513.0470308,6305.1861291,1056.2141919,1061.4423423,2441.8812606,18494721.35,571.13888889,32382
Atlantic,Egg Harbor Twp,1310,23200.908696,786.5283817,1900.3228531,526.41489502,1170.4467034,679.8741898,211365196.51,7478.1166667,28264
Atlantic,Estell Manor City,1410,21501.143253,61.748096886,3117.6622837,444.77647059,478.72525952,674.92168858,6328853.64,240.83333333,26279
Atlantic,Folsom Boro,1540,21629.646726,104.39236929,5156.5190768,543.27131418,509.1851154,625.1521903,12130043.62,424.6,28568
Atlantic,Galloway Twp,1690,24788.381038,16.332417006,2393.9356612,836.2196248,58.249569816,127.67589604,89655581.81,3176.9333333,28221
Atlantic,Greater Egg Harbor Reg,1790,28767.132579,660.4050767,2155.526954,546.94229364,1603.3250183,1417.8104211,106937586.37,3042.2222222,35151
Atlantic,Hamilton Twp,1940,20174.89354,103.63417394,2398.0072567,823.92874636,670.60622067,253.44653384,70643707.45,2892.3277778,24425
Atlantic,Hammonton Town,1960,19434.657164,419.47171602,2743.3633753,554.31315718,607.17975239,336.62014942,81795878.85,3394.6388889,24096
Atlantic,Linwood City,2680,20686.516771,465.62544638,1990.8793777,0,269.42850836,131.90197769,20145855.66,855.65555556,23544
Atlantic,Longport,2780,25033.15,0,0,0,0,0,1501989,60,25033
Atlantic,Mainland Regional,2910,28586.432375,405.80421197,914.23597387,318.41190482,2834.0803245,0,38938869,1177.8611111,33059
Atlantic,Margate City,3020,38792.922113,693.76275739,1354.4717995,234.5747538,510.02685765,1776.3018532,16145140.39,372.33333333,43362
Atlantic,Mullica Twp,3480,20894.849195,291.8941208,4323.778041,563.08059371,1000.3888346,622.19867219,17799263.89,642.66111111,27696
Atlantic,Northfield City,3720,20524.428897,209.87120369,3786.8850374,389.10266603,656.83150474,149.54462289,24259814.92,943.35,25717
Atlantic,Pleasantville City,4180,22553.854899,478.41131125,4548.4580938,548.92727214,492.93506406,206.78703536,113628253.57,3941.4055556,28829
Atlantic,Port Republic City,4240,21386.799546,0,2220.6939998,0,0,0,3809856,161.38333333,23607
Atlantic,Somers Point City,4800,23853.910843,175.63367214,4425.948294,606.96385644,1231.9535237,289.088014,24172177.53,790.36666667,30583
Atlantic,Ventnor City,5350,32401.946222,117.38854871,6130.0804699,553.89098342,1616.4345033,813.99139307,26932630.01,646.89444444,41634
Atlantic,Weymouth Twp,5760,22422.746237,10.209167277,3381.7917348,562.10294864,561.27078987,99.819980831,5328577.3,197.07777778,27038
Atlantic,Atlantic Community Charter School,6060,23418.224671,0,6480.7009489,0,0,0,9767979,326.7,29899
Atlantic,Principle Academy Charter School,6104,20681.60353,76.57339647,2625.3357727,831.93284546,0,0,11250496,464.6,24215
Atlantic,Charter~tech High School,7410,23714.353607,107.4738331,2666.7977369,924.08769448,0,0,9690394,353.5,27413
Bergen,Allendale Boro,40,22151.818462,673.68710934,788.75731497,433.9730048,392.07355739,332.02360721,22788482.05,919.91666667,24772
Bergen,Alpine Boro,80,36094.27765,1619.9433651,3782.2232405,0,0,217.48250445,8801869.01,211.00552486,41714
Bergen,Bergen Co Special Service,285,100670.72585,4034.8850794,7097.8919147,898.86961184,2250.1564024,316.95125186,67978848.17,589.73848155,115269
