CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
80,6060,7702086,3370105,3078747,120564,170794,1002210,663866,2568505,703223,761266,0,0,0,40589,10.3,56450,85.3,62225,85.3,123300,9.3,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,Atlantic,341.0
80,6104,9578302,5415631,4056739,200000,1158892,1250330,816238,2047591,1013691,864750,0,0,0,20000,13.2,64600,180.6,78000,158.3,130592,12.9,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,Atlantic,475.0
80,7410,7630521,3582449,3395900,140475,46074,1770446,1273293,1595326,1334414,682300,0,0,0,115046,7.3,72192,44,80318,77,141248,12.3,Charter~tech High School,Atlantic,K. Charter,C,,,1,Atlantic,308.0
80,6013,22979575,11556055,10165244,691653,699158,3243032,2614617,5648588,2480675,2531900,0,0,0,50530,14.7,70100,142.2,69820,160,112628,12,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,Bergen,1280.0
80,6430,5724144,3235276,2964776,110500,160000,937142,441486,960260,849420,591466,0,0,0,14000,11.9,68999,309,55000,77.3,105055,6.8,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,Bergen,309.0
80,7890,7410945,4189492,3971492,100000,118000,1280045,1067545,903408,706508,1038000,0,0,0,45000,11.8,74605,367,58415,91.8,140901,8,Teaneck Community CS,Bergen,K. Charter,C,,,1,Bergen,367.0
80,6026,2092100,1176015,1110515,52500,13000,259131,153131,449354,389104,207600,0,0,0,0,10,59063,160,65100,160,147000,17,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,Burlington,160.0
80,6076,6300639,3583581,2813581,270000,500000,930952,545215,1498106,1195395,288000,0,0,0,0,16,57680,120,60000,72,87000,5.1,Benjamin Banneker Prep CS,Burlington,K. Charter,C,,,1,Burlington,360.0
80,1799,46657606,25339091,18266415,1178530,5894146,4380111,2412034,9856092,6010648,1039927,0,0,0,742608,17.1,77946,277.6,79543,,,,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden,2221.1
80,1801,31783936,12353872,9400491,1352971,1600410,4201513,1184257,12522321,1906496,2706230,0,0,0,0,72.6,70000,1452,84000,161.3,105000,2.3,Camden Prep,Camden,K. Charter,C,,,1,Camden,1452.0
80,1802,54406654,33438608,26229341,1352378,5856889,5756923,2123726,10541123,2338123,4670000,0,0,0,1160000,14,80100,236.7,77500,355,160200,26.9,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,Camden,2840.0
80,6086,2614198,1331758,1118350,159471,53937,488807,183174,468065,331906,325568,0,0,0,0,8.4,58823,140,54500,46.7,127000,5.9,Hope Community CS,Camden,K. Charter,C,,,1,Camden,140.0
