CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
1,10,18353499,11240972,10705871,449376,85725,3435103,3198937,1855873,1236008,1516049,498589,0,156374,108027,9.5,71169,59.7,69481,131.3,130000,16,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,961.0
1,110,169674809,106021638,86226258,9306999,10488381,22139418,17675811,15915201,11214493,22441687,10200661,0,2824777,1640500,9.6,103981,84.4,98931,189.3,150331,22,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic,6663.1
1,120,32314356,17457067,16494033,650527,312507,4059698,3552996,3841328,2875556,5815263,3008474,0,1053817,236435,17,77151,29.9,76559,107.2,110997,9.9,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic,1789.0
1,125,16410224,8063082,7636347,121735,305000,3762213,3606153,2086972,1327895,2452958,1191358,40000,0,348800,9.9,86774,8.3,99215,63.4,125304,14,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic,315.0
1,570,15126982,9013283,8556111,337372,119800,2616626,1987526,933615,669915,2346793,1232222,0,209467,63500,6.5,102124,38.3,90551,95.8,134716,17.3,Brigantine City,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic,385.0
1,590,32994071,18026313,17271696,304220,450397,5601448,4046297,3796176,2537353,4563920,1588011,0,982190,153625,11.3,91996,55.7,95676,100.9,109733,10.8,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic,1587.0
1,1300,11926828,6994814,6473087,382264,139463,1904389,1620734,1115012,876112,1761636,595016,0,150978,169819,9.1,62217,57.4,77389,143.5,126026,18.3,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic,574.0
1,1310,148396780,89085518,84449874,2075289,2560355,28402610,24085811,10110679,8538084,17239468,10379944,0,1988302,564149,10.8,82254,64.5,74354,167.1,120563,18.1,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic,7350.0
1,1410,3675081,2013600,1907537,69813,36250,674814,484187,441915,363779,492406,232170,0,27407,3497,11.3,69914,92,69866,61.3,125000,6.1,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic,190.0
1,1540,6660292,3935293,3694107,123691,117495,1222089,1107221,767606,578606,664296,300796,0,67219,0,10.1,67147,46.6,65647,124.3,129439,15,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic,377.0
1,1690,61999046,40109293,39180996,721955,206342,9580126,8253612,5917377,4942961,6176691,3406668,0,166450,0,10.3,85579,63.4,84929,170.9,130765,19.3,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,3104.0
1,1790,62706874,35090646,30441063,1325029,3324554,7988245,7188267,6273291,4416697,9703248,5110801,0,3576605,45000,11.9,90575,60.8,84269,106.8,118878,10.7,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,Atlantic,2971.0
1,1940,51561410,31659961,30016945,1350327,292689,9885007,9029088,4430868,3621494,5374798,2461950,0,190064,235042,11,70808,70.3,63032,174.9,117318,18.4,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,2892.0
1,1960,55654012,32851335,30602471,1759712,489152,8809211,7578892,5384514,4051125,6510249,2871170,0,1651141,517522,13.2,86644,66.8,89615,163.6,132809,14.9,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,Atlantic,3356.1
1,2680,15562293,9193343,8751559,292762,149022,2655677,2367524,1762066,1255073,1776199,808371,0,175007,25600,10.9,83575,61.8,73281,131,119327,14.1,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,Atlantic,809.0
1,2910,27555306,14606249,14105016,483733,17500,4773274,4208423,1900939,1598912,4211740,1966469,150000,1706393,45000,11.3,99271,54.6,92025,116.8,134770,12.4,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,Atlantic,1168.0
1,3020,12033551,7313282,6867203,426379,19700,1789589,1356843,824825,595943,1852970,939924,50000,180533,258516,6.5,98620,42.8,80043,79.3,120167,14,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic,340.0
1,3480,12404692,6820285,6448960,289825,81500,2605991,2027172,1498620,1150364,1369318,625382,0,110477,0,10.2,80631,77.5,91512,103.3,119601,11.5,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic,631.0
1,3720,16487304,11353190,10804715,353475,195000,1871739,1619889,1634808,1404746,1489014,664014,0,138553,97000,9.3,68023,54.9,61028,169,117000,21.2,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,Atlantic,888.0
1,4180,85752784,48067474,44118393,1888198,2060883,15653349,12974428,7219246,5433071,12593358,6754680,0,1730101,1671530,11.8,90885,65.6,67520,170.1,144417,17,Pleasantville City,Atlantic,G. K-12 / 3501 +,3,A,1,1,Atlantic,3386.0
1,4240,2081697,1233871,1173380,37640,22851,428457,360164,223345,175977,194025,78029,2000,0,0,9.7,64181,79.3,60512,111,87401,12.8,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,Atlantic,110.0
1,4800,16106757,9093075,8602885,248165,242025,3376650,2536184,1509573,1278873,1970863,949891,0,156596,254576,9.4,86798,47.1,86243,125.5,115134,16,Somers Point City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic,710.0
1,5350,15921994,9762069,9266369,431837,63863,2568641,1775954,1214657,965638,2268074,561536,0,108553,6000,6.8,98050,50.4,81037,119.8,145836,19.9,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic,499.0
1,5760,3175107,1620391,1547582,38294,34515,620941,513541,360881,302881,538701,241389,7000,13551,0,11.2,59477,177,52775,35.4,87103,3.4,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,Atlantic,154.0
3,40,19030438,11129967,10130963,543973,455031,3211233,2749104,2046805,1683068,2427081,1258031,0,215351,48000,12,86665,83.3,102625,179.2,174047,17.1,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,932.0
3,80,5394258,2689121,2457177,61394,170550,1516197,1292311,403274,321392,630685,235878,0,147985,0,8.2,78979,64.8,96802,32.4,131937,4.5,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen,173.0
3,285,57413105,30945498,27252698,687300,3005500,14083046,12601496,5373103,4109403,6279965,2789781,75000,63650,0,2.6,88135,3.7,92826,30.1,140000,20,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen,590.5
3,290,76086847,40301501,34727951,2439850,3133700,8378604,7678604,13939594,11039244,10495268,5610268,0,2576038,0,11.6,94812,67.1,91937,112.8,147544,11.4,Bergen County Vocational Technical Schoo,Bergen,J. VOC,8,,,1,Bergen,2790.5
3,300,70719024,43644879,35391890,1681823,6571166,9380347,7422942,7215846,5823903,8403425,5085268,0,1361310,408861,12.5,87965,69.9,86465,166.6,146031,15.7,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,3623.5
3,440,25111641,13670041,11018470,594729,2056842,4462481,2553764,3136800,2231737,2963870,1250862,0,840927,549377,11.9,75400,65,73100,118.1,118692,11.7,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1285.5
3,740,12021297,7048446,6585129,340282,123035,1989353,1667026,1352677,1153947,1575447,689922,0,55375,0,11.6,81659,73,89537,85.2,97236,8.5,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,Bergen,517.0
3,745,16525055,8272339,7975163,219000,78176,3701176,2544591,1781959,1153072,2040707,963777,0,679194,200000,13.9,68631,106.2,63500,90.8,143430,7.4,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,Bergen,812.0
3,890,53803901,32905105,30797880,733465,1373760,8708999,5026789,5698898,4155903,4451148,2147628,101200,1170100,254000,12.4,72941,75.5,85790,140.6,128954,13.2,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen,3069.4
3,930,22418281,13329290,12700368,282930,345992,4278377,3426610,2402872,2055099,2269343,1162584,0,132702,29000,11.7,89054,63.3,86216,148.8,152519,15,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1207.0
3,990,31993373,20831133,18238803,661061,1931269,3545882,2926276,3796710,3220755,2998661,1590111,10000,810987,0,11.6,101107,65.6,99640,121.9,142618,12.4,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen,1684.0
3,1070,17307373,9639446,9013316,382086,244044,3406611,2391564,1824926,1493818,2170004,1023524,0,181750,0,9.7,76681,50.9,74956,127.2,169483,15.7,Demarest Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,771.0
3,1130,43284280,26484609,25086224,1193517,204868,4595860,4083630,5613981,4872067,5400569,3256394,0,1074683,7500,12,84732,79.2,79522,140.8,150031,13.5,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen,2571.5
3,1230,18718882,12088739,11335636,313050,440053,2713796,2207695,1951485,1568549,1840714,843697,3000,56008,0,9.5,88112,58.9,76786,127.7,147000,15.7,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen,793.0
