GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,26972,0.135,0.839,0.025,0,0,0.001,10.7,94.3,110,0.1
A. K-6,Bergen,3870,Oradell Boro,22571,0.25,0.73,0.02,0,0,0,12.8,79.6,113.7,0.0967
A. K-6,Bergen,4410,River Edge Boro,23931,0.335,0.616,0.036,0.012,0,0.001,11.6,62.1,131.1,0.1068
A. K-6,Bergen,4620,Saddle River School District,39393,0.169,0.79,0.033,0.009,0,0,6.9,35.7,35.7,0.0935
A. K-6,Burlington,830,Chesterfield Twp,26043,0.37,0.609,0.013,0.008,0,0,10.7,59.5,142.8,0.1331
A. K-6,Burlington,2960,Mansfield Twp,32160,0.238,0.731,0.021,0.009,0,0.001,9.2,56,91.5,0.1658
A. K-6,Burlington,3650,North Hanover Twp,31448,0.525,0.097,0.375,0,0,0.003,9.9,65.6,141.8,0.1213
A. K-6,Burlington,5010,Springfield Twp,22794,0.352,0.572,0.061,0.015,0,0,12.6,92,81.2,0.1449
A. K-6,Camden,2540,Laurel Springs Boro,23302,0.464,0.382,0.051,0,0.103,0,11.6,185,92.5,0.1622
A. K-6,Camden,3770,Oaklyn Boro,22970,0.463,0.481,0.047,0.002,0,0.007,8.9,186.7,140,0.1036
A. K-6,Camden,5560,Waterford Twp,23111,0.517,0.411,0.046,0.002,0.011,0.013,9.8,74.4,117.3,0.145
A. K-6,Cape May,710,Cape May City,34456,0.402,0.275,0.316,0.003,0,0.004,6.4,52.3,52.3,0.1401
A. K-6,Cape May,2840,Lower Twp,29023,0.378,0.473,0.127,0,0,0.022,10.4,50.9,142.5,0.1368
A. K-6,Cape May,5610,West Cape May Boro,30403,0.413,0.535,0.051,0.001,0,0,7.9,38,76,0.1316
A. K-6,Essex,1400,Essex Fells Boro,31937,0.239,0.712,0.034,0.016,0,0,8.4,39.9,122,0.1148
A. K-6,Essex,1465,Fairfield Twp,24784,0.249,0.71,0.037,0.005,0,0,10,69.3,144.4,0.1111
A. K-6,Essex,3630,North Caldwell Boro,27010,0.231,0.738,0.027,0.004,0,0,10.4,82.4,175,0.1343
A. K-6,Essex,4530,Roseland Boro,28584,0.261,0.715,0.018,0.005,0,0.001,10.3,58.3,155.3,0.1652
A. K-6,Gloucester,1180,East Greenwich Twp,23806,0.451,0.519,0.027,0.001,0,0.002,11.6,74.1,139.9,0.1223
A. K-6,Gloucester,1330,Elk Twp,25040,0.481,0.448,0.051,0.02,0,0,10.2,111.7,335,0.1254
A. K-6,Gloucester,1590,Franklin Twp,23366,0.469,0.395,0.054,0.07,0.007,0.005,10.8,66,164.3,0.1263
A. K-6,Gloucester,2070,Harrison Twp,20537,0.42,0.542,0.027,0.007,0,0.004,12.4,102.5,133.3,0.0705
A. K-6,Gloucester,2990,Mantua Twp,20014,0.458,0.498,0.033,0.003,0,0.008,9.5,62.1,179.1,0.1364
A. K-6,Gloucester,3490,National Park Boro,24989,0.616,0.296,0.075,0.003,0,0.01,9.8,97,0,0.2096
A. K-6,Gloucester,4880,South Harrison Twp,22824,0.379,0.569,0.051,0.001,0,0,13.2,110,75,0.1242
A. K-6,Gloucester,5120,Swedesboro-Woolwich,24240,0.47,0.506,0.023,0.001,0,0,11,75.5,158.6,0.1828
A. K-6,Gloucester,5590,Wenonah Boro,29047,0.257,0.695,0.039,0.006,0,0.003,8.3,47.6,110.7,0.1867
A. K-6,Gloucester,5740,Westville Boro,24544,0.6,0.293,0.098,0.006,0,0.003,10.7,72,180,0.1778
A. K-6,Gloucester,5870,Woodbury Heights Boro,21751,0.46,0.496,0.038,0.006,0,0,9.8,106.3,127.5,0.098
A. K-6,Hunterdon,1970,Hampton Boro,32228,0.412,0.499,0.031,0,0.052,0.006,7.3,57.2,51.5,0.1456
A. K-6,Hunterdon,2590,Lebanon Boro,34453,0.182,0.68,0.035,0.009,0.095,0,7.4,51.7,46.5,0.172
A. K-6,Hunterdon,3180,Milford Boro,31335,0.283,0.648,0.062,0.008,0,0,6.4,58,0,0.1207
A. K-6,Monmouth,130,Atlantic Highlands Boro,29063,0.255,0.692,0.028,0.025,0,0,10.8,56.2,93.7,0.1744
A. K-6,Monmouth,2160,Highlands Boro,49598,0.35,0.494,0.092,0,0.055,0.009,8,34,85,0.2471
A. K-6,Monmouth,4520,Roosevelt Boro,25947,0.372,0.525,0.075,0.028,0,0,22.3,11.9,89,0.0899
A. K-6,Morris,3240,Mine Hill Twp,25943,0.376,0.587,0.038,0,0,0,11.1,118.3,118.3,0.1014
