GROUP,DISTNAME,csg1PP1,csg1RK1,csg1PP2,csg1RK2,csg1PP3,csg1RK3,csg2PP1,csg2RK1,csg2pct1,csg2PP2,csg2RK2,csg2pct2,csg2PP3,csg2RK3,csg2pct3,csg3PP1,csg3RK1,csg3pct1,csg3sba,csg3PP2,csg3RK2,csg3pct2,csg3sbb,csg3PP3,csg3RK3,csg3pct3,csg3sbc,csg4PP1,csg4RK1,csg4pct1,csg4PP2,csg4RK2,csg4pct2,csg4PP3,csg4RK3,csg4pct3,csg5PP1,csg5RK1,csg5pct1,csg5PP2,csg5RK2,csg5pct2,csg5PP3,csg5RK3,csg5pct3,csg6PP1,csg6RK1,csg6pct1,csg6PP2,csg6RK2,csg6pct2,csg6PP3,csg6RK3,csg6pct3,csg7PP1,csg7RK1,csg7pct1,csg7sba,csg7PP2,csg7RK2,csg7pct2,csg7sbb,csg7PP3,csg7RK3,csg7pct3,csg7sbc,csg8PP1,csg8RK1,csg8pct1,csg8PP2,csg8RK2,csg8pct2,csg8PP3,csg8RK3,csg8pct3,csg9PP1,csg9RK1,csg9pct1,csg9sba,csg9PP2,csg9RK2,csg9pct2,csg9sbb,csg9PP3,csg9RK3,csg9pct3,csg9sbc,csg10PP1,csg10RK1,csg10pct1,csg10PP2,csg10RK2,csg10pct2,csg10PP3,csg10RK3,csg10pct3,csg11PP1,csg11RK1,csg11pct1,csg11sba,csg11PP2,csg11RK2,csg11pct2,csg11sbb,csg11PP3,csg11RK3,csg11pct3,csg11sbc,csg12PP1,csg12RK1,csg12pct1,csg12PP2,csg12RK2,csg12pct2,csg12PP3,csg12RK3,csg12pct3,csg13PP1,csg13RK1,csg13pct1,csg13PP2,csg13RK2,csg13pct2,csg13PP3,csg13RK3,csg13pct3,csg14PP1,csg14PP2,csg14PP3,csg15PP1,csg15PP2,csg15PP3,csg16STRAT00,csg16RK00,csg16SALT00,csg16RKSAL00,csg16STRAT01,csg16RK01,csg16SALT01,csg16RKSAL01,csg17SSRAT00,csg17RK00,csg17SALS00,csg17RKSAL00,csg17SSRAT01,csg17RK01,csg17SALS01,csg17RKSAL01,csg18SARAT00,csg18RK00,csg18SALAM00,csg18RKSAL00,csg18SARAT01,csg18RK01,csg18SALAM01,csg18RKSAL01,csg19FARAT00,csg19RK00,csg19FARAT01,csg19RK01,csg8aPP1,csg8aRK1,csg8apct1,csg8aPP2,csg8aRK2,csg8apct2,csg8aPP3,csg8aRK3,csg8apct3,csg1aEXP1,csg1aADE1,csg1aPP1,csg1aRK1,csg1aEXP2,csg1aADE2,csg1aPP2,csg1aRK2
A. K-6,Group average: A. K-6,17153,N.A.,17927,N.A.,19221,N.A.,10302,N.A.,0.601,10671,N.A.,0.595,11353,N.A.,0.591,9699,N.A.,0.565,0.941,10005,N.A.,0.558,0.938,10586,N.A.,0.551,0.932,346,N.A.,0.02,367,N.A.,0.02,416,N.A.,0.022,257,N.A.,0.015,299,N.A.,0.017,351,N.A.,0.018,3116,N.A.,0.182,3349,N.A.,0.187,3754,N.A.,0.195,2490,N.A.,0.145,0.799,2670,N.A.,0.149,0.797,2949,N.A.,0.153,0.786,1720,N.A.,0.1,1780,N.A.,0.099,1812,N.A.,0.094,1354,N.A.,0.079,0.787,1386,N.A.,0.077,0.779,1423,N.A.,0.074,0.785,1894,N.A.,0.11,2001,N.A.,0.112,2142,N.A.,0.111,904,N.A.,0.053,0.477,951,N.A.,0.053,0.475,1028,N.A.,0.053,0.48,110,N.A.,0.006,35,N.A.,0.002,69,N.A.,0.004,40,N.A.,0.002,42,N.A.,0.002,54,N.A.,0.003,0.327,0.34,0.376,185,158,91,10.5,,72286,,10.7,,73700,,64.3,,73494,,66.6,,75202,,128.9,,123458,,128,,127196,,14.3,,13.9,,48,N.A.,0.003,58,N.A.,0.003,48,N.A.,0.002,,,26142,,,,27162,
A. K-6,Group median:  A. K-6,18459,N.A.,19428,N.A.,20612,N.A.,10731,N.A.,0.581,11412,N.A.,0.587,12194,N.A.,0.592,10125,N.A.,0.548,0.943,10690,N.A.,0.55,0.937,11405,N.A.,0.553,0.935,340,N.A.,0.018,363,N.A.,0.019,426,N.A.,0.021,264,N.A.,0.014,353,N.A.,0.018,357,N.A.,0.017,3379,N.A.,0.183,3624,N.A.,0.187,4038,N.A.,0.196,2511,N.A.,0.136,0.743,2736,N.A.,0.141,0.755,3097,N.A.,0.15,0.767,1848,N.A.,0.1,1984,N.A.,0.102,2059,N.A.,0.1,1380,N.A.,0.075,0.747,1518,N.A.,0.078,0.765,1446,N.A.,0.07,0.702,2065,N.A.,0.112,2088,N.A.,0.107,2335,N.A.,0.113,900,N.A.,0.049,0.436,945,N.A.,0.049,0.453,1060,N.A.,0.051,0.454,132,N.A.,0.007,34,N.A.,0.002,55,N.A.,0.003,33,N.A.,0.002,33,N.A.,0.002,57,N.A.,0.003,0.311,0.323,0.359,126,95,72,9.9,,69343,,9.4,,71896,,64.7,,73603,,63.4,,75475,,115,,123540,,115.2,,125410,,13.1,,13.6,,47,N.A.,0.003,53,N.A.,0.003,48,N.A.,0.002,,,28862,,,,29274,
B. K-8 / 0 - 400,Group average: B. K-8 / 0-400,20910,N.A.,22004,N.A.,24059,N.A.,12447,N.A.,0.595,12799,N.A.,0.582,13984,N.A.,0.581,11614,N.A.,0.555,0.933,11947,N.A.,0.543,0.933,12955,N.A.,0.538,0.926,446,N.A.,0.021,466,N.A.,0.021,559,N.A.,0.023,386,N.A.,0.018,386,N.A.,0.018,474,N.A.,0.02,3631,N.A.,0.174,4172,N.A.,0.19,4654,N.A.,0.193,2702,N.A.,0.129,0.744,3013,N.A.,0.137,0.722,3479,N.A.,0.145,0.748,2100,N.A.,0.1,2130,N.A.,0.097,2161,N.A.,0.09,1521,N.A.,0.073,0.724,1546,N.A.,0.07,0.726,1552,N.A.,0.065,0.718,2458,N.A.,0.118,2621,N.A.,0.119,2900,N.A.,0.121,1043,N.A.,0.05,0.424,1125,N.A.,0.051,0.429,1207,N.A.,0.05,0.416,96,N.A.,0.005,94,N.A.,0.004,72,N.A.,0.003,229,N.A.,0.011,233,N.A.,0.011,291,N.A.,0.012,0.301,0.32,0.356,256,290,239,8.6,,72006,,8.6,,73707,,57.5,,69850,,57.9,,70503,,87.1,,117913,,89.5,,119762,,11.7,,11.9,,68,N.A.,0.003,69,N.A.,0.003,64,N.A.,0.003,,,32827,,,,34107,
B. K-8 / 0 - 400,Group median:  B. K-8 / 0-400,19870,N.A.,20916,N.A.,22959,N.A.,12127,N.A.,0.61,12654,N.A.,0.605,13238,N.A.,0.577,11328,N.A.,0.57,0.934,11778,N.A.,0.563,0.931,12149,N.A.,0.529,0.918,420,N.A.,0.021,426,N.A.,0.02,456,N.A.,0.02,310,N.A.,0.016,324,N.A.,0.015,437,N.A.,0.019,3633,N.A.,0.183,4004,N.A.,0.191,4368,N.A.,0.19,2564,N.A.,0.129,0.706,2823,N.A.,0.135,0.705,3261,N.A.,0.142,0.747,2142,N.A.,0.108,2145,N.A.,0.103,2182,N.A.,0.095,1497,N.A.,0.075,0.699,1542,N.A.,0.074,0.719,1556,N.A.,0.068,0.713,2175,N.A.,0.109,2468,N.A.,0.118,2635,N.A.,0.115,975,N.A.,0.049,0.448,1028,N.A.,0.049,0.416,1118,N.A.,0.049,0.424,80,N.A.,0.004,80,N.A.,0.004,61,N.A.,0.003,182,N.A.,0.009,175,N.A.,0.008,263,N.A.,0.011,0.294,0.318,0.34,155,181,179,8.5,,70252,,8.5,,72226,,63.9,,68585,,65.5,,70332,,93.3,,117953,,92.4,,121032,,12.4,,12.6,,45,N.A.,0.002,52,N.A.,0.002,56,N.A.,0.002,,,31068,,,,33390,
C. K-8 / 401 - 750,Group average: C. K-8 / 401-750,18602,N.A.,19430,N.A.,21542,N.A.,11014,N.A.,0.592,11474,N.A.,0.591,12577,N.A.,0.584,10310,N.A.,0.554,0.936,10736,N.A.,0.553,0.936,11684,N.A.,0.542,0.929,357,N.A.,0.019,341,N.A.,0.018,424,N.A.,0.02,350,N.A.,0.019,405,N.A.,0.021,468,N.A.,0.022,3235,N.A.,0.174,3551,N.A.,0.183,4038,N.A.,0.187,2590,N.A.,0.139,0.801,2823,N.A.,0.145,0.795,3158,N.A.,0.147,0.782,2007,N.A.,0.108,2038,N.A.,0.105,2136,N.A.,0.099,1594,N.A.,0.086,0.794,1604,N.A.,0.083,0.787,1662,N.A.,0.077,0.778,2076,N.A.,0.112,2157,N.A.,0.111,2521,N.A.,0.117,860,N.A.,0.046,0.414,912,N.A.,0.047,0.423,1041,N.A.,0.048,0.413,41,N.A.,0.002,46,N.A.,0.002,47,N.A.,0.002,169,N.A.,0.009,169,N.A.,0.009,215,N.A.,0.01,0.313,0.326,0.364,172,194,259,10,,74772,,9.9,,76352,,63.2,,75030,,63.1,,76438,,118.7,,126499,,117.5,,129825,,13.8,,13.7,,69,N.A.,0.004,66,N.A.,0.003,63,N.A.,0.003,,,29303,,,,30444,
C. K-8 / 401 - 750,Group median:  C. K-8 / 401-750,18862,N.A.,19789,N.A.,21171,N.A.,10926,N.A.,0.579,11557,N.A.,0.584,12421,N.A.,0.587,10224,N.A.,0.542,0.936,10776,N.A.,0.545,0.932,11532,N.A.,0.545,0.928,341,N.A.,0.018,342,N.A.,0.017,380,N.A.,0.018,222,N.A.,0.012,236,N.A.,0.012,281,N.A.,0.013,3165,N.A.,0.168,3522,N.A.,0.178,3974,N.A.,0.188,2550,N.A.,0.135,0.806,2683,N.A.,0.136,0.762,3028,N.A.,0.143,0.762,2036,N.A.,0.108,2102,N.A.,0.106,2189,N.A.,0.103,1622,N.A.,0.086,0.796,1660,N.A.,0.084,0.79,1716,N.A.,0.081,0.784,2070,N.A.,0.11,2211,N.A.,0.112,2395,N.A.,0.113,885,N.A.,0.047,0.427,985,N.A.,0.05,0.445,1065,N.A.,0.05,0.445,42,N.A.,0.002,38,N.A.,0.002,45,N.A.,0.002,165,N.A.,0.009,168,N.A.,0.008,199,N.A.,0.009,0.305,0.321,0.354,93,144,138,10,,72088,,9.8,,74070,,62.7,,73725,,60.8,,75540,,117.1,,125664,,119.5,,129063,,13.7,,13.8,,60,N.A.,0.003,51,N.A.,0.003,56,N.A.,0.003,,,28561,,,,30462,
D. K-8 / 751 +,Group average: D. K-8 / 751+,18189,N.A.,19023,N.A.,20539,N.A.,11077,N.A.,0.609,11527,N.A.,0.606,12402,N.A.,0.604,10462,N.A.,0.575,0.944,10843,N.A.,0.57,0.941,11603,N.A.,0.565,0.936,318,N.A.,0.017,347,N.A.,0.018,429,N.A.,0.021,296,N.A.,0.016,337,N.A.,0.018,370,N.A.,0.018,3038,N.A.,0.167,3231,N.A.,0.17,3596,N.A.,0.175,2579,N.A.,0.142,0.849,2706,N.A.,0.142,0.838,2970,N.A.,0.145,0.826,1857,N.A.,0.102,1905,N.A.,0.1,1960,N.A.,0.095,1542,N.A.,0.085,0.83,1580,N.A.,0.083,0.829,1605,N.A.,0.078,0.819,2008,N.A.,0.11,2136,N.A.,0.112,2324,N.A.,0.113,893,N.A.,0.049,0.445,933,N.A.,0.049,0.437,1009,N.A.,0.049,0.434,25,N.A.,0.001,37,N.A.,0.002,35,N.A.,0.002,119,N.A.,0.007,130,N.A.,0.007,146,N.A.,0.007,0.308,0.317,0.349,137,142,163,10.6,,78605,,10.5,,80112,,60,,81456,,58.7,,82874,,144.9,,140053,,145.8,,143544,,16.1,,16.3,,35,N.A.,0.002,37,N.A.,0.002,41,N.A.,0.002,,,27071,,,,28482,
D. K-8 / 751 +,Group median:  D. K-8 / 751+,18217,N.A.,18921,N.A.,21214,N.A.,11073,N.A.,0.608,11531,N.A.,0.609,12621,N.A.,0.595,10351,N.A.,0.568,0.935,10846,N.A.,0.573,0.941,11682,N.A.,0.551,0.926,330,N.A.,0.018,363,N.A.,0.019,442,N.A.,0.021,219,N.A.,0.012,242,N.A.,0.013,313,N.A.,0.015,3019,N.A.,0.166,3211,N.A.,0.17,3807,N.A.,0.179,2553,N.A.,0.14,0.846,2741,N.A.,0.145,0.854,3040,N.A.,0.143,0.799,1907,N.A.,0.105,1992,N.A.,0.105,2101,N.A.,0.099,1577,N.A.,0.087,0.827,1642,N.A.,0.087,0.824,1698,N.A.,0.08,0.808,2062,N.A.,0.113,2224,N.A.,0.118,2410,N.A.,0.114,915,N.A.,0.05,0.444,966,N.A.,0.051,0.434,1067,N.A.,0.05,0.443,21,N.A.,0.001,30,N.A.,0.002,29,N.A.,0.001,117,N.A.,0.006,134,N.A.,0.007,149,N.A.,0.007,0.297,0.307,0.34,103,123,96,10.2,,76530,,10.5,,78275,,59.7,,80285,,59.1,,81503,,137.8,,138816,,139.6,,141220,,15.8,,16.1,,37,N.A.,0.002,39,N.A.,0.002,43,N.A.,0.002,,,26997,,,,29080,
E. K-12 / 0 - 1800,Group average: E. K-12 / 0-1800,18605,N.A.,19942,N.A.,21453,N.A.,10711,N.A.,0.576,11449,N.A.,0.574,12157,N.A.,0.567,10101,N.A.,0.543,0.943,10760,N.A.,0.54,0.94,11311,N.A.,0.527,0.93,272,N.A.,0.015,330,N.A.,0.017,397,N.A.,0.019,339,N.A.,0.018,360,N.A.,0.018,450,N.A.,0.021,3088,N.A.,0.166,3394,N.A.,0.17,3775,N.A.,0.176,2569,N.A.,0.138,0.832,2755,N.A.,0.138,0.812,3050,N.A.,0.142,0.808,2046,N.A.,0.11,2130,N.A.,0.107,2215,N.A.,0.103,1702,N.A.,0.091,0.832,1774,N.A.,0.089,0.833,1819,N.A.,0.085,0.821,2090,N.A.,0.112,2243,N.A.,0.112,2535,N.A.,0.118,995,N.A.,0.053,0.476,1063,N.A.,0.053,0.474,1124,N.A.,0.052,0.443,14,N.A.,0.001,46,N.A.,0.002,29,N.A.,0.001,623,N.A.,0.033,675,N.A.,0.034,716,N.A.,0.033,0.288,0.299,0.323,135,133,203,10.7,,80680,,10.8,,82497,,58.6,,82094,,58.1,,82731,,117.6,,138094,,117.9,,142176,,13,,12.9,,45,N.A.,0.002,48,N.A.,0.002,50,N.A.,0.002,,,29099,,,,30641,
E. K-12 / 0 - 1800,Group median:  E. K-12 / 0-1800,18268,N.A.,19030,N.A.,21272,N.A.,10550,N.A.,0.578,11233,N.A.,0.59,12144,N.A.,0.571,10039,N.A.,0.55,0.952,10304,N.A.,0.541,0.917,11292,N.A.,0.531,0.93,268,N.A.,0.015,301,N.A.,0.016,427,N.A.,0.02,234,N.A.,0.013,228,N.A.,0.012,321,N.A.,0.015,3002,N.A.,0.164,3174,N.A.,0.167,3707,N.A.,0.174,2406,N.A.,0.132,0.801,2581,N.A.,0.136,0.813,3020,N.A.,0.142,0.815,2084,N.A.,0.114,2080,N.A.,0.109,2229,N.A.,0.105,1635,N.A.,0.09,0.785,1764,N.A.,0.093,0.848,1851,N.A.,0.087,0.83,2006,N.A.,0.11,2187,N.A.,0.115,2525,N.A.,0.119,952,N.A.,0.052,0.475,951,N.A.,0.05,0.435,1047,N.A.,0.049,0.415,13,N.A.,0.001,45,N.A.,0.002,31,N.A.,0.001,615,N.A.,0.034,632,N.A.,0.033,709,N.A.,0.033,0.288,0.297,0.327,108,64,96,10.8,,79968,,10.7,,82183,,60.3,,80374,,58.6,,82719,,117.7,,136125,,115.8,,139590,,12.8,,12.8,,39,N.A.,0.002,44,N.A.,0.002,45,N.A.,0.002,,,28713,,,,28761,
