CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
1,10,14830293,9187898,8803349,337769,46780,2943040,2750993,1451391,1149982,1056787,402561,0,98454,201447,Absecon City,Atlantic,D. K-8 / 751 +,23,CD,,1,946.1,Atlantic,
1,110,133634186,90995792,81977373,2586531,6431888,13505950,11787716,11222392,8258730,16665042,7150091,0,1132268,1968063,Atlantic City,Atlantic,G. K-12 / 3501 +,33,A,,1,6304.1,Atlantic,
1,120,27008903,14415556,13754087,448259,213210,3265449,3000432,3158285,2528453,5203556,2458523,0,907027,120466,Atlantic Co Vocational,Atlantic,J. County Voc,8,,,1,1735.3,Atlantic,
1,125,14354863,7069788,6586388,144320,339080,3142196,2991026,1808694,1272527,2293704,1131049,40000,0,175099,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,312.6,Atlantic,
1,570,13494780,8249668,7945501,209320,94847,2205630,1801741,911899,701714,1950227,1032704,0,169433,34408,Brigantine City,Atlantic,B. K-8 / 0 - 400,21,CD,,1,390.1,Atlantic,
1,590,30448184,17422764,16519355,177813,725596,4536486,3600609,3420564,2584285,4090126,1662652,0,978244,475411,Buena Regional,Atlantic,E. K-12 / 0 - 1800,31,A,,1,1588.4,Atlantic,
1,1300,9090318,5521595,5210774,247373,63448,1479212,1342544,939452,792356,1044046,402004,0,106014,51233,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,22,A,,1,559.1,Atlantic,
1,1310,134991607,82321099,76747606,2071866,3501627,24156227,21503435,9756234,8284123,15861987,9462307,0,1663156,118844,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,33,CD,,1,7380.2,Atlantic,
1,1410,3431098,2220143,2129891,79866,10386,471313,322632,341360,267626,394033,180089,0,3258,2649,Estell Manor City,Atlantic,B. K-8 / 0 - 400,21,DE,,1,194.8,Atlantic,
1,1540,6045010,3699390,3517145,91467,90778,1106843,958015,603436,471097,581105,280729,0,51541,0,Folsom Boro,Atlantic,B. K-8 / 0 - 400,21,CD,,1,373.6,Atlantic,
1,1690,58814457,38866886,38112968,552427,201491,8910101,7811791,5071669,4427393,5807955,3111638,0,118588,7701,Galloway Twp,Atlantic,D. K-8 / 751 +,23,CD,,1,3059.9,Atlantic,
1,1790,59903471,32887074,29170802,987802,2728470,7353208,6928038,6181001,4158248,9628207,4543887,0,3783228,146562,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,45,CD,,1,2957.2,Atlantic,
1,1940,44309835,26557369,25502338,871266,183765,9035846,7703166,3980100,3308225,4516855,2153652,0,201901,731671,Hamilton Twp,Atlantic,D. K-8 / 751 +,23,CD,,1,2820.3,Atlantic,
1,1960,48424464,28640105,27483028,847880,309197,7793072,7117145,4803899,3806256,5453809,2544632,0,1324941,395058,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,32,B,,1,3333.6,Atlantic,
1,2680,14207968,8152186,7840900,192826,118460,2540976,2140735,1609570,1169027,1755253,769945,0,149982,140885,Linwood City,Atlantic,D. K-8 / 751 +,23,GH,,1,841.7,Atlantic,
1,2910,25750233,14017954,13639620,373762,4572,4065098,3637580,1658655,1372894,4000027,1782423,0,1639122,398523,Mainland Regional,Atlantic,H. 7-12 / 9-12,45,DE,,1,1164.4,Atlantic,
1,3020,10314517,6654349,6385650,260933,7766,1433692,1143920,749711,604994,1303791,654654,30000,129262,171303,Margate City,Atlantic,B. K-8 / 0 - 400,21,DE,,1,335.3,Atlantic,
1,3480,10786536,6024575,5854673,117612,52290,2188254,1786649,1343681,1048711,1136686,547301,0,93340,138183,Mullica Twp,Atlantic,C. K-8 / 401 - 750,22,B,,1,638.7,Atlantic,
1,3720,14974232,10331707,9916856,278141,136710,1658926,1391048,1588808,1314805,1271781,596802,0,123010,258042,Northfield City,Atlantic,D. K-8 / 751 +,23,DE,,1,859.4,Atlantic,
1,4180,70137584,39729426,37927831,978383,823212,12001716,10901995,7101000,5215022,9873421,5042733,0,1094473,1320420,Pleasantville City,Atlantic,G. K-12 / 3501 +,33,A,1,1,3655.5,Atlantic,
1,4240,1991956,1139896,1115419,17618,6859,392443,309779,241221,168507,218396,101504,0,0,0,Port Republic City,Atlantic,B. K-8 / 0 - 400,21,FG,,1,107.4,Atlantic,
1,4800,14986161,8388226,7890561,164879,332786,3226685,2656533,1576636,1347185,1659808,845751,0,134806,5800,Somers Point City,Atlantic,C. K-8 / 401 - 750,22,CD,,1,780.4,Atlantic,
1,5350,13594367,8441790,8246438,191421,3931,2094671,1573291,1235071,998209,1741740,387295,0,81094,32264,Ventnor City,Atlantic,C. K-8 / 401 - 750,22,B,,1,500.9,Atlantic,
1,5760,2786469,1547933,1480299,38776,28858,459542,367577,348151,283268,419677,193423,0,0,0,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,21,B,,1,161.1,Atlantic,
3,40,15589198,9160674,8480752,361948,317974,2809177,2450253,1794058,1562936,1687666,1010179,0,137623,298008,Allendale Boro,Bergen,D. K-8 / 751 +,23,I,,1,910.9,Bergen,
3,80,4685565,2446439,2253354,65963,127122,1296349,1142486,342096,276340,506933,206805,0,89155,913,Alpine Boro,Bergen,B. K-8 / 0 - 400,21,I,,1,155,Bergen,
3,285,50980366,27878081,24070695,1038631,2768755,12392848,11169775,4625253,3549171,5580048,2493592,75000,57874,567214,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,589.7,Bergen,
3,290,71046530,37287424,32444539,2487277,2355608,7669620,7137881,13679146,10436405,9539341,5168916,0,2430863,1290770,Bergen County Vocational Technical Schoo,Bergen,J. County Voc,8,,,1,2645.6,Bergen,
3,300,66299678,40401182,33125610,1271497,6004075,8762577,7027532,6977264,5501118,8422313,4407028,0,1209750,1514231,Bergenfield Boro,Bergen,G. K-12 / 3501 +,33,FG,,1,3653.5,Bergen,
3,440,21433419,12225068,10261623,341647,1621798,3188737,1902580,2885301,2098200,2369978,963298,0,733503,222676,Bogota Boro,Bergen,E. K-12 / 0 - 1800,31,DE,,1,1283.7,Bergen,
3,740,10519680,6229626,5935737,194279,99610,1577365,1442549,1312537,1120964,1345006,653538,0,55147,0,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,22,DE,,1,528.1,Bergen,
3,745,14940211,7851245,7252023,491645,107577,2792994,1831361,1750009,1308011,1899669,1031246,0,616546,369653,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,45,CD,,1,757,Bergen,
3,890,46973208,29445986,27593485,708081,1144420,6782224,4502522,5347412,3996102,3641745,1856724,44124,1005531,296347,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,32,B,,1,3043.5,Bergen,
3,930,19551053,11806660,11013828,514815,278017,3562089,2927148,2197721,1846499,1896081,1037180,0,84384,123976,Closter Boro,Bergen,D. K-8 / 751 +,23,I,,1,1204,Bergen,
