CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
1,10,15989213,9822415,9440748,333875,47792,3121263,2988756,1603668,1260991,1184225,498916,0,126319,40002,Absecon City,Atlantic,D. K-8 / 751 +,23,CD,,1,924,9.5,71169,59.7,69481,131.3,130000,16,Atlantic
1,110,135941351,82886237,75396903,2613166,4876168,17496961,15372918,14210713,10820073,19673251,9574313,0,1469220,1609367,Atlantic City,Atlantic,G. K-12 / 3501 +,33,A,,1,6281.7,9.6,103981,84.4,98931,189.3,150331,22,Atlantic
1,120,30434859,16546980,15135223,1207511,204246,3398552,3134687,3512438,2722727,5956914,2540397,0,952222,575976,Atlantic Co Vocational,Atlantic,J. County Voc,8,,,1,1772.1,17,77151,29.9,76559,107.2,110997,9.9,Atlantic
1,125,16116580,8308577,7681219,167140,460218,3343638,3231306,1952886,1332564,2469011,1096341,40000,0,152407,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,327.7,9.9,86774,8.3,99215,63.4,125304,14,Atlantic
1,570,13700040,8170175,7947663,181601,40911,2449396,1895797,880544,658639,1981224,1127698,0,203166,52276,Brigantine City,Atlantic,B. K-8 / 0 - 400,21,CD,,1,378.9,6.5,102124,38.3,90551,95.8,134716,17.3,Atlantic
1,590,31625830,18254150,16961023,211224,1081903,5060199,3746806,3350802,2573152,3995337,1549083,0,948200,93168,Buena Regional,Atlantic,E. K-12 / 0 - 1800,31,A,,1,1672.5,11.3,91996,55.7,95676,100.9,109733,10.8,Atlantic
1,1300,9854991,6094748,5718567,231730,144451,1350061,1193594,1067525,872104,1219335,547589,0,123322,135714,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,22,A,,1,572.2,9.1,62217,57.4,77389,143.5,126026,18.3,Atlantic
1,1310,145832182,87730292,81732193,1921377,4076722,26408448,23093850,10396138,8849217,18045324,10478567,0,1786114,930692,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,33,CD,,1,7298.9,10.8,82254,64.5,74354,167.1,120563,18.1,Atlantic
1,1410,3285651,1771287,1631670,46572,93045,528766,431001,385699,306230,551744,290773,0,28045,0,Estell Manor City,Atlantic,B. K-8 / 0 - 400,21,DE,,1,187,11.3,69914,92,69866,61.3,125000,6.1,Atlantic
1,1540,6314073,3808615,3580063,113232,115320,1037031,938920,725580,572022,680104,332030,0,59412,0,Folsom Boro,Atlantic,B. K-8 / 0 - 400,21,CD,,1,370.9,10.1,67147,46.6,65647,124.3,129439,15,Atlantic
1,1690,59947921,38546647,37696355,651190,199102,9080572,7624162,5220469,4486056,6940208,3165380,0,116379,18962,Galloway Twp,Atlantic,D. K-8 / 751 +,23,CD,,1,3077.9,10.3,85579,63.4,84929,170.9,130765,19.3,Atlantic
1,1790,63306997,34417762,30364231,1057408,2996123,7880444,7214670,6367818,4465488,10622406,4897936,0,3937139,47442,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,45,CD,,1,3000.2,11.9,90575,60.8,84269,106.8,118878,10.7,Atlantic
1,1940,48567035,29829561,27650869,1928566,250126,8671404,7922241,4250286,3422385,5616292,2304769,0,172906,550514,Hamilton Twp,Atlantic,D. K-8 / 751 +,23,CD,,1,2822.2,11,70808,70.3,63032,174.9,117318,18.4,Atlantic
1,1960,50507608,30029615,28450746,1125010,453859,8075418,7420079,4841767,3860461,5584904,2749282,0,1538179,667992,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,32,B,,1,3260,13.2,86644,66.8,89615,163.6,132809,14.9,Atlantic
1,2680,14473521,8711779,8326169,250103,135507,2448813,2178334,1611672,1207857,1584986,797171,0,116271,3723,Linwood City,Atlantic,D. K-8 / 751 +,23,GH,,1,810.9,10.9,83575,61.8,73281,131,119327,14.1,Atlantic
1,2910,25982253,14325732,13734060,554442,37230,4030235,3780007,1977394,1664901,3882473,1892681,0,1598588,201553,Mainland Regional,Atlantic,H. 7-12 / 9-12,45,DE,,1,1163,11.3,99271,54.6,92025,116.8,134770,12.4,Atlantic
1,3020,10465739,6537989,6260810,270746,6433,1569873,1238577,743942,600358,1453250,749012,32000,109327,204303,Margate City,Atlantic,B. K-8 / 0 - 400,21,DE,,1,316.3,6.5,98620,42.8,80043,79.3,120167,14,Atlantic
1,3480,11279845,6196351,6029475,141699,25177,2347436,2040285,1426825,1112752,1214601,586220,0,94632,61578,Mullica Twp,Atlantic,C. K-8 / 401 - 750,22,B,,1,624.1,10.2,80631,77.5,91512,103.3,119601,11.5,Atlantic
1,3720,16012825,11001017,10356334,306119,338564,1790168,1516861,1698194,1390542,1403716,621357,0,119731,125531,Northfield City,Atlantic,D. K-8 / 751 +,23,DE,,1,820.6,9.3,68023,54.9,61028,169,117000,21.2,Atlantic
1,4180,74876969,41502717,39013100,779917,1709700,13072052,11780261,6956837,5303655,11428687,6209588,0,1415129,864337,Pleasantville City,Atlantic,G. K-12 / 3501 +,33,A,1,1,3677.7,11.8,90885,65.6,67520,170.1,144417,17,Atlantic
1,4240,2108652,1201915,1153430,29997,18488,442546,358843,232317,180344,230674,101057,1200,0,0,Port Republic City,Atlantic,B. K-8 / 0 - 400,21,FG,,1,110.5,9.7,64181,79.3,60512,111,87401,12.8,Atlantic
1,4800,15004988,8528251,8427861,23943,76447,3003603,2460760,1560301,1286894,1783385,866709,0,129448,244060,Somers Point City,Atlantic,C. K-8 / 401 - 750,22,CD,,1,736,9.4,86798,47.1,86243,125.5,115134,16,Atlantic
1,5350,14126346,8429522,8240045,180735,8742,2391759,1599345,1213315,947319,2041505,485426,0,50245,153802,Ventnor City,Atlantic,C. K-8 / 401 - 750,22,B,,1,479.2,6.8,98050,50.4,81037,119.8,145836,19.9,Atlantic
1,5760,3090340,1590088,1531055,29313,29720,514424,390611,483770,402597,488745,201883,0,0,0,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,21,B,,1,179.4,11.2,59477,177,52775,35.4,87103,3.4,Atlantic
3,40,16889999,9786704,9090088,376061,320555,2867404,2474706,1850036,1625480,2232440,1070605,0,153415,16282,Allendale Boro,Bergen,D. K-8 / 751 +,23,I,,1,893,12,86665,83.3,102625,179.2,174047,17.1,Bergen
3,80,4678536,2477068,2281188,55831,140049,1268203,1096459,357453,291003,486001,221651,0,84535,0,Alpine Boro,Bergen,B. K-8 / 0 - 400,21,I,,1,162.1,8.2,78979,64.8,96802,32.4,131937,4.5,Bergen
3,285,54839627,29905680,26226023,805920,2873737,13510691,11893975,4844209,3865460,6089061,2699953,75000,64651,837215,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,596.4,2.6,88135,3.7,92826,30.1,140000,20,Bergen
3,290,74472280,38919720,34095810,1860428,2963482,8216366,7566265,13788622,10862509,10104672,5600307,256026,2616387,842400,Bergen County Vocational Technical Schoo,Bergen,J. County Voc,8,,,1,2753.5,11.6,94812,67.1,91937,112.8,147544,11.4,Bergen
3,300,70195143,42998216,35052530,1276751,6668935,9396801,7356397,7353805,6038130,8563617,4772313,0,1252158,2079556,Bergenfield Boro,Bergen,G. K-12 / 3501 +,33,FG,,1,3687.3,12.5,87965,69.9,86465,166.6,146031,15.7,Bergen
3,440,24640384,13534529,11090635,447617,1996277,4149012,2285384,3278735,2465808,2821086,1170402,0,824912,469242,Bogota Boro,Bergen,E. K-12 / 0 - 1800,31,DE,,1,1304.6,11.9,75400,65,73100,118.1,118692,11.7,Bergen
3,740,10857160,6395701,5942780,305071,147850,1845842,1631216,1233485,1026881,1336391,581807,0,45741,0,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,22,DE,,1,499.7,11.6,81659,73,89537,85.2,97236,8.5,Bergen
3,745,15752743,7959078,7701873,188180,69025,3632422,2398581,1812616,1231831,1689989,951839,0,615756,207075,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,45,CD,,1,823.9,13.9,68631,106.2,63500,90.8,143430,7.4,Bergen
3,890,50165176,31931103,29838638,750920,1341545,6959499,5204757,5421411,4111742,3972255,1985275,20229,1118212,103815,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,32,B,,1,3067.1,12.4,72941,75.5,85790,140.6,128954,13.2,Bergen
3,930,20971548,12492877,11453888,616568,422421,3961643,3303829,2448953,1976600,1968661,1045042,0,96452,81149,Closter Boro,Bergen,D. K-8 / 751 +,23,I,,1,1192.1,11.7,89054,63.3,86216,148.8,152519,15,Bergen
3,990,30985954,20098876,19309947,519268,269661,3524130,3153617,3681019,3164773,2942141,1484214,0,739789,0,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,31,I,,1,1724.3,11.6,101107,65.6,99640,121.9,142618,12.4,Bergen
3,1070,15980032,9266698,8698239,354628,213831,2754121,2233520,1727535,1442185,1999442,965328,0,162637,11189,Demarest Boro,Bergen,D. K-8 / 751 +,23,I,,1,774.2,9.7,76681,50.9,74956,127.2,169483,15.7,Bergen
3,1130,41635500,25755561,24407390,1186548,161623,4526044,4082881,5400710,4781564,4876093,3083342,0,956859,0,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,32,FG,,1,2528.4,12,84732,79.2,79522,140.8,150031,13.5,Bergen
3,1230,17862850,11496781,10608489,230039,658253,2376666,2027245,2058944,1580142,1823692,883947,0,62535,33681,East Rutherford Boro,Bergen,D. K-8 / 751 +,23,CD,,1,763.8,9.5,88112,58.9,76786,127.7,147000,15.7,Bergen
3,1270,13968297,7779978,6994119,491895,293964,2656786,1515292,1593019,1387335,1821387,889965,0,39943,0,Edgewater Boro,Bergen,A. K-6,1,DE,,1,683.2,9.8,66701,97.1,64824,113.3,143377,12.8,Bergen
3,1345,39524952,20049940,19496828,234216,318896,7183989,5534560,5760710,4861426,5508987,2376232,150000,813798,138582,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,32,CD,,1,2569.6,12.8,58284,64.3,61238,142.9,113808,13.4,Bergen
3,1360,21307144,11795824,11311182,349899,134743,2833425,2290924,2686043,2484626,2879269,1561048,0,1038407,56604,Emerson Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,1097.8,11.6,75900,64.5,81400,98.5,154898,10,Bergen
3,1370,57671515,35071327,30523144,1087194,3460989,8525008,7231938,6325876,4933532,6398154,1182841,0,1331631,518546,Englewood City,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2863.5,10.8,82251,63,95108,142.7,166412,15.4,Bergen
3,1380,11941953,6640409,6279517,154121,206771,2760335,2182018,1107938,912459,1381673,832563,0,30849,76040,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,418.6,8.7,84476,46.6,84476,83.8,149972,11.4,Bergen
