cds_code,district_name
253830,Oceanport Boro
131390,Essex Co Voc-Tech
192450,Kingwood Twp
153280,Monroe Twp
034500,Rockleigh
330060,Alloway Twp
011540,Folsom Boro
295220,Tuckerton Boro
253260,Monmouth Co Vocational
191510,Flemington-Raritan Reg
312510,Lakeland Regional
051030,Delanco Twp
031380,Englewood Cliffs Boro
195270,Union Twp
014800,Somers Point City
034380,Ridgefield Park Twp
072540,Laurel Springs Boro
311920,Haledon Boro
332950,Mannington Twp
271110,Dover Town
011300,Egg Harbor City
353210,Hillsborough Twp (Millstone)
371630,Fredon Twp
094700,Sea Isle City
033940,Park Ridge Boro
152440,Kingsway Regional
034405,River Dell Regional
294190,Plumsted Twp
294105,Pinelands Regional
193180,Milford Boro
253030,Marlboro Twp
312700,Little Falls Twp
390980,Cranford Twp
375435,Wallkill Valley Regional
133570,Newark City
033700,Northern Highlands Reg
270820,Chester Twp
133190,Millburn Twp
090720,Cape May Co Vocational
211950,Hamilton Twp
050600,Burlington City
150870,Clearview Regional
155860,Woodbury City
033910,Palisades Park
334640,Salem County Vocational
251490,Farmingdale Boro
412020,Blairstown Twp (Hardwick)
315690,Woodland Park
250560,Brielle Boro
151715,Gateway Regional
030440,Bogota Boro
035150,Teaneck Twp
290210,Bay Head Boro
411785,Great Meadows Regional
032090,Haworth Boro
292520,Lakewood Twp
153580,Newfield Boro
273450,Mount Olive Twp
394670,Scotch Plains-Fanwood Reg
395810,Winfield Twp
033710,Northern Valley Regional
130410,Bloomfield Twp
273365,Morris County Vocational
053430,Mount Holly Twp
155870,Woodbury Heights Boro
271990,Hanover Park Regional
355540,Watchung Boro
074790,Somerdale Boro
313640,North Haledon Boro
250500,Bradley Beach Boro
415530,Washington Twp
410400,Blairstown Twp
191740,Clinton Town (Glen Gardner)
070680,Camden City
133310,Montclair Town
395260,Union County Vocational
233530,New Brunswick City
032860,Lyndhurst Twp
411840,Greenwich Twp
135370,Verona Boro
074590,Runnemede Boro
371980,Hampton Twp
031860,Hackensack City
230970,Cranbury Twp
010010,Absecon City
313980,Passaic Co Manchester Reg
370090,Andover Reg
194890,null
195600,null
035410,Waldwick Boro
090730,Cape May Point
254365,Red Bank Regional
070190,Barrington Boro
273460,Mountain Lakes Boro
111020,Deerfield Twp
152750,Logan Twp
033330,Montvale Boro
410030,Allamuchy Twp
112570,Lawrence Twp
072670,Lindenwold Boro
050830,Chesterfield Twp
033760,Oakland Boro
190020,Alexandria Twp
233620,North Brunswick Twp
050620,Burlington Twp
350510,Branchburg Twp
211245,East Windsor Regional
052850,Lumberton Twp
110997,Cumberland Regional
192530,null
390310,Berkeley Heights Twp
072560,Lawnside Boro
013720,Northfield City
212280,Hopewell Valley Regional
151775,Gloucester Co Vocational
071255,Eastern Camden County Reg
131750,Glen Ridge Boro
290185,Barnegat Twp
033550,New Milford Boro
232150,Highland Park Boro
273380,Morris Plains Boro
172210,Hoboken City
372490,Lafayette Twp
275520,Washington Twp
233150,Middlesex Co Vocational
033740,Norwood Boro
070260,Bellmawr Boro
093130,Middle Twp
095060,Stone Harbor Boro
254680,Oceanport Boro (Sea Bright)
254520,Roosevelt Boro
033350,Moonachie Boro
292760,Long Beach Island
190910,Clinton Town
394540,Roselle Boro
114750,Hopewell Twp (Shiloh Boro)
252290,Howell Twp
