district_id,cds_code,district_name
1960,011960,Hammonton Town
3680,093680,North Wildwood City
3780,093780,Ocean City
4700,094700,Sea Isle City
5060,095060,Stone Harbor Boro
2040,412040,Harmony Twp
5780,415780,White Twp
5610,095610,West Cape May Boro
5700,095700,West Wildwood
5800,095800,Wildwood Crest Boro
0660,130660,Caldwell-West Caldwell
0760,130760,Cedar Grove Twp
1400,131400,Essex Fells Boro
1465,131465,Fairfield Twp
1750,131750,Glen Ridge Boro
2730,132730,Livingston Twp
3190,133190,Millburn Twp
3630,133630,North Caldwell Boro
4530,134530,Roseland Boro
4900,134900,South Orange-Maplewood
5370,135370,Verona Boro
5630,135630,West Essex Regional
5140,075140,Haddonfield (Tavistock)
1830,151830,Greenwich Twp
2180,032180,Hillsdale Boro
2200,032200,Ho Ho Kus Boro
2620,032620,Leonia Boro
2710,032710,Little Ferry Boro
2740,032740,Lodi Borough
2860,032860,Lyndhurst Twp
1090,271090,Denville Twp
2900,032900,Mahwah Twp
3060,033060,Maywood Boro
3170,033170,Midland Park Boro
1110,271110,Dover Town
3330,033330,Montvale Boro
3350,033350,Moonachie Boro
3550,033550,New Milford Boro
3600,033600,North Arlington Boro
3700,033700,Northern Highlands Reg
3710,033710,Northern Valley Regional
3730,033730,Northvale Boro
3740,033740,Norwood Boro
4390,034390,Ridgewood Village
5150,035150,Teaneck Twp
4405,034405,River Dell Regional
4410,034410,River Edge Boro
4430,034430,River Vale Twp
0110,010110,Atlantic City
2680,012680,Linwood City
2780,012780,Longport
2910,012910,Mainland Regional
3020,013020,Margate City
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
5770,275770,Wharton Boro
0185,290185,Barnegat Twp
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
0120,010120,Atlantic Co Vocational
3480,013480,Mullica Twp
3720,013720,Northfield City
4180,014180,Pleasantville City
4240,014240,Port Republic City
4800,014800,Somers Point City
5350,015350,Ventnor City
5760,015760,Weymouth Twp
0570,010570,Brigantine City
0040,030040,Allendale Boro
0080,030080,Alpine Boro
0590,010590,Buena Regional
0300,030300,Bergenfield Boro
0440,030440,Bogota Boro
0740,030740,Carlstadt Boro
0745,030745,Carlstadt-East Rutherford
0890,030890,Cliffside Park Boro
0930,030930,Closter Boro
0990,030990,Cresskill Boro
1070,031070,Demarest Boro
1130,031130,Dumont Boro
1420,051420,Evesham Twp
2740,032740,Lodi Borough
2860,032860,Lyndhurst Twp
2900,032900,Mahwah Twp
3060,033060,Maywood Boro
3170,033170,Midland Park Boro
3330,033330,Montvale Boro
3350,033350,Moonachie Boro
3550,033550,New Milford Boro
3600,033600,North Arlington Boro
3700,033700,Northern Highlands Reg
3710,033710,Northern Valley Regional
3730,033730,Northvale Boro
1310,011310,Egg Harbor Twp
3740,033740,Norwood Boro
3760,033760,Oakland Boro
3850,033850,Old Tappan Boro
2530,192530,null
4890,194890,null
5050,195050,null
5600,195600,null
1450,031450,Fair Lawn Boro
3870,033870,Oradell Boro
3910,033910,Palisades Park
3930,033930,Paramus Boro
0680,070680,Camden City
0800,070800,Cherry Hill Twp
3020,013020,Margate City
0810,070810,Chesilhurst
0880,070880,Clementon Boro
0940,070940,Collingswood Boro
1255,071255,Eastern Camden County Reg
1720,071720,Gibbsboro Boro
1770,071770,Gloucester City
1780,071780,Gloucester Twp
1880,071880,Haddon Heights Boro
1890,071890,Haddon Twp
1900,071900,Haddonfield
2130,072130,Hi Nella
2540,072540,Laurel Springs Boro
2560,072560,Lawnside Boro
2670,072670,Lindenwold Boro
3480,013480,Mullica Twp
2890,072890,Magnolia Boro
3110,073110,Merchantville Boro
3420,073420,Mount Ephraim Boro
3770,073770,Oaklyn Boro
4060,074060,Pennsauken Twp
4110,074110,Pine Hill Boro
4590,074590,Runnemede Boro
4790,074790,Somerdale Boro
5035,075035,Sterling High School Dist
5080,075080,Stratford Boro
5400,075400,Voorhees Twp
3720,013720,Northfield City
4180,014180,Pleasantville City
5820,075820,Winslow Twp
5900,075900,Woodlynne Boro
0170,090170,Avalon Boro
0710,090710,Cape May City
0730,090730,Cape May Point
1080,091080,Dennis Twp
2820,092820,Lower Cape May Regional
2840,092840,Lower Twp
3130,093130,Middle Twp
3680,093680,North Wildwood City
3780,093780,Ocean City
4700,094700,Sea Isle City
5060,095060,Stone Harbor Boro
5340,095340,Upper Twp
5610,095610,West Cape May Boro
5700,095700,West Wildwood
5790,095790,Wildwood City
5800,095800,Wildwood Crest Boro
4240,014240,Port Republic City
