cds,fiscal_year,student_count
10010,2015-2016,46337.5
10110,2015-2016,389686
10120,2015-2016,55550
10570,2015-2016,40986
10590,2015-2016,94402
10960,2015-2016,3289
11300,2015-2016,25036
11310,2015-2016,376827
11410,2015-2016,10483
11540,2015-2016,26191
11690,2015-2016,167871
11790,2015-2016,166452
11940,2015-2016,152042
11960,2015-2016,138897
12680,2015-2016,38335
12780,2015-2016,2288
12910,2015-2016,65142
13020,2015-2016,22880
13480,2015-2016,35002
13720,2015-2016,44088
14180,2015-2016,201047
14240,2015-2016,8569
14800,2015-2016,51216
15350,2015-2016,53795.5
15760,2015-2016,12292.5
30040,2015-2016,40029
30080,2015-2016,10186
30290,2015-2016,77154
30300,2015-2016,167271.5
30440,2015-2016,57024
30740,2015-2016,27357
30745,2015-2016,25124
30890,2015-2016,133254
30930,2015-2016,49401
30990,2015-2016,77462
31070,2015-2016,31075
31130,2015-2016,119696.5
31230,2015-2016,37642
31270,2015-2016,58696
31345,2015-2016,129508.5
31360,2015-2016,53564.5
31370,2015-2016,164967
31380,2015-2016,25355
31450,2015-2016,220363
31470,2015-2016,94512
31550,2015-2016,178975.5
31580,2015-2016,53251
31700,2015-2016,259649.5
31760,2015-2016,108449
31860,2015-2016,279119.5
32050,2015-2016,29348
32080,2015-2016,88005.5
32090,2015-2016,18315
32180,2015-2016,56419
32200,2015-2016,38670.5
32620,2015-2016,67232
32710,2015-2016,62837.5
32740,2015-2016,173651.5
32860,2015-2016,113657.5
32900,2015-2016,141245.5
33060,2015-2016,57574
33170,2015-2016,44979
33330,2015-2016,46651
33350,2015-2016,19178.5
33550,2015-2016,92488
33600,2015-2016,82555
33700,2015-2016,45903
33710,2015-2016,104984
33730,2015-2016,22132
33740,2015-2016,26565
33760,2015-2016,71258
33850,2015-2016,33495
33870,2015-2016,33275
33910,2015-2016,81488
33930,2015-2016,175307
33940,2015-2016,57893
33960,2015-2016,90343
34300,2015-2016,103763
34310,2015-2016,123398
34370,2015-2016,72611
