CO,CONAME,DIST,DISTNAME,LEG_DIST
1,ATLANTIC,10,ABSECON CITY,2
1,ATLANTIC,110,ATLANTIC CITY,2
1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,1
1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,2
1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,4
1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,8
1,ATLANTIC,570,BRIGANTINE CITY,2
1,ATLANTIC,590,BUENA REGIONAL,4
1,ATLANTIC,960,CORBIN CITY,1
1,ATLANTIC,1300,EGG HARBOR CITY,8
1,ATLANTIC,1310,EGG HARBOR TWP,2
1,ATLANTIC,1410,ESTELL MANOR CITY,1
1,ATLANTIC,1540,FOLSOM BORO,8
1,ATLANTIC,1690,GALLOWAY TWP,2
1,ATLANTIC,1790,GREATER EGG HARBOR REG,2
1,ATLANTIC,1790,GREATER EGG HARBOR REG,8
1,ATLANTIC,1940,HAMILTON TWP,2
1,ATLANTIC,1960,HAMMONTON TOWN,8
1,ATLANTIC,2680,LINWOOD CITY,2
1,ATLANTIC,2780,LONGPORT,2
1,ATLANTIC,2910,MAINLAND REGIONAL,2
1,ATLANTIC,3020,MARGATE CITY,2
1,ATLANTIC,3480,MULLICA TWP,8
1,ATLANTIC,3720,NORTHFIELD CITY,2
1,ATLANTIC,4180,PLEASANTVILLE CITY,2
1,ATLANTIC,4240,PORT REPUBLIC CITY,2
1,ATLANTIC,4800,SOMERS POINT CITY,2
1,ATLANTIC,5350,VENTNOR CITY,2
1,ATLANTIC,5760,WEYMOUTH TWP,1
3,BERGEN,40,ALLENDALE BORO,39
3,BERGEN,80,ALPINE BORO,39
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,35
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,36
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,37
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,38
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,39
3,BERGEN,290,BERGEN COUNTY VOCATIONAL,40
3,BERGEN,300,BERGENFIELD BORO,38
3,BERGEN,440,BOGOTA BORO,37
3,BERGEN,740,CARLSTADT BORO,36
3,BERGEN,745,CARLSTADT-EAST RUTHERFORD,36
3,BERGEN,890,CLIFFSIDE PARK BORO,36
3,BERGEN,930,CLOSTER BORO,39
3,BERGEN,990,CRESSKILL BORO,39
3,BERGEN,1070,DEMAREST BORO,39
3,BERGEN,1130,DUMONT BORO,39
3,BERGEN,1230,EAST RUTHERFORD BORO,36
3,BERGEN,1270,EDGEWATER BORO,36
3,BERGEN,1345,ELMWOOD PARK,35
3,BERGEN,1360,EMERSON BORO,39
3,BERGEN,1370,ENGLEWOOD CITY,37
3,BERGEN,1380,ENGLEWOOD CLIFFS BORO,37
3,BERGEN,1450,FAIR LAWN BORO,38
3,BERGEN,1470,FAIRVIEW BORO,36
3,BERGEN,1550,FORT LEE BORO,37
3,BERGEN,1580,FRANKLIN LAKES BORO,40
3,BERGEN,1700,GARFIELD CITY,35
3,BERGEN,1760,GLEN ROCK BORO,38
3,BERGEN,1860,HACKENSACK CITY,37
3,BERGEN,2050,HARRINGTON PARK BORO,39
3,BERGEN,2080,HASBROUCK HEIGHTS BORO,38
3,BERGEN,2090,HAWORTH BORO,39
3,BERGEN,2180,HILLSDALE BORO,39
3,BERGEN,2200,HO HO KUS BORO,39
3,BERGEN,2620,LEONIA BORO,37
3,BERGEN,2710,LITTLE FERRY BORO,38
3,BERGEN,2740,LODI BOROUGH,38
3,BERGEN,2860,LYNDHURST TWP,36
3,BERGEN,2900,MAHWAH TWP,39
3,BERGEN,3060,MAYWOOD BORO,38
3,BERGEN,3170,MIDLAND PARK BORO,39
3,BERGEN,3330,MONTVALE BORO,39
3,BERGEN,3350,MOONACHIE BORO,38
3,BERGEN,3550,NEW MILFORD BORO,38
3,BERGEN,3600,NORTH ARLINGTON BORO,36
3,BERGEN,3700,NORTHERN HIGHLANDS REG,39
3,BERGEN,3710,NORTHERN VALLEY REGIONAL,39
3,BERGEN,3730,NORTHVALE BORO,39
3,BERGEN,3740,NORWOOD BORO,39
3,BERGEN,3760,OAKLAND BORO,39
3,BERGEN,3850,OLD TAPPAN BORO,39
3,BERGEN,3870,ORADELL BORO,38
3,BERGEN,3910,PALISADES PARK,37
3,BERGEN,3930,PARAMUS BORO,38
3,BERGEN,3940,PARK RIDGE BORO,39
3,BERGEN,3960,PASCACK VALLEY REGIONAL,39
3,BERGEN,4300,RAMAPO-INDIAN HILL REG,39
3,BERGEN,4300,RAMAPO-INDIAN HILL REG,40
3,BERGEN,4310,RAMSEY BORO,39
3,BERGEN,4370,RIDGEFIELD BORO,36
3,BERGEN,4380,RIDGEFIELD PARK TWP,37
3,BERGEN,4390,RIDGEWOOD VILLAGE,40
3,BERGEN,4405,RIVER DELL REGIONAL,38
3,BERGEN,4410,RIVER EDGE BORO,38
3,BERGEN,4430,RIVER VALE TWP,39
3,BERGEN,4470,ROCHELLE PARK TWP,38
3,BERGEN,4500,ROCKLEIGH,39
3,BERGEN,4600,RUTHERFORD BORO,36
3,BERGEN,4610,SADDLE BROOK TWP,38
3,BERGEN,4620,SADDLE RIVER BORO,39
3,BERGEN,4870,SOUTH HACKENSACK TWP,38
3,BERGEN,5150,TEANECK TWP,37
3,BERGEN,5160,TENAFLY BORO,37
3,BERGEN,5170,HASBROUCK HEIGHTS BORO (TETERBORO),38
3,BERGEN,5330,UPPER SADDLE RIVER BORO,39
3,BERGEN,5410,WALDWICK BORO,39
3,BERGEN,5430,WALLINGTON BORO,36
3,BERGEN,5755,WESTWOOD REGIONAL,39
3,BERGEN,5830,WOOD-RIDGE BORO,36
3,BERGEN,5880,WOODCLIFF LAKE BORO,39
3,BERGEN,5920,WYCKOFF TWP,40
5,BURLINGTON,200,BASS RIVER TWP,8
5,BURLINGTON,380,BEVERLY CITY,7
5,BURLINGTON,475,BORDENTOWN REGIONAL,7
5,BURLINGTON,600,BURLINGTON CITY,7
5,BURLINGTON,610,BURLINGTON CO VOCATIONAL,6
5,BURLINGTON,610,BURLINGTON CO VOCATIONAL,7
5,BURLINGTON,610,BURLINGTON CO VOCATIONAL,8
5,BURLINGTON,610,BURLINGTON CO VOCATIONAL,12
5,BURLINGTON,620,BURLINGTON TWP,7
5,BURLINGTON,830,CHESTERFIELD TWP,8
5,BURLINGTON,840,CINNAMINSON TWP,7
5,BURLINGTON,1030,DELANCO TWP,7
5,BURLINGTON,1060,DELRAN TWP,7
5,BURLINGTON,1250,EASTAMPTON TWP,8
5,BURLINGTON,1280,EDGEWATER PARK TWP,7
5,BURLINGTON,1420,EVESHAM TWP,8
5,BURLINGTON,1520,FLORENCE TWP,7
5,BURLINGTON,1910,HAINESPORT TWP,8
5,BURLINGTON,2610,LENAPE REGIONAL,7
5,BURLINGTON,2610,LENAPE REGIONAL,8
5,BURLINGTON,2850,LUMBERTON TWP,8
5,BURLINGTON,2960,MANSFIELD TWP,8
5,BURLINGTON,3010,MAPLE SHADE TWP,6
5,BURLINGTON,3070,MEDFORD LAKES BORO,8
5,BURLINGTON,3080,MEDFORD TWP,8
5,BURLINGTON,3360,MOORESTOWN TWP,7
5,BURLINGTON,3430,MOUNT HOLLY TWP,8
5,BURLINGTON,3440,MOUNT LAUREL TWP,7
5,BURLINGTON,3540,NEW HANOVER TWP,8
5,BURLINGTON,3650,NORTH HANOVER TWP,12
5,BURLINGTON,3690,NORTHERN BURLINGTON REG,8
5,BURLINGTON,3690,NORTHERN BURLINGTON REG,12
